timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
22136000,39.60305,38.774906,4.0413713,4.449333,13.278548,20.541275,-0.14525454,-0.36352843,-0.05845566,-26.983452
22352000,40.68304,39.69094,4.049569,4.645914,13.279203,20.436987,-0.14315566,-0.43836594,-0.06288926,-24.157991
22544000,41.643032,40.54666,4.054783,4.871881,13.279694,20.292778,-0.14026168,-0.4788615,-0.066685066,-21.676666
22736000,42.603024,41.452606,4.057485,5.1467066,13.280256,20.181581,-0.1380265,-0.5058013,-0.070372224,-19.226114
22952000,43.683014,42.536552,4.057287,5.489532,13.2809105,20.008951,-0.13456081,-0.5115691,-0.07439238,-16.529951
23144000,44.643005,43.558525,4.0541883,5.7956443,13.281583,19.889767,-0.13216367,-0.5177185,-0.07787314,-14.19831
23336000,45.602997,44.645226,4.047853,6.0917573,13.282288,19.777534,-0.12990494,-0.52486986,-0.08131288,-11.926054
23552000,46.682987,45.942204,4.0370035,6.3897786,13.283081,19.663847,-0.12761532,-0.54518855,-0.08516063,-9.456066
23744000,47.64298,47.148926,4.024667,6.608482,13.283892,19.551466,-0.12535149,-0.57018274,-0.088586986,-7.346716
23936000,48.602962,48.395355,4.0103445,6.779162,13.284667,19.44074,-0.12312147,-0.5854485,-0.09202474,-5.332541
24152000,49.48528,49.83467,2.1766171,6.886864,13.285483,19.303165,-0.12035364,-0.7828898,-0.09595139,-3.1971421
24344000,49.822678,51.107044,0.8803007,6.650182,13.28657,18.981462,-0.11389785,-1.5680815,-0.09956972,-1.5326022
24536000,49.967915,52.306664,0.28958213,6.0877194,13.287267,18.36374,-0.10152948,-2.2325962,-0.10321211,-0.23875774
24752000,50.03516,53.503014,-0.015845686,5.1466303,13.288,17.547543,-0.08519085,-2.5725853,-0.10719437,0.6867225
24944000,50.059383,54.37666,-0.14808935,4.1471267,13.288608,16.802084,-0.070269525,-2.6428652,-0.11059449,1.0626827
25136000,50.069813,55.063885,-0.22045758,3.1831896,13.289153,16.120155,-0.056620043,-2.5488567,-0.11383669,1.0687084
25352000,50.074642,55.628643,-0.2663831,2.1544373,13.28954,15.530758,-0.04482435,-2.2593515,-0.11730376,0.71774215
25544000,50.076378,55.951057,-0.28890204,1.3027853,13.28988,15.181988,-0.03784216,-1.9104898,-0.1202929,0.19477361
25736000,50.077126,56.120697,-0.30001694,0.53939384,13.290122,14.959996,-0.033397485,-1.5240933,-0.12321538,-0.4527691
25952000,50.077473,56.151558,-0.30294132,-0.20028287,13.290224,14.916845,-0.032532424,-1.1055822,-0.12645695,-1.2455039
26144000,50.0776,56.05737,-0.29860708,-0.7497398,13.290066,14.932738,-0.03285345,-0.76060146,-0.12933058,-1.9380069
26336000,50.07765,55.866585,-0.28931966,-1.1918494,13.290019,14.991964,-0.034038905,-0.46746397,-0.13217439,-2.5902925
26552000,50.077675,55.56283,-0.27425787,-1.5745406,13.289753,15.157398,-0.037352905,-0.19335382,-0.13534103,-3.2350287
26744000,50.077675,55.23573,-0.2579027,-1.8172964,13.289641,15.30302,-0.04026756,0.007151287,-0.13812996,-3.701052
26936000,50.077675,54.870995,-0.23966599,-1.979488,13.289359,15.463506,-0.043482933,0.16290767,-0.14088388,-4.0546846
27152000,50.077675,54.4335,-0.21779118,-2.0824616,13.289029,15.646019,-0.047139797,0.2837374,-0.14393209,-4.3090987
27344000,50.077675,54.032684,-0.19775048,-2.1133273,13.288858,15.78078,-0.049838427,0.3551328,-0.14658311,-4.408744
27536000,50.077675,53.631912,-0.17771187,-2.0930567,13.288484,15.891129,-0.052052896,0.4055132,-0.1491665,-4.394355
27752000,50.077675,53.1949,-0.15586129,-2.024717,13.288403,15.943566,-0.053103276,0.4415355,-0.15194869,-4.268807
27944000,50.077675,52.821625,-0.1371975,-1.9346251,13.288122,16.008852,-0.054414596,0.45347932,-0.154319,-4.061437
28136000,50.077675,52.466698,-0.11945114,-1.8163025,13.287814,16.082722,-0.05589815,0.45080242,-0.15660615,-3.7628238
28352000,50.077675,52.096573,-0.1009449,-1.6517392,13.287485,16.166786,-0.05758602,0.4324556,-0.15909149,-3.32165
28544000,50.077675,51.80101,-0.08616676,-1.4853957,13.287462,16.230177,-0.058854293,0.39875925,-0.16122821,-2.845028
28760000,50.077675,51.508007,-0.07151661,-1.280098,13.287222,16.283297,-0.059921492,0.3545335,-0.16355139,-2.228632
28952000,50.077675,51.28967,-0.06059971,-1.0796057,13.286979,16.314995,-0.06056032,0.3065787,-0.16556706,-1.6127472
29144000,50.077675,51.11344,-0.05178833,-0.861405,13.286911,16.305662,-0.06037502,0.2601731,-0.16751102,-0.96306026
29360000,50.077675,50.965866,-0.044409562,-0.6051267,13.286726,16.286077,-0.059987027,0.20996386,-0.16962586,-0.2038121
29552000,50.077675,50.881824,-0.040207483,-0.37072968,13.286837,16.262196,-0.059507176,0.1628055,-0.17145216,0.4838255
29768000,50.077675,50.844986,-0.038365554,-0.09256531,13.286723,16.213451,-0.058534563,0.096859165,-0.17346317,1.258439
29960000,50.077675,50.865597,-0.039396096,0.15547764,13.286708,16.159254,-0.057450924,0.0337578,-0.17522535,1.9344013
30152000,50.077675,50.931526,-0.04269257,0.38218844,13.286627,16.066422,-0.055595893,-0.020916393,-0.17695652,2.5755763
30368000,50.077675,51.04869,-0.048550796,0.5837856,13.286689,15.948644,-0.053239096,-0.085783966,-0.1788746,3.241017
30560000,50.077675,51.18196,-0.055214312,0.7067718,13.286937,15.845879,-0.051178835,-0.1267205,-0.18055968,3.7732432
30752000,50.077675,51.33506,-0.062869266,0.7737486,13.2869215,15.755564,-0.049372844,-0.15866774,-0.18223962,4.247979
30968000,50.077675,51.51386,-0.071809195,0.7733128,13.287125,15.677637,-0.04781025,-0.17844625,-0.18414672,4.7203646
31160000,50.077675,51.666065,-0.079419516,0.71110374,13.287176,15.574758,-0.045751628,-0.18426406,-0.1858459,5.0801497
31352000,50.077675,51.801857,-0.08620911,0.5963253,13.287315,15.465895,-0.043571584,-0.16990852,-0.18754067,5.383315
31568000,50.077675,51.924175,-0.092325024,0.43315175,13.28735,15.36743,-0.0416016,-0.12609151,-0.1894266,5.6584945
31760000,50.077675,52.000103,-0.09612141,0.2605222,13.2873745,15.315601,-0.040564537,-0.06957554,-0.19109845,5.8642383
31952000,50.077675,52.04084,-0.09815826,0.06504681,13.287548,15.274734,-0.03974371,-0.008399664,-0.19276257,6.044448
32168000,50.077675,52.04107,-0.09816971,-0.16193354,13.28746,15.286801,-0.03998682,0.080753386,-0.19463922,6.2416697
32360000,50.077675,52.003727,-0.096302606,-0.34977666,13.287437,15.350901,-0.041269265,0.15306617,-0.19632569,6.4352803
