timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6240000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
13195999,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
21976000,2,0,1,15,0,0,1,0,0,0,0,0,0,0
33288000,2,1,2,15,0,0,1,0,0,0,0,0,0,0
48464000,2,2,3,15,0,0,1,0,0,0,0,0,0,0
70136000,2,3,4,15,0,0,1,0,0,0,0,0,0,0
84416000,2,4,5,15,0,0,1,0,0,0,0,0,0,0
100264000,2,5,6,15,0,0,1,0,0,0,0,0,0,0
112472000,2,6,7,15,0,0,1,0,0,0,0,0,0,0
132688000,2,7,8,15,0,0,1,0,0,0,0,0,0,0
156880000,2,8,9,15,0,0,1,0,0,0,0,0,0,0
156940000,2,9,10,15,0,0,1,0,0,0,0,0,0,0
156944000,2,10,11,15,0,0,1,0,0,0,0,0,0,0
156992000,2,11,12,15,0,0,1,0,0,0,0,0,0,0
157048000,2,12,13,15,0,0,1,0,0,0,0,0,0,0
165616000,2,13,14,15,0,0,1,0,0,0,0,0,0,0
223968000,2,14,14,15,0,0,1,0,1,0,0,0,0,0
224472000,3,-1,0,15,0,0,1,0,0,0,0,0,0,0
