timestamp,pressure,temperature
32932000,966.18164,12.404602
33032000,966.1588,12.404602
33148000,966.1575,12.404602
33244000,966.1588,12.404602
33340000,966.16516,12.404602
33436000,966.1714,12.404602
33532000,966.1627,12.404602
33628000,966.168,12.404602
33748000,966.1864,12.404602
33844000,966.1714,12.404602
33940000,966.16534,12.404602
34036000,966.1672,12.404602
34132000,966.1697,12.404602
34228000,966.1508,12.404602
34348000,966.15216,12.404602
34444000,966.1801,12.404602
34540000,966.1825,12.404602
34636000,966.1666,12.404602
34732000,966.1725,12.404602
34828000,966.1775,12.404572
34948000,966.1728,12.4045105
35044000,966.16895,12.40448
35140000,966.16534,12.404449
35236000,966.16907,12.404419
35336000,966.17596,12.404388
35428000,966.15625,12.404358
35528000,966.1539,12.404297
35644000,966.1553,12.403931
35740000,966.1398,12.403412
35836000,966.1401,12.402679
35932000,966.11945,12.401794
36028000,966.0959,12.400726
36148000,966.07404,12.39917
36244000,966.0319,12.397705
36340000,966.01605,12.396057
36436000,965.97925,12.394196
36536000,965.9566,12.392181
36632000,965.90607,12.389954
36748000,965.84607,12.386932
36844000,965.8048,12.384308
36940000,965.7599,12.38147
37036000,965.7037,12.3784485
37132000,965.66516,12.375244
37228000,965.5886,12.371826
37348000,965.5222,12.36731
37444000,965.4226,12.363495
37540000,965.3723,12.359589
37636000,965.30164,12.355591
37732000,965.232,12.351532
37828000,965.15436,12.347443
37924000,965.0598,12.343323
38044000,965.00085,12.338135
38140000,964.896,12.334045
38236000,964.8441,12.329987
38332000,964.7741,12.325989
38428000,964.6963,12.3220825
38548000,964.61444,12.317383
38644000,964.5447,12.313812
38740000,964.49097,12.310394
38836000,964.4503,12.307159
38932000,964.3771,12.304047
39028000,964.3256,12.301056
39148000,964.2524,12.297485
39244000,964.2019,12.294678
39340000,964.1584,12.291992
39436000,964.131,12.289337
39532000,964.0806,12.286774
39628000,964.04535,12.284241
39724000,963.97217,12.281738
39844000,963.92,12.278656
39940000,963.8891,12.276215
40036000,963.8295,12.273773
40132000,963.7973,12.271362
40228000,963.75037,12.268982
40348000,963.71124,12.266052
40444000,963.6583,12.263733
40540000,963.61255,12.261475
40636000,963.5822,12.259277
40732000,963.5421,12.257141
40832000,963.49774,12.255096
40948000,963.4624,12.252655
41044000,963.43146,12.250793
41140000,963.4046,12.249023
41236000,963.37946,12.2473755
41332000,963.3502,12.245789
41432000,963.3113,12.244293
41548000,963.2783,12.242554
41644000,963.2828,12.241241
41740000,963.24316,12.23999
41836000,963.23425,12.2388
41932000,963.19,12.237671
42028000,963.1784,12.236572
42148000,963.15027,12.235199
42244000,963.1184,12.2341
42344000,963.0981,12.232941
42436000,963.10425,12.23172
42532000,963.06946,12.230377
42628000,963.0574,12.228912
42748000,963.01245,12.226868
42844000,962.9761,12.224976
42940000,962.92804,12.222839
43036000,962.88586,12.220459
43132000,962.8318,12.217804
43228000,962.77997,12.214874
43348000,962.70996,12.210815
43444000,962.6527,12.207275
43540000,962.59296,12.2034
43636000,962.5149,12.19931
43732000,962.44305,12.194977
43828000,962.3516,12.19046
43948000,962.264,12.184601
44044000,962.17523,12.179779
44140000,962.0755,12.174866
44236000,961.9858,12.169861
44332000,961.9212,12.164856
44428000,961.81256,12.15979
44548000,961.7063,12.153412
44644000,961.6199,12.148315
44740000,961.54016,12.143219
44836000,961.4466,12.138153
44932000,961.3509,12.133087
45032000,961.2659,12.128052
45148000,961.155,12.121765
45244000,961.0548,12.116791
45340000,960.9666,12.111816
45436000,960.88214,12.106873
45532000,960.7913,12.10199
45628000,960.71094,12.097107
45748000,960.5902,12.091034
45844000,960.51483,12.086212
45940000,960.4474,12.081421
46036000,960.36584,12.07663
46132000,960.2604,12.071899
46232000,960.16144,12.0672
46348000,960.057,12.061462
46448000,960.0078,12.057007
46540000,959.9138,12.052734
46636000,959.8347,12.048676
46732000,959.7632,12.04483
46828000,959.71545,12.04129
46948000,959.6332,12.037231
47044000,959.6021,12.034363
47140000,959.5826,12.031799
47236000,959.51465,12.029541
47332000,959.48065,12.027588
47428000,959.4437,12.02594
47548000,959.4122,12.024292
47644000,959.4024,12.023315
47740000,959.3938,12.022644
47836000,959.3598,12.022217
47932000,959.3737,12.022095
48028000,959.39105,12.022217
48148000,959.37274,12.022736
48244000,959.4054,12.023407
48340000,959.4161,12.024261
48436000,959.4231,12.02536
48532000,959.47754,12.026611
48628000,959.4683,12.028046
48748000,959.528,12.030029
48844000,959.5726,12.031769
48940000,959.58966,12.0336
49036000,959.6301,12.035553
49132000,959.6671,12.037537
49228000,959.6918,12.039642
49348000,959.7449,12.042328
49444000,959.78503,12.044525
49540000,959.8084,12.046753
49636000,959.87,12.049011
49732000,959.89966,12.05127
49832000,959.9294,12.053558
49924000,959.9763,12.055786
50044000,960.0278,12.05835
50140000,960.0473,12.06012
50236000,960.0681,12.061554
50332000,960.1031,12.062683
50432000,960.10504,12.063416
50524000,960.1073,12.063782
50644000,960.1192,12.063812
50740000,960.1088,12.063507
50836000,960.0967,12.062897
50932000,960.0872,12.062042
51028000,960.0753,12.060944
51148000,960.0311,12.059235
51244000,960.01843,12.057648
51340000,959.9853,12.055878
51436000,959.95624,12.053894
51532000,959.8949,12.051758
51628000,959.86194,12.049469
51748000,959.80347,12.046387
51844000,959.7604,12.043793
51940000,959.7067,12.041077
52036000,959.6618,12.038239
52132000,959.6059,12.035309
52228000,959.5531,12.032288
52324000,959.52686,12.029175
52444000,959.43304,12.025177
52540000,959.36475,12.021912
52636000,959.30756,12.018585
52732000,959.2687,12.015198
52828000,959.1828,12.01178
52948000,959.1243,12.007446
53044000,959.0636,12.003937
53140000,958.9984,12.000397
53236000,958.947,11.996826
53332000,958.8749,11.993225
53428000,958.8076,11.989624
53548000,958.74304,11.985107
53644000,958.6638,11.981476
53740000,958.5819,11.977844
53836000,958.53156,11.974213
53932000,958.49,11.970581
54028000,958.3965,11.966919
54148000,958.3198,11.962372
54244000,958.25934,11.95874
54340000,958.192,11.955109
54436000,958.12274,11.951447
54532000,958.0707,11.947845
54628000,958.00397,11.944214
54748000,957.91925,11.939728
54844000,957.8548,11.936127
54940000,957.78296,11.932526
55036000,957.73175,11.928955
55132000,957.6667,11.9253845
55228000,957.6193,11.921814
55348000,957.5399,11.917389
55444000,957.46606,11.913849
55540000,957.39874,11.910309
55636000,957.3536,11.906799
55732000,957.2832,11.90329
55828000,957.2211,11.89978
55948000,957.1247,11.895416
56044000,957.07117,11.891937
56140000,957.00226,11.888458
56236000,956.9509,11.884979
56332000,956.9171,11.881531
56432000,956.83575,11.878082
56548000,956.763,11.873779
56644000,956.7051,11.870331
56740000,956.62573,11.866913
56836000,956.6075,11.863495
56932000,956.52966,11.860077
57028000,956.4557,11.856659
57148000,956.3756,11.852417
57244000,956.3263,11.84903
57340000,956.2576,11.845642
57436000,956.2012,11.842255
57532000,956.13104,11.838867
57628000,956.0701,11.83548
57748000,955.99536,11.831268
57848000,955.9658,11.827911
57940000,955.8919,11.824554
58036000,955.8407,11.8211975
58132000,955.77246,11.817841
58228000,955.7144,11.814484
58348000,955.6335,11.810303
58444000,955.5751,11.806976
58540000,955.53375,11.80365
58636000,955.47046,11.8003235
58732000,955.4071,11.796997
58828000,955.346,11.793671
58948000,955.2914,11.78952
59048000,955.2211,11.786224
59140000,955.1613,11.782898
59236000,955.1008,11.779602
59332000,955.04865,11.776306
59428000,954.97003,11.77301
59548000,954.91113,11.76889
59644000,954.8578,11.7655945
59740000,954.78894,11.762329
59836000,954.7479,11.759064
59932000,954.6731,11.75592
60028000,954.637,11.752899
60148000,954.56946,11.749359
60244000,954.5137,11.746735
60344000,954.4769,11.744354
60436000,954.43365,11.742218
60532000,954.4011,11.740326
60628000,954.3599,11.738647
60748000,954.3591,11.736847
60843999,954.3223,11.735626
60964000,954.3101,11.734375
61060000,954.2917,11.733582
61160000,954.2744,11.732941
61251999,954.2486,11.732483
61372000,954.26685,11.732147
61471999,954.25964,11.731995
61563999,954.25574,11.731995
61660000,954.2727,11.732117
61780000,954.2668,11.732422
61876000,954.2621,11.732788
61971999,954.30145,11.733215
62092000,954.29865,11.733856
62188000,954.2895,11.734467
62284000,954.33435,11.735138
62379999,954.3138,11.73584
62500000,954.36426,11.736786
62596000,954.3392,11.737549
62691999,954.36414,11.738373
62788000,954.37476,11.739197
62908000,954.3946,11.740265
63004000,954.42847,11.741119
63099999,954.4565,11.741974
63220000,954.4635,11.743042
63316000,954.45294,11.7438965
63412000,954.4787,11.74472
63507999,954.5124,11.745575
63604000,954.5118,11.746399
63724000,954.542,11.747498
63820000,954.54193,11.748413
63916000,954.57196,11.74939
64012000,954.60046,11.750397
64108000,954.60474,11.751434
64204000,954.61926,11.752533
64324000,954.6341,11.753967
64420000,954.6642,11.755188
64516000,954.67084,11.756409
64612000,954.70734,11.75769
64708000,954.73016,11.759003
64804000,954.7545,11.760376
64924000,954.7867,11.762085
65020000,954.8078,11.763519
65120000,954.8346,11.764954
65212000,954.8506,11.766388
65308000,954.8887,11.767853
65404000,954.91583,11.769318
65524000,954.9462,11.771118
65620000,954.9707,11.7725525
65716000,955.009,11.773956
65816000,955.019,11.775299
65908000,955.0356,11.776581
66004000,955.0744,11.7778015
66124000,955.0894,11.779205
66220000,955.08936,11.780212
66316000,955.1379,11.781097
66412000,955.1323,11.78183
66508000,955.14764,11.78244
66608000,955.1614,11.782898
66724000,955.1639,11.783234
66820000,955.162,11.783295
66916000,955.17255,11.783203
67012000,955.1657,11.782959
67108000,955.15344,11.782562
67204000,955.1507,11.782013
67324000,955.106,11.781097
67420000,955.10504,11.780212
67516000,955.0992,11.779205
67612000,955.06067,11.778107
67708000,955.05646,11.776855
67804000,955.024,11.775543
67924000,954.98413,11.773743
68020000,954.9734,11.772247
68116000,954.9517,11.77066
68212000,954.9233,11.769012
68308000,954.889,11.767334
68404000,954.8499,11.7656555
68500000,954.8156,11.763947
68620000,954.8,11.761841
68716000,954.7632,11.760193
68812000,954.7263,11.758575
68908000,954.7026,11.757019
69004000,954.67865,11.755524
69124000,954.6443,11.753754
69220000,954.62366,11.752411
69316000,954.60175,11.751129
69412000,954.5838,11.749908
69508000,954.54,11.748779
69604000,954.53217,11.747742
69724000,954.5042,11.746521
69820000,954.50256,11.745636
69916000,954.4886,11.744843
70012000,954.4849,11.74408
70108000,954.4755,11.743408
70204000,954.4509,11.742798
70324000,954.4343,11.742157
70420000,954.43445,11.741699
70516000,954.43,11.741272
70612000,954.4081,11.740936
70708000,954.4192,11.740662
70804000,954.4033,11.7404175
70924000,954.4099,11.740173
71020000,954.3942,11.740051
71116000,954.3941,11.73996
71212000,954.4028,11.739899
71308000,954.4173,11.739899
71404000,954.39355,11.739899
71524000,954.4121,11.73999
71620000,954.42255,11.740051
71716000,954.41144,11.740173
71812000,954.40155,11.740295
71908000,954.3942,11.740448
72004000,954.4139,11.740601
72124000,954.40497,11.740814
72220000,954.40375,11.740997
72316000,954.43677,11.741211
72412000,954.4371,11.741394
72508000,954.43134,11.741608
72604000,954.4287,11.741791
72724000,954.42645,11.742035
72820000,954.44147,11.742249
72916000,954.4429,11.742432
73012000,954.4445,11.742645
73112000,954.4451,11.742828
73204000,954.4566,11.743011
73324000,954.47125,11.743225
73420000,954.4544,11.743378
73516000,954.46094,11.74353
73612000,954.4661,11.743683
73712000,954.4641,11.743805
73804000,954.4808,11.7439575
73900000,954.45844,11.74408
74020000,954.46844,11.744232
74116000,954.49225,11.744324
74212000,954.4742,11.744415
74308000,954.4757,11.744476
74404000,954.4761,11.744568
74524000,954.47327,11.744629
74620000,954.4741,11.74469
74716000,954.48834,11.74472
74812000,954.46875,11.744751
74908000,954.49817,11.7447815
75008000,954.48004,11.7447815
75124000,954.4761,11.744812
75220000,954.4763,11.7447815
75316000,954.4883,11.7447815
75412000,954.4835,11.7447815
75512000,954.478,11.744751
75608000,954.4926,11.74472
