timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6316000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
34244000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
49600000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
63152000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
80288000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
96640000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
145248000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
145308000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
145312000,2,6,7,11,0,0,1,0,0,0,0,0,0,0
145360000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
145416000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
207632000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
253772000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
254267999,3,-1,0,11,0,0,1,0,0,0,0,0,0,0
