timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius
12308000,23.067574,23.520596,12.389954
12332000,23.044891,23.49772,12.389313
12356000,23.022184,23.474695,12.388641
12380000,22.971117,23.422749,12.38797
12404000,22.974674,23.426289,12.387268
12428000,22.95978,23.411482,12.386566
12452000,22.914484,23.365269,12.385834
12476000,22.951538,23.403454,12.385101
12500000,22.903126,23.354033,12.384338
12524000,22.958084,23.410242,12.383575
12548000,22.905111,23.356142,12.3828125
12572000,22.891123,23.342028,12.382019
12596000,22.879206,23.33026,12.381226
12620000,22.874805,23.32573,12.380402
12644000,22.838774,23.289137,12.379578
12668000,22.810045,23.260038,12.378723
12692000,22.83109,23.281641,12.377869
12716000,22.765236,23.21445,12.376984
12740000,22.725027,23.173637,12.376099
12763999,22.791895,23.242273,12.375214
12788000,22.68306,23.13141,12.374298
12812000,22.6952,23.143702,12.373352
12836000,22.636402,23.084078,12.372437
12859999,22.622805,23.070282,12.37146
12884000,22.667269,23.115915,12.370483
12908000,22.629921,23.077847,12.369507
12932000,22.59705,23.044569,12.3685
12955999,22.633396,23.081976,12.367493
12980000,22.599428,23.0472,12.366455
13007999,22.531824,22.97857,12.3654175
13028000,22.55244,22.999739,12.36438
13051999,22.521458,22.968348,12.363312
13076000,22.507923,22.954643,12.362244
13100000,22.44986,22.89587,12.361176
13124000,22.457977,22.904333,12.360077
13147999,22.314072,22.757586,12.358978
13172000,22.424047,22.869892,12.357849
13196000,22.422047,22.868195,12.3567505
13219999,22.299658,22.74359,12.355621
13244000,22.405739,22.851864,12.354492
13272000,22.390667,22.83657,12.353363
13295999,22.348253,22.793543,12.352203
13320000,22.351154,22.79656,12.351074
13340000,22.356926,22.802744,12.349915
13364000,22.364563,22.810621,12.348755
13388000,22.325975,22.771631,12.347595
13411999,22.35132,22.797606,12.346405
13436000,22.31624,22.761932,12.345245
13460000,22.306473,22.752327,12.344055
13488000,22.341202,22.787817,12.342865
13508000,22.236094,22.680868,12.341675
13532000,22.371773,22.81947,12.340485
13556000,22.237873,22.683218,12.339294
13580000,22.192759,22.637537,12.338104
13604000,22.143723,22.587328,12.336884
13628000,22.132053,22.57593,12.335693
13652000,21.915619,22.35527,12.334503
13676000,21.832924,22.271172,12.333282
13700000,21.768175,22.2053,12.332092
13724000,21.652008,22.086916,12.330872
13748000,21.652973,22.087992,12.329681
13772000,21.517872,21.95057,12.328461
13796000,21.43798,21.869167,12.3272705
13820000,21.328474,21.757662,12.32605
13844000,21.324953,21.754383,12.32486
13868000,21.211706,21.63924,12.323639
13892000,21.141277,21.567223,12.322418
