timestamp,roll_body,pitch_body,yaw_body,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
10720000,0,-0.28805277,1.6169364,0.6834566,0.103804484,-0.09912212,0.71574193,1
10744000,0,-0.27313632,1.6169364,0.68417686,0.09846348,-0.094022036,0.7164962,1
10768000,0,-0.2591226,1.6169364,0.68481886,0.09344071,-0.089225836,0.71716857,1
10792000,0,-0.2460334,1.6169364,0.68538815,0.08874516,-0.08474209,0.71776474,1
10816000,0,-0.23370965,1.6169364,0.6858973,0.08432073,-0.08051723,0.7182979,1
10840000,0,-0.22202705,1.6169364,0.68635595,0.08012352,-0.07650935,0.7187782,1
10864000,0,-0.21088646,1.6169364,0.68677145,0.0761185,-0.07268498,0.71921337,1
10888000,0,-0.20028593,1.6169364,0.687147,0.07230542,-0.069043905,0.7196067,1
10912000,0,-0.19014435,1.6169364,0.6874883,0.06865553,-0.06555865,0.7199641,1
10936000,0,-0.1803954,1.6169364,0.68779975,0.065145284,-0.06220674,0.72029024,1
10960000,0,-0.17098404,1.6169364,0.68808484,0.061755117,-0.058969498,0.7205888,1
10984000,0,-0.16191289,1.6169364,0.68834525,0.05848621,-0.055848043,0.7208615,1
11008000,0,-0.15313509,1.6169364,0.6885837,0.05532187,-0.052826438,0.72111124,1
11032000,0,-0.14461105,1.6169364,0.6888026,0.052247982,-0.049891207,0.7213405,1
11056000,0,-0.13630693,1.6169364,0.6890038,0.04925249,-0.047030833,0.7215512,1
11080000,0,-0.12819365,1.6169364,0.6891889,0.04632502,-0.044235412,0.721745,1
11104000,0,-0.12028647,1.6169364,0.6893584,0.043471187,-0.04151031,0.7219226,1
11128000,0,-0.11255862,1.6169364,0.6895136,0.04068141,-0.038846374,0.7220851,1
11152000,0,-0.10498679,1.6169364,0.6896558,0.03794737,-0.03623566,0.72223395,1
11176000,0,-0.0975506,1.6169364,0.6897857,0.035261784,-0.03367121,0.72237,1
11200000,0,-0.09024888,1.6169364,0.6899041,0.032624286,-0.031152684,0.722494,1
11224000,0,-0.08306413,1.6169364,0.6900115,0.030028608,-0.028674092,0.7226065,1
11248000,0,-0.07598085,1.6169364,0.6901088,0.027469212,-0.026230145,0.72270834,1
11272000,0,-0.068985224,1.6169364,0.6901963,0.024941152,-0.023816118,0.7228,1
11296000,0,-0.06207844,1.6169364,0.6902744,0.022444895,-0.021432461,0.72288185,1
11320000,0,-0.055248328,1.6169364,0.69034356,0.019976089,-0.019075017,0.7229543,1
11344000,0,-0.048483964,1.6169364,0.6904041,0.017530816,-0.016740045,0.72301763,1
11368000,0,-0.04177546,1.6169364,0.6904564,0.015105539,-0.014424166,0.7230724,1
11392000,0,-0.035121728,1.6169364,0.69050056,0.012699894,-0.012127033,0.72311866,1
11416000,0,-0.028514147,1.6169364,0.6905369,0.010310796,-0.009845702,0.7231567,1
11440000,0,-0.021944877,1.6169364,0.69056547,0.007935439,-0.007577492,0.7231867,1
11464000,0,-0.015406787,1.6169364,0.69058657,0.005571272,-0.005319966,0.7232087,1
