timestamp,xyz[0],xyz[1],xyz[2]
9004000,0.3798737,0.5819464,0.21160913
9008000,0.38994104,0.274016,0.395806
9012000,-0.15817682,0.23953171,0.04314238
9020000,-0.23670737,0.59828943,-0.25514883
9028000,-0.2253837,-0.0839372,0.31815928
9032000,0.5251652,-0.36519238,0.6767481
9036000,0.97124654,-0.4486357,0.3259742
9040000,0.46022168,-0.22941941,-0.3072536
9044000,-0.3135401,-0.11758292,-0.36340344
9048000,-0.46785015,-0.2682078,-0.47675425
9056000,0.32484844,-0.027617147,-0.4859851
9060000,0.122788936,0.07494816,0.119664416
9064000,-0.3574273,0.05108598,0.49431467
9068000,-0.5987597,0.095334984,0.65585417
9072000,-0.16180852,0.35039413,0.43565756
9080000,0.27950668,-0.1406508,-0.39254618
9084000,-0.06553282,-0.35590917,-0.31993654
9088000,-0.120547175,-0.51977736,-0.19393031
9092000,0.046784077,-0.40436548,-0.03861908
9096000,0.1352652,0.013598889,0.12734778
9100000,0.30266836,0.39063117,0.35000676
9108000,0.24527779,0.080355905,-0.4982581
9112000,0.35468462,-0.31180495,-0.5586731
9116000,0.22868353,-0.45353937,-0.44353548
9120000,0.010002662,0.10178439,-0.3438925
9124000,-0.041604877,0.76896,-0.07390721
9128000,-0.12975465,0.75338197,0.31571236
9136000,-0.36214557,-0.40178224,0.54415274
9140000,-0.53592455,-0.39242148,0.048696555
9144000,-0.47055578,-0.13157788,-0.45876414
9148000,0.2258441,-0.059621885,-0.53412145
9152000,0.82239866,-0.085098505,-0.37018532
9156000,0.48700064,-0.14152177,-0.07170291
9160000,-0.051076367,-0.22542968,0.5878474
9164000,-0.3141885,-0.17242147,0.9592603
9168000,-0.41556847,0.20021626,0.9033551
9172000,-0.4565902,0.38723594,0.42227307
9180000,0.026856378,-0.010163775,-0.6687888
9184000,0.26349184,-0.37325293,-0.40171015
9192000,0.11819972,0.1992456,0.24336211
9196000,-0.38688087,0.33910662,0.2859341
9200000,-0.5818536,0.16341083,-0.32235602
9204000,0.06900978,-0.26197597,-0.49715063
9212000,0.4560025,-0.8153413,0.59178317
9216000,0.076590404,-0.39898288,0.8682189
9224000,0.17779264,0.5189546,-0.8635738
9228000,0.5139234,0.81743526,-0.5123655
9232000,0.24195458,0.55523753,0.17808428
9240000,-0.5037175,0.17728941,-0.093781024
9244000,-0.5546878,-0.111336485,0.15872036
9248000,-0.8553978,0.051007442,0.53580284
9252000,-0.51913667,0.26240268,0.23069893
9256000,0.4010974,0.07626572,-0.085032366
9260000,0.9776372,0.16368765,-0.07742397
9264000,0.87849665,0.039390743,-0.1244153
9272000,-0.12430887,-0.5601666,-0.7247788
9276000,-0.21444878,-0.6863912,-0.16226473
9280000,-0.22676462,-0.7147238,0.56255025
9284000,-0.02591867,0.017205417,0.5177148
9288000,-0.014786497,0.7063564,0.24191257
9296000,-0.2345137,0.5606277,0.24251458
9300000,-0.33088166,0.21965034,-0.20489994
9304000,0.13371879,-0.28793252,-0.13618493
9308000,0.7998986,-0.7035157,0.24248952
9312000,0.6549333,-0.60287744,0.58183324
9316000,0.19263156,-0.16410165,0.47756338
9324000,-0.18439749,0.65204376,-1.2862326
9328000,-0.010195201,0.8770164,-0.6248335
9332000,0.05352164,0.3927098,-0.09500404
9336000,-0.09201944,-0.15512076,-0.08345112
9340000,-0.28836483,-0.4171393,-0.24184862
9344000,-0.21943909,-0.41805944,-0.21384297
9348000,0.030231826,-0.31528443,0.23974419
9352000,0.26411545,-0.081894375,0.5051545
9356000,0.3395712,0.29697987,0.34474337
9360000,0.17367,0.3853367,0.07605612
9364000,-0.26911312,-0.080471955,-0.07244329
9368000,-0.4891938,-0.7369601,0.3310284
9372000,-0.23064142,-0.7869899,0.65312755
9376000,0.048680592,-0.1948116,-0.040767014
9380000,0.28163546,0.23539767,-0.6593143
9384000,0.08166605,0.29333407,-0.1320497
9388000,-0.4860791,0.45031682,0.5885504
9392000,-0.21498701,0.585325,0.47491443
9396000,0.31118947,0.22018656,-0.0812139
9400000,0.18120432,-0.2921834,-0.4469568
9408000,0.5047227,-0.27902502,-0.6797267
9412000,-0.07209812,-0.160005,-0.13577782
9416000,-0.60923034,0.005893694,0.56014
9420000,-0.22092772,0.44139472,0.9093258
9424000,0.42189175,0.79655737,0.66629744
9432000,0.09699626,0.57142496,-0.24844398
9436000,-0.11550155,-0.23655978,-0.45374525
9440000,-0.10465342,-1.2225726,-0.57211936
9444000,-0.071210206,-0.7883562,-0.25122404
9448000,-0.26566425,0.37087232,-0.10528283
9452000,-0.26681644,0.46167845,-0.33030632
9456000,0.018039197,0.016354367,-0.37504697
9460000,0.1800797,-0.15545431,0.14370476
9468000,-0.13254398,-0.23128004,0.5038784
9472000,-0.348345,-0.16228144,-0.10462375
9476000,-0.50169164,0.031916395,-0.21158195
9480000,-0.16531567,-0.27573547,0.013366282
9488000,0.25190976,-0.17864345,-0.4297076
9496000,-0.25544268,1.3084427,0.17863134
9500000,0.32523066,0.4308109,0.17462888
9504000,0.443986,-0.35966834,-0.039797924
9512000,-0.15495574,-0.050367713,0.30267206
9516000,0.22622117,-0.45515665,0.34886932
9520000,0.24518907,-0.40664953,0.22188523
9524000,-0.069782645,-0.22758976,0.1374326
9528000,-0.47020268,-0.20857322,0.20416778
9536000,-0.47788095,0.40064293,-0.2726523
9540000,-0.1434745,0.093084775,-0.31798178
9544000,-0.10261135,-0.494491,-0.21579814
9548000,0.26923168,-0.3966112,-0.14574338
9552000,0.7332501,0.60097337,-0.024144065
9556000,0.49561077,0.8271465,0.24958476
9560000,0.11321453,0.084300965,0.34225297
9564000,-0.029719602,-0.067059435,0.33339697
9568000,-0.26094443,0.16156384,0.057885684
9576000,-0.03305517,-0.14821282,0.100676894
9580000,-0.18875597,0.44380403,0.2771677
9584000,-0.1502098,0.4238252,-0.15622546
9588000,0.21690166,-0.2286305,-0.4178985
9592000,0.3434419,-0.84299284,-0.4297228
9596000,0.23913369,-1.1014801,-0.2056705
9600000,0.08133456,-0.4850647,-0.053029917
9604000,0.14496969,0.5573254,-0.40216756
9608000,0.5795274,0.94838244,-0.4986415
9612000,0.7149307,0.5161775,0.31986308
9620000,-0.21835837,-0.4522907,0.8533059
9624000,-0.71079427,-0.484204,-0.07497284
9632000,-0.04936544,0.4007329,0.13349244
9636000,0.17248535,-0.045977622,0.15143855
9640000,-0.02532817,-0.73047,-0.22894077
9644000,-0.3711353,-0.5989541,-0.5607035
9648000,-0.36700743,-0.1986473,-0.2801385
9652000,0.035953395,-0.10712242,0.265439
9656000,0.37598637,0.060674477,0.41268453
9660000,0.3245709,0.7267688,0.1733793
9668000,-0.2783892,0.9681034,-0.30454436
9672000,-0.2526539,0.24988687,-0.24914874
9676000,0.108092755,-0.18367004,-0.3315486
9680000,0.17231323,-0.22931299,-0.41029817
9684000,-0.27164704,-0.25679928,-0.049195692
9688000,-0.19183658,-0.27758077,0.3380119
9692000,0.50030154,-0.36762205,0.392399
9696000,0.46924093,-0.31100002,0.5166825
9700000,-0.16937864,0.16752124,0.3042596
9704000,-0.60315585,0.3263883,-0.27476758
9708000,-0.5261296,-0.081858635,-0.24151301
9716000,0.08672373,-0.077234425,0.15403795
9720000,0.28728566,0.042444855,0.06337622
9724000,-0.11651583,0.062173165,-0.35968488
9732000,0.12729621,-0.005994868,-0.20615101
9736000,0.752638,-0.05163613,0.27276748
9740000,0.56772584,-0.00778706,0.3071087
9748000,-0.48225135,0.13821805,0.1699796
9752000,-0.37530848,-0.021295194,0.14076434
9756000,-0.028959973,0.11120481,0.05168034
9760000,0.17934126,0.37101635,-0.1070806
9764000,0.0449166,0.1986967,-0.15794939
9772000,-0.11831969,-0.53637654,-0.45296875
9780000,-7.46E-05,-0.35308653,0.010227382
9784000,0.44334695,-0.19066778,0.3067169
9792000,0.13383661,-0.008617014,0.57606006
9796000,-0.46288025,0.12411836,0.012066886
9800000,-0.4434622,0.35171458,-0.7723293
9804000,-0.019706652,0.5841696,-0.9411593
9812000,0.25346017,0.01505062,0.28656957
9820000,0.1255372,-0.2973258,0.16386716
9824000,-0.15727349,0.14532912,-0.010180466
9832000,-0.43135142,0.2309289,-0.37879807
9836000,0.08082299,-0.061499283,-0.78698
9844000,-0.33305606,-0.16366568,0.4613333
9848000,-0.496175,-0.002885129,0.9802811
9852000,0.024920657,0.11551406,0.73094994
9856000,0.5023029,-0.06998739,0.18138136
9860000,0.46241355,-0.23465578,-0.31033224
9864000,0.2680363,-0.06291889,-0.3060634
9868000,0.24061733,0.02634865,-0.029539177
9872000,0.092046395,0.11555107,0.11418137
9876000,-0.03980065,0.06589368,0.0795147
9880000,-0.061951503,0.10514042,0.028705724
9888000,-0.28900945,0.8771854,0.93902856
9892000,-0.23130703,0.6706658,0.7403077
9900000,-0.19265708,-0.41969845,-1.5976481
9904000,0.4274628,-0.6834466,-1.1431134
9908000,0.78045547,-0.57320446,-0.018892586
9916000,0.17598757,-0.41210824,0.3651497
9920000,-0.09115647,-0.01373142,0.22933951
9924000,-0.3952287,-0.055278435,-0.001820877
9928000,-0.7978097,-0.1526448,-0.6126235
9932000,-0.68978286,-0.14246152,-0.8129651
9940000,0.6517367,-0.10610998,0.6479714
9944000,0.28438336,0.43060067,0.5616654
9948000,-0.006700542,0.628222,0.5033072
9956000,-0.3171482,0.24445105,-0.3911454
9960000,-0.326284,0.0383486,-0.40006477
9964000,-0.31460398,-0.1854035,0.14072219
9968000,0.2630793,0.12067601,0.3781657
9972000,0.6067932,0.4583795,0.42212898
9976000,0.4436327,-0.039695203,0.35615802
9984000,-0.29268238,-0.7075802,-0.5684926
9988000,-0.46696994,-0.2176897,-0.55909055
9992000,-0.19245142,0.033689477,-0.18823427
9996000,0.3509042,0.14881615,0.24262004
10004000,0.21357112,0.112563394,0.08053648
10008000,-0.20702241,0.34945813,0.17151964
10012000,0.01063399,0.29274997,0.2735494
10020000,0.33573982,-0.4417611,-0.14674422
10024000,0.09227452,-0.4753414,-0.22773951
10028000,-0.22629914,-0.26549974,-0.004682086
10032000,-0.6106597,0.2809342,0.27266532
10036000,-0.68136084,0.27773532,0.17375235
10044000,0.47680068,-0.20238256,-0.38282272
10048000,0.2565186,0.05437486,-0.11589126
10052000,-0.43340802,0.2912775,0.07590471
10056000,-0.5087234,0.5844526,0.012258142
10060000,-0.012170389,0.45458174,0.06598518
10068000,0.49751002,-0.17531481,-0.18850207
10072000,0.41319096,-0.32686654,0.37726545
10076000,0.20629543,-0.45662728,0.6508738
10080000,0.08078928,-0.20624113,0.30904126
10084000,0.013520168,0.17274173,-0.19176541
10088000,0.063396946,0.6286591,-0.2679569
10092000,0.10081709,0.65855753,-0.11260133
10100000,0.26136065,-0.21061632,-0.426357
10104000,0.035641,-0.1444341,-0.35975203
10112000,-0.5219631,-0.20158312,0.3124109
10116000,0.06681639,-0.41786963,0.54352885
10120000,0.3613577,-0.13131633,0.36536562
10124000,0.14793631,0.24112123,-0.29876179
10128000,0.09321664,0.12978958,-0.6334709
10132000,0.44961557,-0.045145165,-0.106474824
10136000,0.15229288,-0.03410525,0.326057
10140000,-0.50390947,-0.30233917,0.1844511
10148000,-0.5399242,-0.40205574,-0.27701217
10152000,0.2647434,-0.008072704,-0.24294496
10156000,0.427449,0.6209994,-0.29895627
10160000,0.27743798,0.84006596,-0.623679
10164000,0.33068535,0.34829155,-0.48664343
10168000,-0.05124277,-0.15593456,0.086069375
10172000,-0.30897754,-0.5174213,0.7059134
10180000,0.1615564,0.063029245,0.27171338
10184000,0.25451007,0.010495633,-0.19005136
10188000,-0.13232344,-0.09981666,-0.2673993
10192000,-0.5503491,0.29562682,-0.30215126
10200000,0.31113908,-0.078801006,-0.1271811
10208000,0.03535357,-0.35801873,0.83299357
10212000,-0.29270488,0.261458,0.3034204
10216000,-0.5752234,0.29573673,-0.16740283
10224000,0.000653058,0.1286991,0.14203714
10228000,0.57295316,0.15386936,0.4966281
10236000,0.2750394,-0.20463493,-0.53387195
10240000,-0.37787634,0.011285558,-0.12952806
10248000,-0.082992375,0.15001906,0.057654552
10252000,0.30351236,-0.29714847,-0.08971601
10256000,-0.20204176,-0.16022763,-0.19684197
10260000,-0.6019441,-0.29249388,-0.2897277
10264000,-0.1438247,-0.3842226,-0.19291288
10268000,0.12204461,0.26914778,-0.22046229
10276000,0.15619639,0.080949225,-0.46717006
10280000,0.030058019,-0.1175838,0.057875626
10284000,-0.028464653,-0.2494118,0.24455872
10292000,-0.03146966,0.35649654,0.12497717
10296000,-0.20878914,0.0596897,0.32700068
10304000,-0.5208795,-0.1888109,-0.21872449
10308000,0.072281316,0.025260333,-0.20598552
10312000,0.82970536,0.43736917,0.1661571
10316000,0.768337,0.56521136,0.48573005
10320000,0.07639417,0.091028646,0.56397384
10328000,0.055608716,-0.5788878,-0.24022901
10332000,0.06776621,-0.5351207,-0.32863972
10336000,-0.046206433,-0.116001695,-0.14359458
10340000,-0.047083654,-0.050796274,-0.29759854
10344000,0.11463174,-0.19199283,-0.40647173
10348000,0.25218666,0.09558615,-0.04048334
10352000,0.13626269,0.2617702,0.11622868
10356000,-0.06667003,0.23622018,0.06780816
10360000,0.23372741,0.27048615,-0.03890093
10364000,0.36809027,-0.113554,-0.07805214
10372000,-0.26334316,-0.010360062,0.36394867
10376000,-0.12142873,0.31521404,0.35431105
10380000,-0.41162425,0.3712278,-0.06612152
10384000,-0.37934735,0.39615095,-0.46471378
10388000,0.090061784,0.25398797,-0.41235626
10392000,-0.21851598,-0.1786333,-0.10347541
10396000,-0.5492915,-0.5099088,0.45671815
10400000,-0.32471457,-0.41522726,0.69017327
10408000,0.49443248,-0.012304023,-0.06948915
10412000,0.49406976,0.17318721,0.13908185
10416000,-0.21439773,0.17184159,0.21981339
10424000,-0.21759766,-0.19167912,-0.5078336
10428000,0.26212597,-0.45619094,-0.26577452
10432000,0.6172634,-0.15490903,-0.049681053
10440000,0.6125221,0.51786065,-0.13406053
10444000,0.36503565,0.498296,0.3094952
10448000,0.13396049,-0.066613555,0.372113
10456000,-0.1872409,-0.4208933,0.45169425
10460000,-0.36586815,0.2378384,0.34922335
10464000,-0.5116664,0.2298004,-0.08070594
10468000,-0.42058873,-0.07554504,-0.5269525
10472000,-0.35285917,0.029016882,-0.6204289
10476000,-0.40548918,0.27092138,-0.25175065
10480000,0.038361266,0.34995127,0.3434786
10488000,0.6763809,-0.09177728,0.6400064
10492000,0.23759407,-0.09695149,0.48163706
10496000,-0.49802008,-0.09781596,-0.15775055
10500000,-0.9344951,0.283918,-0.6540209
10504000,-0.35284722,0.72581846,-0.47462043
10508000,0.25893378,-0.092739314,-0.073114835
10516000,1.0741768,-0.8113389,-0.11689608
10520000,0.69598454,0.08622217,0.047763765
10524000,-0.047711372,0.30791068,0.27827823
10528000,-0.40727717,0.28587803,0.26722503
10532000,-0.44117585,0.12738882,-0.07827224
10540000,0.06533309,0.21722469,0.17751536
10548000,-0.33004203,-0.21106426,-0.14758956
10552000,-0.80891836,-0.21272692,-0.3873565
10560000,-0.48658592,0.013652243,-0.289331
10564000,0.15999609,0.3726554,-0.23308301
10568000,0.86934406,0.30679,0.27503058
10576000,0.40328068,0.5460418,0.41951126
10580000,0.09189342,0.46544302,-0.14260902
10584000,0.23504385,-0.23491669,-0.45463148
10592000,-0.69815505,-0.75326157,-0.04191608
10596000,-0.5450209,-0.09450103,0.21031095
10600000,0.12953089,0.172602,-0.12785643
10604000,0.20209947,0.03458284,-0.10703282
10608000,-0.022392854,0.33512503,0.23788461
10612000,0.35161513,0.21847035,0.3670287
10620000,0.41426903,-0.43010703,-0.17416398
10624000,-0.025879025,-0.15245768,-0.56888646
10632000,-0.36648792,-0.043257248,-0.23338827
10640000,-0.44651604,0.48093325,0.53097486
10644000,-0.45398867,0.0751808,-0.01160191
10648000,-0.55179304,-0.009022392,-0.2969739
10656000,0.8476346,0.08147398,0.1713356
10660000,0.7001983,-0.031432934,-0.20100342
