timestamp,x,y,z,temperature
9080000,-0.118745424,0.26680568,-10.02198,-1.39E-25
9184000,-0.23109654,0.22270343,-9.978707,-1.39E-25
9284000,-0.10718034,0.17419268,-9.9170065,12.404602
9384000,-0.10644024,0.16043925,-9.93386,-1.39E-25
9484000,-0.11668129,0.16089585,-10.036118,-1.39E-25
9584000,-0.20632845,0.14021689,-10.002845,-1.39E-25
9684000,-0.17899418,0.14995815,-9.89183,-1.39E-25
9784000,-0.085042655,0.19559114,-9.870472,-1.39E-25
9884000,-0.102020085,0.15732722,-10.000733,12.404602
9984000,-0.22319417,0.2099764,-9.95691,12.404602
10084000,-0.16520363,0.11224575,-9.932179,-1.39E-25
10180000,-0.11424876,0.14426522,-10.004661,-1.39E-25
10284000,-0.18738848,0.2734866,-9.96591,-1.39E-25
10384000,49.68682,0.10030024,-9.866151,-1.39E-25
10484000,38.95847,0.1539773,-9.851856,12.404602
10584000,30.588068,0.14477003,-9.918457,-1.39E-25
10684000,24.276129,0.13495246,-9.9602785,-1.39E-25
10780000,20.42616,-0.5210954,-10.339524,-1.39E-25
10884000,16.549059,0.21692201,-10.24677,-1.39E-25
10984000,12.948011,0.88354075,-10.434936,-1.39E-25
11084000,9.830773,0.47131842,-10.107836,12.404449
11184000,7.2516265,-0.06943807,-9.91928,-1.39E-25
11284000,5.3821664,-0.39571267,-11.165315,-1.39E-25
11384000,3.8993106,-0.28354552,-12.981254,-1.39E-25
11484000,2.8151293,-0.12738246,-14.683864,-1.39E-25
11584000,2.111607,0.034145873,-15.144528,-1.39E-25
11684000,1.7171495,-0.030191993,-14.642276,12.402069
11784000,1.5669435,-0.18495834,-13.9718685,-1.39E-25
11884000,1.3170767,-0.3126353,-13.668864,-1.39E-25
11984000,1.2821975,-0.2752062,-13.632693,-1.39E-25
12084000,0.9477024,-0.35319364,-13.853937,-1.39E-25
12184000,1.1752318,-0.3277357,-13.989051,-1.39E-25
12284000,1.1670253,-0.5024993,-13.971305,-1.39E-25
12384000,1.2634939,-0.46958658,-13.781905,-1.39E-25
12484000,1.4568579,-0.42146844,-13.740282,-1.39E-25
12584000,1.4840683,-0.5932136,-13.881406,-1.39E-25
12684000,1.502834,-0.5456723,-13.9808855,-1.39E-25
12788000,1.5977881,-0.67961484,-13.965384,12.374298
12888000,1.7891881,-0.6176145,-13.871544,-1.39E-25
12987999,1.9615023,-0.6139183,-13.310476,-1.39E-25
13088000,2.1970487,-0.80615574,-12.488605,-1.39E-25
13192000,2.464355,-0.9212328,-11.709144,-1.39E-25
13292000,2.5160775,-0.88474226,-11.033237,-1.39E-25
13391999,2.8239307,-0.8584199,-10.866224,-1.39E-25
13492000,2.8716648,-0.9804102,-10.719497,-1.39E-25
13592000,-0.34793228,-0.76542634,-10.827026,-1.39E-25
13692000,-0.920909,-0.4223612,-11.272223,-1.39E-25
13792000,-0.13642061,-0.33088455,-10.963181,-1.39E-25
13892000,0.85983926,-0.41435856,-9.3978405,12.322418
13992000,1.6755233,-0.48700774,-7.903935,-1.39E-25
14092000,2.188444,-0.5025962,-6.688317,-1.39E-25
14192000,2.4449933,-0.5463015,-6.790837,-1.39E-25
14292000,2.612583,-0.6813035,-7.3947353,-1.39E-25
14392000,2.704333,-0.54440457,-7.977317,-1.39E-25
14492000,2.664849,-0.46000275,-8.388921,12.295105
14592000,2.4189055,-0.3909361,-8.589342,-1.39E-25
14692000,2.5032265,-0.4308107,-8.635341,-1.39E-25
14792000,2.361877,-0.29118568,-8.956205,-1.39E-25
14892000,2.3665426,-0.29089007,-8.993887,-1.39E-25
14992000,2.1941047,-0.28128365,-9.107508,-1.39E-25
15092000,2.2150521,-0.19148862,-9.24725,12.27182
15192000,2.047046,-0.15733898,-9.328087,-1.39E-25
15292000,2.0280178,-0.026578749,-9.4302225,-1.39E-25
15392000,1.9504737,0.15228206,-9.471886,-1.39E-25
15492000,1.925452,-0.05165583,-9.360316,-1.39E-25
15592000,1.945023,-0.018272102,-9.439519,-1.39E-25
15692000,1.9971621,0.005948159,-9.387891,12.250275
15792000,2.0106509,0.21652508,-9.554575,-1.39E-25
15892000,1.9652348,0.2227629,-9.628646,-1.39E-25
15992000,1.9562087,0.2795982,-9.455488,-1.39E-25
16092000,2.0284455,0.35993075,-9.468981,-1.39E-25
16192000,2.0825465,0.32782865,-9.576228,-1.39E-25
16292000,1.9796247,0.41054314,-9.46537,-1.39E-25
16388000,1.9134979,0.41468075,-9.4482975,12.22644
16492000,1.9470854,0.40705538,-9.398804,-1.39E-25
16592000,1.9476424,0.4405407,-9.499781,-1.39E-25
16692000,1.8408659,0.4368617,-9.463488,-1.39E-25
16792000,1.9972806,0.36175248,-9.412425,-1.39E-25
16892000,1.9499011,0.46727958,-9.548088,12.209656
16992000,1.9674042,0.30838928,-9.545322,-1.39E-25
17092000,1.848076,0.39066377,-9.518866,-1.39E-25
17192000,2.013279,0.48507378,-9.69408,-1.39E-25
17292000,2.0276248,0.5450144,-9.516608,-1.39E-25
17392000,1.8828163,0.389018,-9.47023,-1.39E-25
17492000,1.9499427,0.40375447,-9.487806,12.190002
17592000,2.0292904,0.3248909,-9.496109,12.18692
17692000,1.9963113,0.50693893,-9.466053,-1.39E-25
17792000,1.9308572,0.47820768,-9.579485,-1.39E-25
17892000,2.079761,0.3478373,-9.474469,-1.39E-25
17992000,1.979084,0.35509983,-9.485446,-1.39E-25
18092000,1.946273,0.43116555,-9.527078,12.170746
18192000,1.9701805,0.44038114,-9.470216,-1.39E-25
18292000,1.908272,0.4196621,-9.595354,-1.39E-25
18392000,1.9936965,0.45306915,-9.539737,-1.39E-25
18492000,2.0432837,0.30071133,-9.48737,-1.39E-25
18592000,2.0256112,0.47762614,-9.463064,-1.39E-25
18692000,1.8304143,0.45684567,-9.328309,12.1519165
18792000,1.9942375,0.35358402,-9.33412,-1.39E-25
18892000,1.9243742,0.41076016,-9.447941,-1.39E-25
18992000,1.7940745,0.32909766,-9.536858,-1.39E-25
19092000,1.9626353,0.38261,-9.510468,-1.39E-25
19192000,1.9332225,0.25386843,-9.533559,-1.39E-25
19292000,2.0545166,0.3358238,-9.4220295,12.133514
19392000,1.8968748,0.2743095,-9.4269085,12.130615
19492000,2.0050116,0.31690434,-9.606543,-1.39E-25
19592000,1.7740133,0.32774317,-9.388544,-1.39E-25
19692000,1.899749,0.3555065,-9.397864,-1.39E-25
19792000,1.8877348,0.35944968,-9.654601,-1.39E-25
19892000,1.955418,0.29467368,-9.49806,12.115509
19992000,1.9270965,0.19307241,-9.582561,12.11264
20092000,1.9794176,0.2974542,-9.571989,-1.39E-25
20192000,2.0188696,0.14098807,-9.488663,-1.39E-25
20292000,1.9864936,0.20225494,-9.592401,-1.39E-25
20392000,1.8966168,0.20439619,-9.633784,-1.39E-25
20492000,1.9065839,0.25185597,-9.531479,12.097809
20592000,2.0648012,0.26087666,-9.623856,-1.39E-25
20692000,1.8621956,0.3171547,-9.715265,-1.39E-25
20792000,1.9886634,0.30148602,-9.587419,-1.39E-25
20892000,1.9054098,0.25133422,-9.696435,-1.39E-25
20992000,2.0048742,0.1550198,-9.5869255,-1.39E-25
21092000,1.9302142,0.2886671,-9.629475,12.080322
21192000,2.0002816,0.29906273,-9.452528,-1.39E-25
21292000,2.0745292,0.20252645,-9.619636,-1.39E-25
21392000,1.8462799,0.28549525,-9.588307,-1.39E-25
21492000,1.8988395,0.20231378,-9.678893,-1.39E-25
21592000,1.8861209,0.24913335,-9.617915,-1.39E-25
21692000,0.8888993,0.32603055,-9.617087,12.062958
21792000,-0.20107928,0.23846133,-9.135561,-1.39E-25
21892000,-0.59587014,0.21230501,-8.2766485,-1.39E-25
21992000,-0.816364,0.22693637,-7.697224,-1.39E-25
22092000,-0.83058697,0.12346821,-7.0639853,-1.39E-25
22192000,-0.92662245,0.18759473,-6.433464,-1.39E-25
22292000,-1.0718166,0.27869177,-6.0302773,12.04776
22392000,-1.1020002,0.20801935,-6.039991,-1.39E-25
22492000,-1.0677634,0.22663917,-6.36176,-1.39E-25
22588000,-0.8797999,0.2742416,-6.5371704,-1.39E-25
22692000,-1.0870602,0.07882544,-6.618997,-1.39E-25
22792000,-1.1182754,0.21954356,-6.8254633,-1.39E-25
22892000,-1.0659136,0.20227216,-6.884134,12.040527
22992000,-0.95505476,0.30123278,-7.0272856,-1.39E-25
23092000,-0.952336,0.29991505,-7.1869545,-1.39E-25
23192000,0.5254547,0.34779355,-7.4813175,-1.39E-25
23292000,2.589919,0.19701576,-7.9397597,-1.39E-25
23392000,3.8510764,0.225662,-9.177133,-1.39E-25
23492000,4.208407,0.44109786,-10.535792,12.040253
23592000,4.1575775,0.31364444,-12.06045,-1.39E-25
23692000,3.8163154,0.49202606,-13.1768875,-1.39E-25
23792000,3.36642,0.5092569,-13.787996,-1.39E-25
23892000,3.001185,0.4884145,-13.845946,-1.39E-25
23992000,2.4852207,0.5566846,-13.913806,-1.39E-25
24092000,2.350584,0.5911612,-13.876945,12.038757
24192000,1.9114821,0.64416546,-13.971012,-1.39E-25
24292000,1.8294728,0.73438406,-13.953482,-1.39E-25
24392000,1.8285719,0.58504933,-14.237225,-1.39E-25
24492000,1.71731,0.65341383,-14.238661,-1.39E-25
24592000,1.6738263,0.6569895,-14.221487,-1.39E-25
24692000,1.688096,0.5808213,-14.293194,12.031097
24792000,1.652325,0.47914925,-14.472595,-1.39E-25
24892000,1.6315088,0.4416788,-14.771434,-1.39E-25
24992000,1.8467785,0.39269042,-14.7214575,-1.39E-25
25092000,1.7747724,0.18983169,-14.798906,-1.39E-25
25192000,1.7921469,-0.001180266,-14.945867,-1.39E-25
25292000,1.8959256,-0.11135796,-15.333498,-1.39E-25
25392000,2.0009367,-0.19120617,-15.845235,12.017761
25492000,2.0635116,-0.3390998,-16.025105,-1.39E-25
25592000,2.1778154,-0.5498401,-16.1255,-1.39E-25
25692000,2.2561538,-0.72820485,-16.110813,-1.39E-25
25792000,2.4581237,-0.96676767,-15.858955,-1.39E-25
25892000,2.5629659,-0.95683503,-15.79936,12.005646
25992000,2.5452046,-1.0680964,-15.387225,-1.39E-25
26092000,2.6027114,-1.0968451,-15.032552,-1.39E-25
26192000,2.6760557,-1.0787594,-14.699291,-1.39E-25
26292000,2.508065,-1.0883751,-14.186899,-1.39E-25
26392000,2.4585185,-1.0057758,-13.631236,-1.39E-25
26492000,2.463948,-0.81205964,-13.187805,11.988922
26592000,2.441873,-0.64609593,-12.8305235,-1.39E-25
26692000,2.4651833,-0.60624653,-12.511514,-1.39E-25
26792000,2.3744144,-0.3651162,-12.066279,-1.39E-25
26892000,2.3194375,-0.30216148,-11.814071,-1.39E-25
26992000,2.1352174,-0.19819218,-11.351259,-1.39E-25
27092000,2.1308517,0.01053948,-11.196316,11.970673
27192000,2.25723,-0.0580079,-10.947262,-1.39E-25
27292000,2.1613774,0.056662645,-10.818087,-1.39E-25
27392000,2.0783455,0.14335793,-10.695931,-1.39E-25
27492000,2.091949,0.26142815,-10.515568,-1.39E-25
27592000,2.2139664,0.42890874,-10.546689,-1.39E-25
27692000,2.1392179,0.4502915,-10.46884,11.951111
27792000,2.065904,0.37891793,-10.385965,-1.39E-25
27892000,2.0944932,0.43421543,-10.244103,-1.39E-25
27992000,2.0612252,0.412005,-10.242554,-1.39E-25
28092000,2.2235992,0.5340241,-10.238196,-1.39E-25
28192000,2.221478,0.5794313,-10.079293,-1.39E-25
28292000,2.2522395,0.5777537,-10.007177,11.930084
28392000,2.2321105,0.56136346,-9.9046335,-1.39E-25
28492000,2.254775,0.53675973,-9.802282,-1.39E-25
28592000,2.3008978,0.56822526,-9.830222,-1.39E-25
28692000,2.4238038,0.6312808,-9.713629,-1.39E-25
28792000,2.433068,0.457638,-9.644962,-1.39E-25
28892000,2.3326924,0.48566452,-9.623029,11.908173
28996000,2.3100357,0.4634366,-9.556546,-1.39E-25
29096000,2.5095963,0.5501825,-9.541231,-1.39E-25
29200000,2.3782933,0.48991424,-9.475482,-1.39E-25
29304000,2.3628564,0.58859026,-9.46819,-1.39E-25
29404000,2.3580024,0.430247,-9.433622,-1.39E-25
29508000,2.450164,0.36383995,-9.28628,-1.39E-25
29612000,2.2870967,0.3059835,-9.14237,11.881836
29712000,2.5364385,0.3064918,-8.893023,-1.39E-25
29816000,2.355691,0.24902222,-9.135897,-1.39E-25
29920000,2.5105317,0.2888671,-9.067214,-1.39E-25
30020000,2.406489,0.2851325,-9.176286,11.867371
30124000,2.5707898,0.38329378,-9.269062,-1.39E-25
30228000,2.406696,0.33424652,-9.1817,-1.39E-25
30328000,2.5164142,0.5052845,-9.475802,-1.39E-25
30428000,2.4174712,0.28937283,-9.517612,11.853424
30528000,2.4115276,0.34094518,-9.701671,-1.39E-25
30628000,2.3255172,0.3298031,-10.043186,-1.39E-25
30728000,2.3423066,0.3223846,-10.040276,-1.39E-25
30824000,2.4138796,0.4212322,-10.260599,-1.39E-25
30928000,2.3976119,0.43064556,-10.574765,-1.39E-25
31028000,2.304395,0.49929923,-10.549488,11.834015
31128000,2.337463,0.4472251,-10.798246,-1.39E-25
31228000,2.2554874,0.4296869,-11.001332,-1.39E-25
31328000,2.3435006,0.49424297,-11.3057575,-1.39E-25
31428000,2.330425,0.46117935,-11.494425,-1.39E-25
31528000,2.185358,0.36294195,-11.4911,-1.39E-25
31628000,2.1274538,0.45046467,-11.151514,11.815643
31728000,2.2051973,0.58386046,-10.592694,-1.39E-25
31828000,2.0438652,0.5767386,-10.481258,-1.39E-25
31928000,1.9644272,0.52212256,-10.415594,-1.39E-25
32028000,1.8486581,0.5359259,-10.934918,-1.39E-25
32128000,1.8450596,0.62478405,-11.691727,-1.39E-25
32228000,1.8839492,0.5824088,-11.482526,11.797516
32328000,1.9976784,0.5901549,-10.961518,-1.39E-25
32428000,2.0316064,0.7719241,-10.689909,-1.39E-25
32528000,2.2268212,0.6357793,-10.708404,-1.39E-25
32628000,2.2163172,0.8638021,-11.157462,-1.39E-25
32728000,2.4801202,0.90185255,-11.628273,-1.39E-25
32828000,2.6812615,0.8355201,-12.1974745,-1.39E-25
32928000,2.6782403,0.8213918,-12.846371,-1.39E-25
33028000,2.884881,0.739521,-13.464234,-1.39E-25
33128000,3.054544,0.889381,-13.941129,-1.39E-25
33228000,2.092492,0.81091696,-14.254192,-1.39E-25
33328000,0.839532,0.70901346,-13.80072,-1.39E-25
33428000,0.24363627,0.58480114,-12.937979,11.755798
33528000,-0.13205163,0.55530447,-12.061011,-1.39E-25
33628000,-0.14795135,0.42048603,-11.242025,-1.39E-25
33728000,-0.2125257,0.3953005,-10.576758,-1.39E-25
33828000,-0.02587161,0.2736412,-10.056526,-1.39E-25
33928000,0.046603523,0.30458826,-9.707459,-1.39E-25
34028000,0.11821152,0.24936014,-9.512514,11.73822
34128000,0.34150645,0.24176249,-9.546848,-1.39E-25
34228000,0.2373242,0.17901438,-9.540073,-1.39E-25
34328000,0.35062438,0.13641821,-9.642014,-1.39E-25
34428000,0.37197414,0.05848373,-9.607747,-1.39E-25
34528000,0.33303264,-0.00759659,-9.535046,-1.39E-25
34628000,0.35312238,-0.056111626,-9.666555,11.728912
34728000,0.47456217,-0.070378184,-9.953909,-1.39E-25
34828000,0.33366066,-0.058267467,-9.9596615,-1.39E-25
34928000,0.25296998,-0.000497986,-10.243026,-1.39E-25
35028000,0.36731023,-0.17652053,-10.470044,-1.39E-25
35128000,0.24932253,-0.08817058,-10.772124,-1.39E-25
35224000,0.27248478,0.000355452,-11.035148,-1.39E-25
35328000,0.17789784,-0.003710257,-11.456864,11.727509
35428000,0.14259948,0.10814207,-11.737565,-1.39E-25
35528000,0.14502046,0.07323931,-11.954568,-1.39E-25
35628000,0.23199303,0.115720324,-12.331775,-1.39E-25
35728000,0.14790492,0.23652054,-12.679237,-1.39E-25
35828000,0.18013906,0.07675879,-12.956858,11.730896
35928000,0.21384421,0.3233225,-13.12842,-1.39E-25
36024000,0.26938936,0.29661337,-13.146398,-1.39E-25
36128000,0.21452451,0.30212697,-13.32406,-1.39E-25
36228000,0.11127816,0.2628426,-13.174662,-1.39E-25
36328000,0.06782999,0.15784262,-13.054514,-1.39E-25
36428000,0.0871733,0.279721,-12.965719,11.737274
36528000,0.050705276,0.31788725,-12.820443,-1.39E-25
36628000,-0.030780284,0.2573668,-12.588252,-1.39E-25
36728000,0.01552722,0.12346892,-12.246011,-1.39E-25
36828000,-0.09545934,0.07316885,-12.236939,-1.39E-25
36928000,-0.04280842,0.14207871,-11.892776,-1.39E-25
37028000,-0.20652643,0.011618312,-11.738054,11.744507
37128000,-0.19006136,0.12215947,-11.621878,11.7456665
37228000,-0.17597187,0.07232817,-11.546009,-1.39E-25
37328000,-0.3398702,-0.025677502,-11.443688,-1.39E-25
37428000,-0.37460896,-0.04861198,-11.202689,-1.39E-25
37528000,-0.4024767,-0.094390534,-11.332668,-1.39E-25
37628000,-0.42691147,-0.08600552,-11.224791,11.751251
37728000,-0.47579962,-0.083223455,-11.091879,-1.39E-25
37828000,-0.45254728,-0.11415379,-11.088353,-1.39E-25
37928000,-0.47735715,-0.03768874,-11.164872,-1.39E-25
38028000,-0.50053626,-0.12967181,-11.168498,-1.39E-25
38128000,-0.5267829,-0.08410488,-11.082216,-1.39E-25
38228000,-0.49170133,-0.12837587,-11.122996,11.756073
38328000,-0.46446696,-0.043349076,-10.984448,-1.39E-25
38428000,-0.5092287,-0.071874484,-10.714347,-1.39E-25
38528000,-0.33673885,-0.11199926,-10.686493,-1.39E-25
38628000,-0.38949993,-0.04210616,-10.6234045,-1.39E-25
38728000,-0.40241927,0.04996774,-10.602034,-1.39E-25
38828000,-0.31413993,-0.15333909,-10.512745,11.758484
38928000,-0.30688217,-0.16128187,-10.493218,-1.39E-25
39028000,-0.18283106,-0.10575008,-10.374012,-1.39E-25
39128000,-0.19476436,-0.15662512,-10.421001,-1.39E-25
39228000,-0.19589655,-0.081157096,-10.353211,-1.39E-25
39328000,-0.2652516,-0.07279156,-10.320872,-1.39E-25
39428000,-0.09323315,-0.10272068,-10.467151,11.759491
39528000,-0.121631816,-0.17267583,-10.357394,-1.39E-25
39628000,-0.06464179,-0.070916444,-10.250027,-1.39E-25
39728000,-0.13912134,-0.04093507,-10.307319,-1.39E-25
39828000,-0.06635276,0.07291803,-10.364789,-1.39E-25
39928000,-0.10851609,0.052384723,-10.294611,-1.39E-25
40028000,-0.035669234,-0.04424253,-10.288976,11.759766
40128000,-0.069162756,-0.04043568,-10.1588955,-1.39E-25
40228000,-0.016699884,0.052519824,-10.131118,-1.39E-25
40328000,0.038193993,0.008649807,-10.196069,-1.39E-25
40428000,-0.003121653,0.07606221,-10.042553,-1.39E-25
40528000,0.000220587,0.0957524,-9.989257,-1.39E-25
40628000,-0.21269639,0.16933338,-10.048345,11.759644
40728000,-0.032012314,0.091151275,-10.045866,11.759613
40828000,0.005754301,0.13248327,-9.983542,-1.39E-25
40928000,0.026429433,0.12089498,-10.077054,-1.39E-25
41028000,-0.058913965,0.07078333,-9.881747,-1.39E-25
41128000,-0.08237782,0.1885544,-9.973652,-1.39E-25
41228000,0.07815571,0.08568867,-9.831211,11.759338
41328000,-0.06181538,0.1566129,-9.991025,-1.39E-25
41428000,-0.0298493,0.2074405,-9.977236,-1.39E-25
41528000,-0.031146338,0.10839391,-9.979615,-1.39E-25
41628000,-0.035823293,0.1347328,-9.934916,-1.39E-25
41728000,0.07111646,0.19260651,-9.838312,-1.39E-25
