timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
9116000,4.33348e-06,1.4371125e-05,-1.0099648e-06,0.0
9136000,4.691386e-06,1.2668033e-05,-2.762308e-06,0.0
9156000,4.430635e-06,1.3627799e-05,-5.3677655e-07,0.0
9176000,5.0305057e-06,1.338553e-05,-5.1275706e-06,0.0
9196000,5.0774315e-06,1.3290754e-05,-3.0655312e-06,0.0
9216000,4.7549515e-06,1.5871605e-05,-3.9968795e-06,0.0
9236000,4.4955486e-06,1.3194478e-05,-2.468581e-06,0.0
9256000,5.4839534e-06,1.260546e-05,-3.6624822e-06,0.0
9276000,4.620734e-06,1.4386712e-05,-1.1811993e-06,0.0
9296000,4.9520886e-06,1.2801581e-05,-4.2501906e-06,0.0
9316000,4.254729e-06,1.4667229e-05,-5.8080277e-06,0.0
9336000,4.425504e-06,1.2317873e-05,-1.4165248e-06,0.0
9356000,4.339464e-06,1.3426964e-05,-2.396597e-06,0.0
9380000,4.5480706e-06,1.4879456e-05,-2.8155073e-06,0.0
9396000,4.696737e-06,1.3007329e-05,-4.176104e-06,0.0
9416000,4.54082e-06,1.44124715e-05,-2.0084108e-06,0.0
9436000,4.2194733e-06,1.1497477e-05,-3.4239144e-06,0.0
9456000,4.553341e-06,1.2872217e-05,-8.3634933e-07,0.0
9476000,4.8961642e-06,1.3695753e-05,-2.4576036e-06,0.0
9496000,4.9279706e-06,1.242123e-05,-1.5358258e-06,0.0
9520000,4.4354742e-06,1.3500308e-05,-3.1382351e-06,0.0
9536000,5.2780215e-06,1.33731155e-05,-3.3138356e-06,0.0
9556000,4.66659e-06,1.2604068e-05,-2.5477964e-06,0.0
9576000,4.8387924e-06,1.2702286e-05,-3.3564131e-06,0.0
9596000,4.6431555e-06,1.42680365e-05,-1.9161218e-06,0.0
9616000,3.7191774e-06,1.2553709e-05,-2.7686106e-06,0.0
9636000,4.3520245e-06,1.3355478e-05,-4.0705727e-06,0.0
9656000,4.47683e-06,1.5299664e-05,-3.3454562e-06,0.0
