timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6520000,3,-1,0,15,0,0,1,0,0,0,0,0,0,0
9248000,3,-1,0,15,0,0,1,0,0,0,0,0,0,0
26616000,3,0,1,15,0,0,1,0,0,0,0,0,0,0
51092000,3,1,2,15,0,0,1,0,0,0,0,0,0,0
90344000,3,2,3,15,0,0,1,0,0,0,0,0,0,0
138728000,3,3,4,15,0,0,1,0,0,0,0,0,0,0
176308000,3,4,5,15,0,0,1,0,0,0,0,0,0,0
207104000,3,5,6,15,0,0,1,0,0,0,0,0,0,0
244852000,3,6,7,15,0,0,1,0,0,0,0,0,0,0
278336000,3,7,8,15,0,0,1,0,0,0,0,0,0,0
307120000,3,8,9,15,0,0,1,0,0,0,0,0,0,0
307180000,3,9,10,15,0,0,1,0,0,0,0,0,0,0
307184000,3,10,11,15,0,0,1,0,0,0,0,0,0,0
307232000,3,11,12,15,0,0,1,0,0,0,0,0,0,0
307288000,3,12,13,15,0,0,1,0,0,0,0,0,0,0
337472000,3,13,14,15,0,0,1,0,0,0,0,0,0,0
401368000,3,14,14,15,0,0,1,0,1,0,0,0,0,0
401864000,4,-1,0,15,0,0,1,0,0,0,0,0,0,0
