timestamp,lat,lon,alt,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad
11088000,398714138,327364367,400122,0,0,-0.01,0.01,4.9258423
11292000,398714138,327364368,400121,0,0,0,0,1.0609856
11496000,398714138,327364369,400119,0.61,0.02,0.61,0,1.5248941
11700000,398714138,327364497,400123,9.5,0.03,9.5199995,-0.01,1.5673056
11904000,398714138,327364807,400127,15.259999,0,15.24,0.02,1.5706217
12108000,398714139,327365211,400137,18.88,0.02,18.88,-0.08,1.5694001
12312000,398714136,327365705,400144,21.24,-0.25,21.23,-0.08,1.5826646
12516000,398714130,327366221,400154,22.5,-0.39,22.49,-0.02,1.588075
12720000,398714120,327366781,400200,23.22,-0.78,23.25,-0.53,1.6044812
12924000,398714100,327367341,400416,23.49,-1.31,23.47,-1.4499999,1.6268214
13128000,398714072,327367894,400770,23.57,-1.78,23.49,-2.11,1.6467181
13332000,398714034,327368456,401290,23.49,-2.31,23.35,-2.85,1.6694075
13536000,398713986,327369024,401977,23.31,-2.8,23.1,-3.6299999,1.6913985
13740000,398713929,327369576,402788,23.07,-3.33,22.83,-4.36,1.7158332
13944000,398713865,327370108,403739,22.779999,-3.8,22.46,-5.12,1.7383479
14148000,398713791,327370641,404853,22.43,-4.24,22.039999,-5.85,1.7610372
14352000,398713707,327371173,406156,22.039999,-4.65,21.529999,-6.6,1.7835518
14556000,398713619,327371685,407555,21.74,-4.7999997,21.21,-7.1299996,1.7935002
14760000,398713534,327372181,409018,21.55,-4.65,21.05,-7.43,1.7880898
14964000,398713451,327372684,410554,21.38,-4.35,20.96,-7.6299996,1.7755233
15168000,398713373,327373185,412146,20.48,-3.82,20.08,-7.69,1.7591174
15372000,398713308,327373663,413706,20.02,-3.35,19.72,-7.5,1.7390461
15576000,398713252,327374127,415154,20.039999,-2.9399998,19.82,-6.89,1.7179276
15780000,398713202,327374605,416516,20.14,-2.4199998,19.99,-6.35,1.6910495
15984000,398713162,327375096,417812,20.21,-1.88,20.16,-6.06,1.6638223
16188000,398713132,327375579,419034,20.25,-1.36,20.21,-5.8399997,1.6379914
16392000,398713113,327376054,420174,20.26,-0.81,20.25,-5.64,1.6107644
16596000,398713101,327376540,421323,20.25,-0.32999998,20.24,-5.52,1.5873768
16800000,398713100,327377035,422463,20.21,0.13,20.21,-5.45,1.5641639
17004000,398713106,327377518,423561,20.17,0.48999998,20.15,-5.3199997,1.5461872
17208000,398713118,327377992,424606,20.13,0.84,20.109999,-5.23,1.5287338
17412000,398713136,327378474,425679,20.08,1.12,20.05,-5.2,1.5145967
17616000,398713159,327378963,426756,20.039999,1.35,19.98,-5.14,1.503252
17820000,398713185,327379442,427802,19.99,1.4599999,19.949999,-5.12,1.4973179
18024000,398713213,327379910,428821,19.949999,1.61,19.89,-5.0899997,1.4896384
18228000,398713243,327380387,429851,19.9,1.67,19.84,-4.99,1.4864969
18432000,398713275,327380871,430883,19.85,1.68,19.779999,-5.0299997,1.4856242
18636000,398713305,327381344,431902,19.81,1.67,19.74,-4.95,1.4859734
