timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
14560000,39.8714137,32.7364368,-6.130947,64.59826,-8.108243,-4.4747877,21.003178,-7.2187924,0.91790736,-0.8023481,-1.3538533,8.263915
14664000,39.8714137,32.7364368,-6.626463,66.800446,-8.877413,-4.390653,20.944603,-7.350655,1.354363,-0.52462536,-1.1778501,9.033085
14760000,39.8714137,32.7364368,-7.0736012,68.82751,-9.599907,-4.276245,20.906813,-7.458264,1.6311516,-0.40322003,-0.97686327,9.755579
14864000,39.8714137,32.7364368,-7.5428977,71.01934,-10.394744,-4.1088424,20.806824,-7.5419354,2.3220558,-3.8217983,-0.14159082,10.550416
14960000,39.8714137,32.7364368,-7.956053,73.014725,-11.131207,-3.9018643,20.403204,-7.5532417,2.6044078,-4.2204595,-0.26036423,11.28688
15064000,39.8714137,32.7364368,-8.377708,75.13298,-11.932264,-3.6446335,20.011427,-7.595915,2.7705088,-3.3942435,-0.116487026,12.087936
15160000,39.8714137,32.7364368,-8.742058,77.05706,-12.672852,-3.4103844,19.769218,-7.5622807,2.5733366,-1.874748,0.99792045,12.828524
15264000,39.8714137,32.7364368,-9.110396,79.12266,-13.463471,-3.184673,19.653553,-7.3913026,2.1978464,-0.5499193,2.3150811,13.6191435
15360000,39.8714137,32.7364368,-9.428867,81.02443,-14.17198,-2.994204,19.66014,-7.1313524,2.105556,0.47677812,3.0837448,14.327652
15464000,39.8714137,32.7364368,-9.751491,83.08814,-14.910533,-2.7885718,19.735384,-6.8079853,2.1968067,0.76511765,3.0936527,15.066205
15560000,39.8714137,32.7364368,-10.029466,85.00139,-15.565689,-2.581341,19.81659,-6.5483007,2.431127,0.7944352,2.4907079,15.721361
15664000,39.8714137,32.7364368,-10.304858,87.08184,-16.250513,-2.334864,19.89694,-6.335038,2.5521197,0.7178301,1.8860995,16.406185
15760000,39.8714137,32.7364368,-10.535621,89.01028,-16.863626,-2.096918,19.960703,-6.178477,2.5843263,0.4919469,1.5620141,17.019299
15864000,39.8714137,32.7364368,-10.756436,91.103096,-17.511639,-1.8358934,20.015978,-6.035968,2.6439438,0.49300838,1.3228226,17.66731
15960000,39.8714137,32.7364368,-10.935305,93.040596,-18.09674,-1.5891558,20.062538,-5.918819,2.670798,0.31993234,1.2676194,18.252413
16064000,39.8714137,32.7364368,-11.099356,95.14496,-18.717442,-1.322764,20.101252,-5.80392,2.689553,0.17110257,1.1110846,18.873114
16160000,39.8714137,32.7364368,-11.225236,97.09632,-19.2796,-1.0741777,20.131878,-5.7080173,2.6684585,0.17097941,0.9418828,19.435272
16264000,39.8714137,32.7364368,-11.33269,99.20923,-19.879957,-0.81016153,20.148684,-5.6156125,2.5914104,0.059701268,0.79252565,20.03563
