timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
12064000,-0.00069459126,-0.0053423108,0.0,-0.0027122549
12084000,-0.0008177786,-0.0056568733,0.0,-0.0029067341
12104000,-0.0009416453,-0.0059420443,0.0,-0.0030528004
12124000,-0.0010649464,-0.0061973454,0.0,-0.0031504526
12144000,-0.0011910523,-0.00644024,0.0,-0.003201687
12168000,-0.001344679,-0.0067132185,0.0,-0.0032040863
12184000,-0.0014456925,-0.006882383,0.0,-0.003171864
12204000,-0.0015701558,-0.007081598,0.0,-0.003097044
12224000,-0.0016935806,-0.007266671,0.0,-0.0029876495
12244000,-0.0018147165,-0.007451177,0.0,-0.0028499088
12268000,-0.0019586997,-0.007673752,0.0,-0.0026511166
12284000,-0.0020537744,-0.007825032,0.0,-0.0025087048
12304000,-0.002172676,-0.008015855,0.0,-0.002322051
12324000,-0.0022903723,-0.0081940545,0.0,-0.0021563144
12344000,-0.0024056854,-0.008356709,0.0,-0.0020176522
12368000,-0.0025437784,-0.008549382,0.0,-0.0018869905
12384000,-0.0026368063,-0.008675656,0.0,-0.0018242635
12404000,-0.002751948,-0.008839552,0.0,-0.0017761749
12424000,-0.00286666,-0.009017708,0.0,-0.0017576631
12444000,-0.0029810416,-0.009219233,0.0,-0.0017627431
12464000,-0.00309503,-0.009446717,0.0,-0.0017832262
12484000,-0.0032081287,-0.009693033,0.0,-0.0018179151
12504000,-0.0033203491,-0.009957607,0.0,-0.0018640351
12524000,-0.0034326776,-0.0102375075,0.0,-0.0019176968
12548000,-0.0035658262,-0.010590484,0.0,-0.0019893958
12564000,-0.0036538974,-0.010831264,0.0,-0.0020373415
12584000,-0.0037623453,-0.011134985,0.0,-0.0020988001
12604000,-0.003869273,-0.011434973,0.0,-0.0021563484
12624000,-0.0039759413,-0.011726972,0.0,-0.002214148
12644000,-0.004081345,-0.012009508,0.0,-0.0022708985
12664000,-0.0041845744,-0.012283356,0.0,-0.002322239
12684000,-0.0042854613,-0.012544508,0.0,-0.002370489
12704000,-0.0043845954,-0.012795727,0.0,-0.0024170221
12724000,-0.004484847,-0.013031936,0.0,-0.0024636572
12744000,-0.0045850454,-0.01325898,0.0,-0.0025110135
12764000,-0.00468382,-0.01347392,0.0,-0.0025630707
12784000,-0.004779335,-0.013685157,0.0,-0.002622195
12804000,-0.0048765647,-0.013884517,0.0,-0.0026853317
12823999,-0.0049723187,-0.01408304,0.0,-0.0027544803
12844000,-0.005068153,-0.014275409,0.0,-0.0028346705
12867999,-0.0051828395,-0.014502154,0.0,-0.0029478143
12887999,-0.005278033,-0.014689276,0.0,-0.0030574389
12908000,-0.005374303,-0.014876242,0.0,-0.0031839225
12931999,-0.005488343,-0.015100645,0.0,-0.003352265
12956000,-0.0056028604,-0.015325001,0.0,-0.0035423492
12972000,-0.005678753,-0.015474288,0.0,-0.0036795307
12995999,-0.0057931985,-0.015700493,0.0,-0.0039042924
13015999,-0.005887461,-0.015886562,0.0,-0.0041056145
13036000,-0.005979865,-0.016070854,0.0,-0.004321861
13059999,-0.006091236,-0.016291086,0.0,-0.004596492
13084000,-0.006202696,-0.016512917,0.0,-0.0048859525
13100000,-0.0062775053,-0.016654653,0.0,-0.005088126
13123999,-0.006388833,-0.016865702,0.0,-0.005399163
13143999,-0.0064802826,-0.017039202,0.0,-0.0056705945
13164000,-0.006572029,-0.017209427,0.0,-0.0059477724
13187999,-0.006682181,-0.017404843,0.0,-0.006291455
13207999,-0.0067738253,-0.017567025,0.0,-0.0065840734
13228000,-0.0068644914,-0.017721092,0.0,-0.006877632
13251999,-0.0069717346,-0.017900795,0.0,-0.0072275796
13271999,-0.0070612347,-0.018044367,0.0,-0.0075177867
13292000,-0.007151599,-0.018187013,0.0,-0.0078082196
13312000,-0.007241305,-0.018326838,0.0,-0.008097326
13335999,-0.0073483903,-0.01848512,0.0,-0.008446441
13356000,-0.0074369097,-0.018611358,0.0,-0.008736784
13376000,-0.007524729,-0.018736722,0.0,-0.009029653
13404000,-0.007647853,-0.018905459,0.0,-0.009441865
13419999,-0.0077183996,-0.018998107,0.0,-0.0096785035
13440000,-0.007806269,-0.019111918,0.0,-0.009977497
13468000,-0.00792826,-0.019264285,0.0,-0.010397581
13483999,-0.00799972,-0.019348232,0.0,-0.0106404
13504000,-0.00808738,-0.019449873,0.0,-0.0109445825
13527999,-0.008193878,-0.019571546,0.0,-0.011309033
13547999,-0.008282237,-0.01967081,0.0,-0.011615622
13568000,-0.008369772,-0.019765748,0.0,-0.011921322
13588000,-0.008458093,-0.019859418,0.0,-0.01222762
13608000,-0.008546238,-0.019950062,0.0,-0.012535411
13628000,-0.008634718,-0.020037636,0.0,-0.012843908
13648000,-0.008723436,-0.020120213,0.0,-0.01315038
13668000,-0.008811311,-0.020201826,0.0,-0.01345734
13688000,-0.008899772,-0.020283438,0.0,-0.013764089
13708000,-0.008988212,-0.020361027,0.0,-0.014071694
13728000,-0.009076802,-0.020436326,0.0,-0.01437746
13748000,-0.009165942,-0.020507421,0.0,-0.014683154
13768000,-0.0092544975,-0.02057843,0.0,-0.014988062
13788000,-0.009343495,-0.020640887,0.0,-0.01529051
13808000,-0.009430068,-0.020700343,0.0,-0.015595325
13828000,-0.009518119,-0.020759175,0.0,-0.015897892
13848000,-0.009605617,-0.020812018,0.0,-0.016202018
13868000,-0.00969292,-0.020867735,0.0,-0.016503526
13888000,-0.00977954,-0.020920884,0.0,-0.016809003
13908000,-0.009866332,-0.020969199,0.0,-0.017115489
13928000,-0.009953696,-0.021013793,0.0,-0.017419329
13948000,-0.010039996,-0.02104999,0.0,-0.017724965
13968000,-0.010127711,-0.021089736,0.0,-0.018029625
13988000,-0.0102161765,-0.021126255,0.0,-0.018337093
14008000,-0.010304074,-0.021164145,0.0,-0.018645624
14028000,-0.0103915045,-0.02120738,0.0,-0.01895316
14048000,-0.010480661,-0.021257335,0.0,-0.019261923
14068000,-0.010568856,-0.021305546,0.0,-0.019571366
14088000,-0.010657243,-0.021352665,0.0,-0.019881673
14108000,-0.010841284,-0.021390956,4.651746e-06,0.0
14128000,-0.011075659,-0.021425052,2.8296809e-05,0.0
14148000,-0.011262577,-0.021457987,5.353782e-05,0.0
14168000,-0.011415541,-0.02149054,9.1387825e-05,0.0
14188000,-0.011543438,-0.02152564,0.00013155169,0.0
14212000,-0.01167272,-0.021567984,0.00019180097,0.0
14228000,-0.011750756,-0.02159458,0.00024206558,0.0
14248000,-0.011839024,-0.021625506,0.00031943942,0.0
14268000,-0.011918931,-0.021656217,0.00039773487,0.0
14292000,-0.0120053915,-0.021687565,0.0005032021,0.0
14308000,-0.012059856,-0.0217078,0.0005744031,0.0
14328000,-0.012127497,-0.021727905,0.0006669384,0.0
14348000,-0.012192229,-0.021748153,0.0007564341,0.0
14372000,-0.012266891,-0.021764534,0.0008649311,0.0
14388000,-0.012316231,-0.021775877,0.00094719563,0.0
14408000,-0.012379563,-0.021788076,0.0010380597,0.0
14428000,-0.012441641,-0.02179867,0.0011280467,0.0
14448000,-0.0125019,-0.021808852,0.0012176656,0.0
14468000,-0.0125609655,-0.02181686,0.001302324,0.0
14488000,-0.0126216635,-0.021825235,0.0013836203,0.0
14508000,-0.012683105,-0.021833004,0.0014685929,0.0
14528000,-0.012744326,-0.02184283,0.0015472163,0.0
14548000,-0.012804124,-0.0218525,0.0016406734,0.0
14568000,-0.012862977,-0.021861594,0.0017179226,0.0
14588000,-0.012924577,-0.021873575,0.0017991582,0.0
14608000,-0.01298742,-0.021884618,0.001872385,0.0
14628000,-0.013049798,-0.021895867,0.0019485501,0.0
14648000,-0.013112168,-0.021910107,0.0020211728,0.0
14668000,-0.013178601,-0.021922719,0.0021048612,0.0
14688000,-0.013244968,-0.021937197,0.002191077,0.0
14708000,-0.013309199,-0.021954753,0.0022781556,0.0
14728000,-0.013373849,-0.021976188,0.002368646,0.0
14748000,-0.013437556,-0.021995302,0.0024482373,0.0
14768000,-0.013503947,-0.022015471,0.0025335054,0.0
14788000,-0.013571451,-0.02203181,0.0026236179,0.0
14808000,-0.013637064,-0.022049753,0.0027152048,0.0
14828000,-0.013702922,-0.02207578,0.0028091164,0.0
14848000,-0.013769968,-0.022109544,0.0029066992,0.0
14868000,-0.0138266375,-0.022164028,0.0029885715,0.0
14892000,-0.013870177,-0.02226135,0.003035592,0.0
14908000,-0.0138852205,-0.022345774,0.0030399184,0.0
14928000,-0.013891275,-0.022471763,0.0030089896,0.0
14948000,-0.013891132,-0.0226133,0.0029388785,0.0
14968000,-0.013886525,-0.022766115,0.0028442075,0.0
14988000,-0.013876181,-0.022928027,0.0027320178,0.0
15012000,-0.013858922,-0.023128048,0.0025876223,0.0
15028000,-0.013846515,-0.023264091,0.0024781018,0.0
15048000,-0.013833868,-0.02342921,0.00233789,0.0
15068000,-0.01382131,-0.023586975,0.00219718,0.0
15088000,-0.013809796,-0.02373996,0.002069893,0.0
15108000,-0.013799744,-0.023885762,0.0019549562,0.0
15128000,-0.013790937,-0.024024893,0.001851354,0.0
15148000,-0.013783006,-0.024157265,0.001767379,0.0
15168000,-0.013780244,-0.024282726,0.001693953,0.0
15188000,-0.013781907,-0.024403673,0.0016432416,0.0
15212000,-0.013782971,-0.02454256,0.0015980928,0.0
15228000,-0.013784827,-0.024632074,0.0015763976,0.0
15248000,-0.013788266,-0.024739517,0.0015548777,0.0
15268000,-0.013792463,-0.024849094,0.0015462947,0.0
15292000,-0.013804794,-0.024977377,0.001547079,0.0
15308000,-0.013813904,-0.025054136,0.0015572859,0.0
15328000,-0.013827318,-0.025138343,0.0015787568,0.0
15348000,-0.013840747,-0.02521458,0.0016043469,0.0
15368000,-0.013854834,-0.025287999,0.0016280242,0.0
15388000,-0.013869826,-0.025355212,0.0016495219,0.0
15408000,-0.013889934,-0.025424184,0.0016797996,0.0
15428000,-0.013911073,-0.025494011,0.0016998422,0.0
15448000,-0.0139332265,-0.025563579,0.0017131945,0.0
15468000,-0.01395488,-0.025637267,0.001712358,0.0
15488000,-0.013975259,-0.025714628,0.0017066717,0.0
15508000,-0.013997514,-0.02579413,0.0017004334,0.0
15528000,-0.01402113,-0.02587482,0.0016702402,0.0
15548000,-0.014046734,-0.025957488,0.0016311927,0.0
15572000,-0.014080487,-0.026057115,0.0015625436,0.0
15588000,-0.014102751,-0.026122399,0.0015094596,0.0
15608000,-0.014130041,-0.026205843,0.0014282415,0.0
15628000,-0.014156432,-0.026291834,0.001349064,0.0
15648000,-0.01418356,-0.026373086,0.0012616925,0.0
15668000,-0.01421093,-0.02645621,0.0011657535,0.0
15692000,-0.014247589,-0.026556494,0.0010504333,0.0
15708000,-0.014272376,-0.026621925,0.00096803106,0.0
15728000,-0.0143030025,-0.026703482,0.00087674294,0.0
15748000,-0.014332782,-0.026785096,0.000795689,0.0
15768000,-0.014361891,-0.02686666,0.0007077942,0.0
15788000,-0.014391089,-0.02694461,0.0006252479,0.0
15808000,-0.014419935,-0.027021157,0.00054223347,0.0
15828000,-0.014449847,-0.027100489,0.0004726301,0.0
15848000,-0.014478883,-0.027175955,0.0004138919,0.0
15868000,-0.014506652,-0.027249439,0.00035321078,0.0
15888000,-0.014537386,-0.027323017,0.0002965519,0.0
15912000,-0.014576995,-0.027409604,0.00024955883,0.0
15928000,-0.014601958,-0.027465578,0.00021795336,0.0
15948000,-0.014632213,-0.02753236,0.00017627057,0.0
15968000,-0.014662376,-0.027601833,0.00015166032,0.0
15988000,-0.014690197,-0.027670968,0.0001231319,0.0
16008000,-0.014718555,-0.027735393,9.5611955e-05,0.0
16028000,-0.014746547,-0.027802581,7.116174e-05,0.0
16048000,-0.01477361,-0.027871031,5.2918815e-05,0.0
16068000,-0.014801282,-0.027938318,3.263068e-05,0.0
16092000,-0.014834932,-0.028015146,1.6615919e-05,0.0
16108000,-0.014856151,-0.028067116,3.2635949e-06,0.0
16128000,-0.014882313,-0.028133191,-2.1126663e-05,0.0
16148000,-0.014911058,-0.028199475,-3.989275e-05,0.0
16168000,-0.014941396,-0.028263079,-6.625261e-05,0.0
16188000,-0.014971784,-0.028325746,-9.4110226e-05,0.0
16208000,-0.014999802,-0.028389366,-0.00013871049,0.0
16228000,-0.015026763,-0.028452197,-0.00018356141,0.0
16252000,-0.01506002,-0.028529176,-0.00023265305,0.0
16268000,-0.015081174,-0.028578155,-0.0002672085,0.0
16288000,-0.01510811,-0.028639698,-0.000312873,0.0
16308000,-0.015135043,-0.028700769,-0.00036929356,0.0
16328000,-0.015160178,-0.02876415,-0.0004276003,0.0
16348000,-0.015187897,-0.028830128,-0.0004913895,0.0
16368000,-0.015214495,-0.028892398,-0.0005572034,0.0
16388000,-0.015240245,-0.028953813,-0.00062088826,0.0
16408000,-0.015265866,-0.029017122,-0.00068223506,0.0
16428000,-0.015292967,-0.029078664,-0.0007482188,0.0
16448000,-0.0153211905,-0.029138433,-0.00081469084,0.0
16468000,-0.015347115,-0.029197168,-0.00087945396,0.0
16488000,-0.015372274,-0.029258782,-0.00093624234,0.0
16508000,-0.015399586,-0.029320812,-0.0009986198,0.0
16528000,-0.015426509,-0.029379413,-0.0010650997,0.0
16548000,-0.015451734,-0.029439487,-0.0011207581,0.0
16568000,-0.01547757,-0.029496916,-0.0011740937,0.0
16588000,-0.015503973,-0.029556133,-0.001225763,0.0
16608000,-0.015529934,-0.029618328,-0.0012710787,0.0
16628000,-0.015557431,-0.029677402,-0.0013147439,0.0
16652000,-0.015590695,-0.02975348,-0.0013683542,0.0
16668000,-0.015613552,-0.029800858,-0.0013983739,0.0
16688000,-0.015640417,-0.029858762,-0.0014307158,0.0
16708000,-0.01566745,-0.029917318,-0.0014712347,0.0
16728000,-0.015694318,-0.029976372,-0.0015027256,0.0
16748000,-0.015721368,-0.030037533,-0.0015338243,0.0
16768000,-0.015748052,-0.030092703,-0.0015651871,0.0
16792000,-0.015779477,-0.030160105,-0.001599161,0.0
16812000,-0.01580727,-0.030219885,-0.00162505,0.0
16828000,-0.015829017,-0.030266114,-0.0016513756,0.0
16848000,-0.015856305,-0.030321931,-0.0016812308,0.0
16868000,-0.015882796,-0.030379416,-0.0017160628,0.0
16888000,-0.015909335,-0.030435128,-0.0017431248,0.0
16908000,-0.015935102,-0.030493192,-0.0017700429,0.0
16928000,-0.015960975,-0.030548198,-0.0018080374,0.0
16948000,-0.015987743,-0.030601766,-0.0018375147,0.0
16968000,-0.016015507,-0.030655866,-0.0018701687,0.0
16988000,-0.01604336,-0.03071032,-0.001904693,0.0
17008000,-0.01606868,-0.030763265,-0.0019349968,0.0
17028000,-0.016094076,-0.03081638,-0.0019694415,0.0
17048000,-0.016121259,-0.03087151,-0.0020075215,0.0
17068000,-0.016148284,-0.030927416,-0.0020428475,0.0
17088000,-0.016175875,-0.030981632,-0.0020845921,0.0
17108000,-0.016204042,-0.03103498,-0.0021262383,0.0
17128000,-0.016231874,-0.03108945,-0.002164574,0.0
17148000,-0.016258867,-0.031144394,-0.0022053083,0.0
17168000,-0.016285114,-0.031196631,-0.0022381681,0.0
17188000,-0.016311554,-0.031246217,-0.0022800579,0.0
17208000,-0.016338516,-0.03129894,-0.0023137145,0.0
17228000,-0.0163633,-0.031350624,-0.0023367936,0.0
17248000,-0.016386457,-0.031401705,-0.0023611828,0.0
17268000,-0.016411707,-0.031451233,-0.0023837872,0.0
17288000,-0.016437737,-0.03150036,-0.0024120503,0.0
17308000,-0.01646328,-0.0315505,-0.002432452,0.0
17332000,-0.016494896,-0.031611823,-0.002455478,0.0
17348000,-0.016516197,-0.03165215,-0.0024742058,0.0
17368000,-0.016543532,-0.03170187,-0.0024991476,0.0
17388000,-0.016571289,-0.0317511,-0.0025214544,0.0
17408000,-0.016599355,-0.03179821,-0.002544794,0.0
17428000,-0.01662644,-0.03185211,-0.0025693576,0.0
17448000,-0.016653037,-0.03190204,-0.0025956125,0.0
17468000,-0.01668119,-0.031950846,-0.0026079302,0.0
17488000,-0.01670806,-0.032000445,-0.0026333458,0.0
17508000,-0.01673562,-0.03204942,-0.002666378,0.0
17528000,-0.016762517,-0.032098595,-0.0027029014,0.0
17548000,-0.016790979,-0.032147642,-0.0027299745,0.0
17568000,-0.016817668,-0.032200277,-0.0027560594,0.0
17588000,-0.01684257,-0.032251555,-0.0027918608,0.0
17608000,-0.016867112,-0.032303005,-0.0028200531,0.0
17628000,-0.01689204,-0.03235298,-0.0028381883,0.0
17648000,-0.016917344,-0.032399315,-0.002863661,0.0
17668000,-0.016943302,-0.032444417,-0.002895865,0.0
17688000,-0.016970525,-0.032493494,-0.0029294037,0.0
17708000,-0.016997363,-0.032541387,-0.0029531491,0.0
17728000,-0.017023826,-0.03259139,-0.0029772734,0.0
17748000,-0.0170507,-0.032637794,-0.003005343,0.0
17768000,-0.017078131,-0.032685574,-0.0030381512,0.0
17788000,-0.01710498,-0.032733772,-0.0030713533,0.0
17808000,-0.017132908,-0.032785144,-0.0031073212,0.0
17828000,-0.01716007,-0.032834545,-0.0031402365,0.0
17848000,-0.017187243,-0.032883804,-0.0031827262,0.0
17868000,-0.017212568,-0.032932118,-0.0032173614,0.0
17888000,-0.017235242,-0.032979015,-0.0032436715,0.0
17908000,-0.017258886,-0.033024143,-0.003269213,0.0
17928000,-0.017282736,-0.03306851,-0.003297356,0.0
17948000,-0.017307468,-0.033117123,-0.003327169,0.0
17968000,-0.01733354,-0.0331648,-0.003358727,0.0
17988000,-0.017360821,-0.03321071,-0.0033942643,0.0
18008000,-0.017387485,-0.033254594,-0.0034341533,0.0
18028000,-0.01741388,-0.033300046,-0.0034621647,0.0
18048000,-0.017441878,-0.033346996,-0.0034925698,0.0
18068000,-0.017469028,-0.033394333,-0.003529218,0.0
18092000,-0.017500646,-0.033449285,-0.0035718002,0.0
18108000,-0.01752146,-0.03348301,-0.0036058782,0.0
18128000,-0.017548297,-0.033528514,-0.0036460885,0.0
18148000,-0.017570673,-0.033576712,-0.0036796767,0.0
18168000,-0.017594144,-0.033623617,-0.0037096434,0.0
18188000,-0.017618809,-0.033668976,-0.0037423677,0.0
18208000,-0.017643007,-0.033716124,-0.003769469,0.0
18228000,-0.017667722,-0.03375869,-0.003806257,0.0
18248000,-0.017693974,-0.033802897,-0.0038470011,0.0
18268000,-0.017720012,-0.03384922,-0.003886969,0.0
18292000,-0.01775234,-0.033902753,-0.0039349934,0.0
18308000,-0.017773865,-0.03394049,-0.003960298,0.0
18328000,-0.017801158,-0.033988934,-0.003991423,0.0
18348000,-0.017828664,-0.034032606,-0.0040342384,0.0
18368000,-0.017854994,-0.03407786,-0.0040725823,0.0
18388000,-0.017875716,-0.034123134,-0.0041048275,0.0
18408000,-0.017897477,-0.0341662,-0.0041377684,0.0
18428000,-0.01792115,-0.0342115,-0.0041792355,0.0
18452000,-0.017950675,-0.034266792,-0.0042265304,0.0
18468000,-0.01797025,-0.03430187,-0.0042568534,0.0
18492000,-0.018001566,-0.03435463,-0.0043084454,0.0
18508000,-0.018021813,-0.034391686,-0.004341505,0.0
18528000,-0.018047359,-0.034435287,-0.0043743937,0.0
18548000,-0.01807257,-0.03448031,-0.004410284,0.0
18568000,-0.018096944,-0.034524612,-0.0044391463,0.0
18588000,-0.018123336,-0.03456753,-0.00447087,0.0
18608000,-0.018149333,-0.034613553,-0.0045038746,0.0
18628000,-0.018175406,-0.03465617,-0.004539512,0.0
18648000,-0.018196614,-0.034699902,-0.004570206,0.0
18668000,-0.0182171,-0.034742627,-0.004604532,0.0
18688000,-0.018238964,-0.034786507,-0.0046347,0.0
18708000,-0.018261723,-0.03482896,-0.0046742293,0.0
18728000,-0.018285194,-0.034871913,-0.0047050803,0.0
18748000,-0.018309921,-0.034912977,-0.004738727,0.0
18768000,-0.018334804,-0.0349536,-0.004768484,0.0
18788000,-0.018359583,-0.034995478,-0.004800207,0.0
18808000,-0.01838419,-0.03503851,-0.0048300093,0.0
18828000,-0.018409496,-0.035080392,-0.004855928,0.0
18848000,-0.018435191,-0.035121493,-0.0048853913,0.0
18868000,-0.018460179,-0.035162877,-0.0049233655,0.0
18888000,-0.01848091,-0.035205156,-0.0049545616,0.0
18908000,-0.018500919,-0.03524839,-0.004987402,0.0
18928000,-0.018521795,-0.035290353,-0.00502086,0.0
18948000,-0.018544007,-0.035332724,-0.0050575156,0.0
18968000,-0.018566541,-0.035373382,-0.0050880495,0.0
18988000,-0.01858904,-0.035414334,-0.00512492,0.0
19008000,-0.018612146,-0.03545433,-0.005161575,0.0
19028000,-0.018635672,-0.035496622,-0.0051901955,0.0
19048000,-0.018659849,-0.03553798,-0.0052120686,0.0
19068000,-0.018683458,-0.035581168,-0.005236975,0.0
19088000,-0.018707735,-0.035622504,-0.0052686622,0.0
19108000,-0.018732036,-0.035666857,-0.0053027286,0.0
19132000,-0.018760534,-0.035718594,-0.0053455224,0.0
19152000,-0.01878505,-0.035759322,-0.005374125,0.0
19168000,-0.018802978,-0.035791297,-0.0053985845,0.0
19188000,-0.018820928,-0.035831314,-0.005430875,0.0
19208000,-0.018839436,-0.035867967,-0.00545908,0.0
19228000,-0.018858744,-0.035905093,-0.0054941457,0.0
19248000,-0.0188798,-0.035940893,-0.0055283257,0.0
19268000,-0.018901931,-0.035978593,-0.005565912,0.0
19288000,-0.018923994,-0.036018908,-0.0055869375,0.0
19308000,-0.018945407,-0.03605912,-0.005616221,0.0
19332000,-0.018972265,-0.036108218,-0.00564798,0.0
19348000,-0.018990334,-0.036142547,-0.0056703063,0.0
19368000,-0.019013328,-0.036178865,-0.005702509,0.0
19388000,-0.019036463,-0.036218286,-0.005726357,0.0
19408000,-0.019058414,-0.036260694,-0.005750196,0.0
19428000,-0.019081065,-0.036297888,-0.0057746624,0.0
19448000,-0.019103793,-0.03633859,-0.005802394,0.0
19468000,-0.019119639,-0.036377963,-0.0058275247,0.0
19492000,-0.019140968,-0.036422767,-0.005857705,0.0
19508000,-0.019155938,-0.036452193,-0.005884085,0.0
19528000,-0.019174596,-0.036488134,-0.005911574,0.0
19548000,-0.019194474,-0.036524165,-0.005936721,0.0
19568000,-0.019214608,-0.036555417,-0.0059689125,0.0
19588000,-0.01923432,-0.03658916,-0.0060004154,0.0
19612000,-0.01925939,-0.03663452,-0.0060320864,0.0
19628000,-0.01927629,-0.036662806,-0.0060511124,0.0
19652000,-0.01930206,-0.036702782,-0.0060739135,0.0
19668000,-0.019319544,-0.036730997,-0.0060990215,0.0
