timestamp,x,y,z,temperature
14012000,0.011111698,-0.018992553,-0.00604526,12.404602
14112000,-0.007282978,-0.01066438,-0.002772417,-5.39E+19
14212000,-0.00818558,-0.002502074,-0.000537741,-5.39E+19
14312000,0.000516543,-0.009708299,0.005440002,-5.39E+19
14412000,-0.002560042,-0.010588118,-0.00011747,-5.39E+19
14512000,-0.007135398,-0.01612142,-0.000781229,-5.39E+19
14612000,0.001567916,-0.002003049,-0.003139914,12.404602
14712000,-0.00969296,0.000974142,0.048794754,-5.39E+19
14812000,0.14071281,-0.053350996,0.28716126,-5.39E+19
14912000,0.30959487,-0.013711871,0.14974616,-5.39E+19
15012000,0.34200272,-0.02950526,-0.14558132,-5.39E+19
15112000,0.29426792,-0.03913941,-0.23526835,-5.39E+19
15212000,0.24295485,-0.010481952,-0.07920232,12.404419
15312000,0.21221697,0.06453153,0.15643871,-5.39E+19
15412000,0.1750001,0.23001282,0.12370148,-5.39E+19
15512000,0.13722716,0.23551843,0.025019538,-5.39E+19
15612000,0.09085865,0.16929217,-0.011938515,-5.39E+19
15712000,0.07122967,0.14239766,0.021335205,-5.39E+19
15812000,0.05281621,0.1535641,0.07999725,12.40152
15912000,0.042063706,0.17239036,0.10212654,12.400269
16012000,0.028570285,0.20467329,0.06909848,-5.39E+19
16112000,0.012895037,0.18405367,0.051512722,-5.39E+19
16212000,0.015821088,0.16613148,0.039595198,-5.39E+19
16312000,0.002187966,0.1763126,0.055144392,-5.39E+19
16412000,0.004305995,0.16845755,0.07492592,12.390015
16512000,-0.002634945,0.18921167,0.073524594,-5.39E+19
16612000,-0.000831095,0.19764814,0.066941574,-5.39E+19
16712000,-0.012540821,0.19396916,0.054176267,-5.39E+19
16812000,-0.012851112,0.19958155,0.050598517,-5.39E+19
16912000,-0.014992452,0.20441514,0.053505126,-5.39E+19
17012000,-0.19913314,0.16973735,0.046087805,12.369934
17112000,-0.4279424,0.12898579,0.022637684,-5.39E+19
17212000,-0.444004,0.08567449,0.007674629,-5.39E+19
17312000,-0.39047217,0.07140991,0.00392967,-5.39E+19
17412000,-0.36767086,0.05442846,-0.017327115,-5.39E+19
17512000,-0.31903943,0.044035923,-0.018198023,-5.39E+19
17612000,-0.2678032,0.03707693,-0.025724461,12.342407
17712000,-0.24554758,0.024709819,-0.04880597,-5.39E+19
17812000,-0.4196007,0.11076721,0.013625241,-5.39E+19
17912000,-0.37658727,0.0482901,0.006434831,-5.39E+19
18012000,-0.29101148,-0.0630146,-0.05937449,-5.39E+19
18112000,-0.20622584,-0.12169518,-0.116701536,-5.39E+19
18212000,-0.15129772,-0.1539147,-0.13823071,12.312683
18312000,-0.09611012,-0.11829356,-0.12859376,-5.39E+19
18412000,-0.06332748,-0.06828959,-0.118018635,-5.39E+19
18512000,-0.034646373,-0.056915004,-0.10011284,-5.39E+19
18612000,-0.006697545,-0.051501326,-0.096947886,-5.39E+19
18712000,0.009325346,-0.039326724,-0.09610261,-5.39E+19
18812000,0.030720074,-0.041724905,-0.10073996,12.287231
18912000,0.037130903,-0.028484374,-0.108204305,-5.39E+19
19012000,0.038695067,-0.01957553,-0.12771684,-5.39E+19
19112000,0.07076617,-0.018372245,-0.10867792,-5.39E+19
19212000,0.08209069,-0.014201876,-0.09168315,-5.39E+19
19312000,0.08397769,-0.013599808,-0.08179262,-5.39E+19
19412000,0.08708576,-0.007109327,-0.08715544,12.264984
19512000,0.09937951,-0.01661099,-0.09147939,-5.39E+19
19612000,0.100572646,-0.005667713,-0.08891334,-5.39E+19
19712000,0.10011918,-0.009713667,-0.06945859,-5.39E+19
19812000,0.10959683,-0.004470835,-0.06173042,-5.39E+19
19912000,0.12157171,-0.010451525,-0.06317615,-5.39E+19
20012000,0.11682495,0.00268119,-0.0631369,-5.39E+19
20112000,0.12432858,-0.012163265,-0.046520967,-5.39E+19
20212000,0.1123136,-0.013858556,-0.055801287,-5.39E+19
20312000,0.10942679,-0.015070884,-0.036698632,-5.39E+19
20412000,0.10735366,-0.00610613,-0.04748896,-5.39E+19
20512000,0.0977295,-0.018095713,-0.03434108,-5.39E+19
20612000,0.09962424,-0.010404816,-0.02920969,-5.39E+19
20712000,0.091898076,-0.004481761,-0.023861922,-5.39E+19
20812000,0.0931931,-0.014824598,-0.023866922,-5.39E+19
20912000,0.094146155,-0.00961892,-0.010453029,-5.39E+19
21012000,0.084169805,-0.003893416,-0.007650027,-5.39E+19
21112000,0.06973606,-0.003507317,-0.012391397,-5.39E+19
21212000,0.07308042,-0.003661486,0.006706345,-5.39E+19
21312000,0.06399788,-0.011306107,0.003272962,12.2013855
21412000,0.06672249,-0.008541121,-0.007748035,-5.39E+19
21512000,0.048484948,-0.001016519,0.005431943,-5.39E+19
