timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,v
170996000,145.9178,145.9178,11.928406,
172004000,146.6597,146.6597,11.942596,
172988000,148.15547,148.15547,11.956299,
174000000,147.80148,147.80148,11.970306,
175004000,148.3395,148.3395,11.984467,
175988000,150.66048,150.66048,11.998474,
176996000,150.606,150.606,12.013062,
177980000,150.89479,150.89479,12.027496,
178992000,152.27678,152.27678,12.042358,
179996000,161.46114,161.46114,12.057068,
181004000,173.02156,173.02156,12.06366,
181988000,174.30481,174.30481,12.061432,
182996000,189.96376,189.96376,12.05545,
184004000,193.04626,193.04626,12.040985,
184988000,186.91989,186.91989,12.023682,
185996000,183.00981,183.00981,12.007202,
187004000,178.57628,178.57628,11.99292,
187988000,176.93997,176.93997,11.9809265,
188996000,175.26558,175.26558,11.970032,
190004000,174.74504,174.74504,11.959991,
190988000,174.35948,174.35948,11.950592,
191996000,171.58688,171.58688,11.941101,
193004000,170.73459,170.73459,11.931549,
193988000,171.57892,171.57892,11.922058,
194996000,170.01213,170.01213,11.912201,
196004000,168.93498,168.93498,11.902222,
196988000,167.64076,167.64076,11.892273,
198000000,166.01924,166.01924,11.881989,
199004000,166.21553,166.21553,11.8714905,
199992000,164.48013,164.48013,11.8611145,
201000000,162.03049,162.03049,11.850342,
202004000,160.96846,160.96846,11.839447,
202988000,161.26244,161.26244,11.828644,
204000000,160.05705,160.05705,11.817535,
205004000,158.57347,158.57347,11.806305,
205988000,159.13269,159.13269,11.795258,
206996000,157.62207,157.62207,11.783844,
208004000,154.64822,154.64822,11.772308,
208992000,153.95119,153.95119,11.760986,
209996000,143.37132,143.37132,11.752594,
211004000,139.04121,139.04121,11.752472,
211988000,139.80345,139.80345,11.756256,
212996000,147.67224,147.67224,11.760925,
213980000,147.34938,147.34938,11.763275,
214988000,146.93692,146.93692,11.762634,
215996000,143.5176,143.5176,11.760864,
216984000,143.05385,143.05385,11.7595215,
217992000,142.41473,142.41473,11.758667,
218996000,142.54549,142.54549,11.758118,
220004000,141.1126,141.1126,11.75766,
220988000,140.49649,140.49649,11.757233,
221996000,140.21521,140.21521,11.756805,
223004000,139.20929,139.20929,11.756409,
223992000,138.03333,138.03333,11.755981,
225000000,137.84428,137.84428,11.755615,
226004000,137.52046,137.52046,11.75528,
226988000,137.01741,137.01741,11.754974,
227996000,138.16061,138.16061,11.7547,
229004000,136.9906,136.9906,11.754517,
229988000,135.4514,135.4514,11.754395,
230996000,134.11072,134.11072,11.754303,
231984000,136.61993,136.61993,11.754211,
232988000,136.65508,136.65508,11.754089,
233996000,136.95503,136.95503,11.753998,
234984000,136.47331,136.47331,11.753876,
235988000,134.02058,134.02058,11.753754,
236996000,135.46675,135.46675,11.753754,
237984000,133.88988,133.88988,11.753784,
238988000,137.11111,137.11111,11.753784,
240000000,133.27443,133.27443,11.753784,
240980000,134.47119,134.47119,11.753723,
241988000,133.5564,133.5564,11.753693,
242996000,135.3358,135.3358,11.753662,
244004000,132.38602,132.38602,11.75354,
244988000,134.12311,134.12311,11.753357,
246000000,132.30402,132.30402,11.753174,
247004000,135.45488,135.45488,11.753052,
247992000,133.4541,133.4541,11.75293,
248996000,132.1624,132.1624,11.752838,
250004000,133.02649,133.02649,11.752747,
250992000,155.7251,155.7251,11.753052,
252000000,178.02997,178.02997,11.74762,
252984000,153.99538,153.99538,11.737488,
253987999,128.96056,128.96056,11.7341,
254999999,125.21625,125.21625,11.742615,
255984000,127.45378,127.45378,11.757477,
256987999,132.17978,132.17978,11.77298,
257996000,132.39941,132.39941,11.786713,
259004000,131.9095,131.9095,11.79895,
259987999,133.17511,133.17511,11.81015,
260996000,132.20079,132.20079,11.821014,
261984000,133.27061,133.27061,11.831146,
262987999,133.77556,133.77556,11.841034,
263996000,132.83232,132.83232,11.850525,
265004000,133.74666,133.74666,11.859741,
265988000,134.55301,134.55301,11.86853,
266996000,136.86194,136.86194,11.877289,
268004000,135.4182,135.4182,11.885986,
268988000,134.94766,134.94766,11.89447,
269996000,133.8665,133.8665,11.903168,
271004000,135.73853,135.73853,11.911926,
271988000,133.9687,133.9687,11.920502,
273000000,134.99916,134.99916,11.929291,
273984000,135.94025,135.94025,11.937866,
274988000,136.00647,136.00647,11.946594,
275996000,137.30357,137.30357,11.955292,
277004000,135.75943,135.75943,11.963928,
277992000,137.61378,137.61378,11.972321,
278996000,135.47809,135.47809,11.981049,
280004000,136.90862,136.90862,11.989746,
280988000,140.32706,140.32706,11.998108,
281996000,144.23727,144.23727,12.006256,
283004000,144.63525,144.63525,12.013702,
283988000,144.40237,144.40237,12.02066,
284996000,146.0859,146.0859,12.027893,
285980000,148.08075,148.08075,12.035248,
286988000,147.51451,147.51451,12.043213,
287996000,147.4135,147.4135,12.051575,
289004000,147.38173,147.38173,12.060242,
289988000,208.24628,208.24628,12.067444,
290996000,187.23764,187.23764,12.053558,
292004000,170.97539,170.97539,12.039917,
292992000,164.64038,164.64038,12.033997,
293996000,160.0439,160.0439,12.032867,
294984000,158.30746,158.30746,12.034332,
295992000,155.90524,155.90524,12.036835,
296996000,160.6278,160.6278,12.03949,
298004000,160.66156,160.66156,12.042023,
298992000,160.40808,160.40808,12.04422,
300000000,161.74907,161.74907,12.046326,
301004000,160.0452,160.0452,12.048309,
301992000,160.0561,160.0561,12.05011,
302996000,159.93262,159.93262,12.051788,
303980000,159.9636,159.9636,12.053314,
304992000,159.67271,159.67271,12.0546875,
306000000,158.89906,158.89906,12.055969,
306984000,159.30844,159.30844,12.057098,
307992000,159.48242,159.48242,12.058105,
309000000,158.81863,158.81863,12.0589905,
309984000,156.64334,156.64334,12.059692,
310988000,158.10005,158.10005,12.060425,
312000000,153.09956,153.09956,12.061096,
313004000,154.99854,154.99854,12.068024,
313988000,183.00595,183.00595,12.072601,
314996000,182.91576,182.91576,12.06839,
316004000,176.86,176.86,12.0625,
316988000,173.19716,173.19716,12.058289,
317996000,169.51741,169.51741,12.056213,
319004000,165.033,165.033,12.056061,
319992000,165.1888,165.1888,12.05719,
320996000,171.85641,171.85641,12.05957,
321980000,170.94704,170.94704,12.062958,
322988000,169.86462,169.86462,12.065887,
324000000,151.0827,151.0827,12.06897,
324980000,134.5131,134.5131,12.07016,
325988000,128.2163,128.2163,12.073212,
326996000,126.334206,126.334206,12.077606,
327984000,125.95259,125.95259,12.081848,
328992000,124.30744,124.30744,12.085114,
330000000,123.51691,123.51691,12.087219,
331004000,119.48178,119.48178,12.088348,
331988000,117.99672,117.99672,12.088867,
333000000,115.29244,115.29244,12.08905,
334004000,113.48748,113.48748,12.089111,
334988000,108.49006,108.49006,12.089081,
335996000,108.33566,108.33566,12.088928,
337004000,105.45462,105.45462,12.088623,
337992000,103.08312,103.08312,12.088287,
338996000,100.91908,100.91908,12.087891,
339984000,99.53879,99.53879,12.087555,
340992000,97.21039,97.21039,12.087219,
342000000,93.44196,93.44196,12.087006,
343004000,92.38277,92.38277,12.0868225,
343992000,91.79778,91.79778,12.086761,
345000000,89.04053,89.04053,12.0868225,
346004000,89.364456,89.364456,12.0868225,
346992000,86.91711,86.91711,12.08667,
347996000,85.05761,85.05761,12.086426,
349004000,84.481255,84.481255,12.086151,
349992000,80.4494,80.4494,12.085876,
351000000,81.81976,81.81976,12.085449,
351980000,79.05665,79.05665,12.085022,
352992000,79.12582,79.12582,12.084595,
353996000,77.61688,77.61688,12.084137,
354984000,78.21715,78.21715,12.08374,
355992000,75.22163,75.22163,12.083466,
356996000,66.955635,66.955635,12.084869,
357980000,67.45369,67.45369,12.094147,
358992000,70.70021,70.70021,12.106323,
359996000,69.93004,69.93004,12.117432,
361004000,69.655594,69.655594,12.127258,
361988000,68.4694,68.4694,12.136658,
362996000,67.14193,67.14193,12.1466675,
364004000,67.91196,67.91196,12.157074,
364992000,69.96224,69.96224,12.167267,
365996000,68.58847,68.58847,12.17749,
366984000,68.796104,68.796104,12.187286,
367988000,68.056656,68.056656,12.197388,
368996000,66.09609,66.09609,12.207581,
370004000,69.22955,69.22955,12.217865,
370988000,68.00835,68.00835,12.227783,
371996000,67.212715,67.212715,12.237915,
373004000,67.61288,67.61288,12.248016,
373988000,68.432236,68.432236,12.257843,
375000000,69.38756,69.38756,12.267914,
376004000,69.02601,69.02601,12.278015,
376992000,69.283875,69.283875,12.287811,
378000000,67.63886,67.63886,12.297882,
378980000,68.41702,68.41702,12.307709,
379988000,68.41413,68.41413,12.31778,
381000000,67.64489,67.64489,12.327881,
382004000,71.237305,71.237305,12.337952,
382992000,70.03093,70.03093,12.347809,
383996000,69.70029,69.70029,12.35791,
385004000,67.20125,67.20125,12.367981,
385992000,68.94793,68.94793,12.377747,
386996000,68.546844,68.546844,12.387756,
388004000,71.84379,71.84379,12.400604,
388988000,3.5269446,3.5269446,12.404572,
390000000,-0.22250736,-0.22250736,12.404572,
390980000,0.53767496,0.53767496,12.404572,
391992000,1.3975663,1.3975663,12.404572,
