timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
15048000,0,-0.17687172,1.6060507,0,0.69181913,0.063543215,-0.061341617,0.716649,1
15072000,0,-0.16896924,1.6060507,0,0.6920561,0.06071107,-0.0586076,0.7168945,1
15096000,0,-0.16124047,1.6060507,0,0.69227743,0.05794027,-0.0559328,0.71712375,1
15120000,0,-0.15366304,1.6060507,0,0.6924844,0.05522288,-0.05330956,0.71733814,1
15144000,0,-0.14621729,1.6060507,0,0.69267803,0.052551944,-0.050731163,0.7175388,1
15168000,0,-0.13888592,1.6060507,0,0.69285935,0.04992133,-0.048191693,0.7177266,1
15192000,0,-0.13166912,1.6060507,0,0.6930287,0.04733116,-0.045691267,0.717902,1
15216000,0,-0.12455178,1.6060507,0,0.69318694,0.044776097,-0.04322473,0.7180659,1
15240000,0,-0.1175205,1.6060507,0,0.6933346,0.042251363,-0.04078747,0.71821886,1
15264000,0,-0.11056333,1.6060507,0,0.69347227,0.039752726,-0.038375404,0.7183615,1
15288000,0,-0.10366953,1.6060507,0,0.6936004,0.037276376,-0.03598485,0.7184943,1
15312000,0,-0.096839994,1.6060507,0,0.69371927,0.03482267,-0.033616163,0.7186174,1
15336000,0,-0.090065315,1.6060507,0,0.6938292,0.032388274,-0.031266112,0.7187312,1
15360000,0,-0.08333692,1.6060507,0,0.69393045,0.029970143,-0.02893176,0.71883607,1
15384000,0,-0.07664699,1.6060507,0,0.6940233,0.027565496,-0.026610428,0.71893233,1
15408000,0,-0.06999726,1.6060507,0,0.69410795,0.025174994,-0.02430275,0.71902,1
15432000,0,-0.063380666,1.6060507,0,0.69418454,0.02279613,-0.022006307,0.71909934,1
15456000,0,-0.056790747,1.6060507,0,0.6942533,0.020426607,-0.019718882,0.7191706,1
15480000,0,-0.05022157,1.6060507,0,0.69431436,0.018064322,-0.017438443,0.7192338,1
15504000,0,-0.04367388,1.6060507,0,0.6943677,0.01570957,-0.015165276,0.71928906,1
15528000,0,-0.03714241,1.6060507,0,0.69441354,0.013360483,-0.012897579,0.71933657,1
15552000,0,-0.030622354,1.6060507,0,0.69445187,0.011015358,-0.010633707,0.71937627,1
15576000,0,-0.024109293,1.6060507,0,0.6944828,0.008672633,-0.00837215,0.71940833,1
15600000,0,-0.017602123,1.6060507,0,0.6945064,0.006331936,-0.006112551,0.7194327,1
15624000,0,-0.011097007,1.6060507,0,0.6945226,0.003991909,-0.003853601,0.7194495,1
15648000,0,-0.00459045,1.6060507,0,0.69453144,0.001651322,-0.001594109,0.7194587,1
15672000,0,0.001920752,1.6060507,0,0.69453293,-0.000690953,0.000667013,0.71946025,1
15696000,0,0.008437449,1.6060507,0,0.69452715,-0.003035197,0.002930036,0.7194542,1
15720000,0,0.014962368,1.6060507,0,0.69451386,-0.005382367,0.005195883,0.7194405,1
15744000,0,0.021498002,1.6060507,0,0.6944932,-0.007733334,0.007465396,0.71941906,1
15768000,0,0.028046627,1.6060507,0,0.694465,-0.010088891,0.009739338,0.71938986,1
15792000,0,0.034609985,1.6060507,0,0.6944293,-0.012449639,0.012018293,0.7193529,1
15816000,0,0.041189946,1.6060507,0,0.694386,-0.014816224,0.014302882,0.719308,1
15840000,0,0.047788173,1.6060507,0,0.69433504,-0.017189218,0.01659366,0.71925527,1
15864000,0,0.05440617,1.6060507,0,0.69427633,-0.019569134,0.018891118,0.7191944,1
15888000,0,0.061045278,1.6060507,0,0.6942098,-0.021956427,0.021195699,0.7191255,1
15912000,0,0.06770366,1.6060507,0,0.69413537,-0.024350407,0.023506733,0.71904844,1
15936000,0,0.074382424,1.6060507,0,0.694053,-0.026751446,0.025824582,0.7189631,1
15960000,0,0.081082575,1.6060507,0,0.6939626,-0.02915987,0.02814956,0.71886945,1
15984000,0,0.08780494,1.6060507,0,0.69386405,-0.031575955,0.030481935,0.71876734,1
16008000,0,0.0945509,1.6060507,0,0.6937573,-0.034000155,0.032822143,0.7186568,1
16032000,0,0.10132103,1.6060507,0,0.6936422,-0.036432657,0.035170365,0.71853757,1
