timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6256000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
14188000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
30112000,2,0,1,15,0,0,1,0,0,0,0,0,0,0
58168000,2,1,2,15,0,0,1,0,0,0,0,0,0,0
96192000,2,2,3,15,0,0,1,0,0,0,0,0,0,0
119880000,2,3,4,15,0,0,1,0,0,0,0,0,0,0
155440000,2,4,5,15,0,0,1,0,0,0,0,0,0,0
179496000,2,5,6,15,0,0,1,0,0,0,0,0,0,0
208920000,2,6,7,15,0,0,1,0,0,0,0,0,0,0
250476000,2,7,8,15,0,0,1,0,0,0,0,0,0,0
289284000,2,8,9,15,0,0,1,0,0,0,0,0,0,0
289336000,2,9,10,15,0,0,1,0,0,0,0,0,0,0
289344000,2,10,11,15,0,0,1,0,0,0,0,0,0,0
289392000,2,11,12,15,0,0,1,0,0,0,0,0,0,0
289452000,2,12,13,15,0,0,1,0,0,0,0,0,0,0
322716000,2,13,14,15,0,0,1,0,0,0,0,0,0,0
391312000,2,14,14,15,0,0,1,0,1,0,0,0,0,0
391812000,3,-1,0,15,0,0,0,1,0,0,0,0,0,0
