timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,yaw,dist_bottom
13160000,39.8714138,32.7364372,-4.634295,57.469616,-6.0463405,-4.3020654,21.795954,-6.1182775,-2.3692036,-1.6170529,-1.6374223,1.7550358,6.2158213
13264000,39.8714138,32.7364372,-5.1386476,59.752827,-6.7022476,-4.6227474,21.641907,-6.267193,-3.0633152,-1.6802287,-1.2434915,1.77129,6.8717284
13368000,39.8714138,32.7364372,-5.672843,62.013454,-7.3724017,-4.9972944,21.474709,-6.3837748,-3.5344877,-1.7456535,-0.9240275,1.7887412,7.5418825
13464000,39.8714138,32.7364372,-6.2072816,64.08642,-8.000744,-5.3860025,21.315432,-6.4664617,-3.8104057,-1.8416449,-0.69434065,1.8044487,8.170225
13568000,39.8714138,32.7364372,-6.8228793,66.310265,-8.689101,-5.821455,21.140263,-6.5226946,-4.00742,-1.8138332,-0.36187562,1.821855,8.8585825
13664000,39.8714138,32.7364372,-7.438079,68.35384,-9.328937,-6.242678,20.988995,-6.539577,-4.2032633,-1.6926357,0.003172085,1.8387355,9.498418
13768000,39.8714138,32.7364372,-8.142169,70.544785,-10.022142,-6.695972,20.816446,-6.5273995,-4.070984,-2.1564262,0.38534027,1.8586131,10.191624
13864000,39.8714138,32.7364372,-8.835136,72.5408,-10.654624,-7.094885,20.35683,-6.4315557,-4.148005,-5.3236127,0.9644422,1.8844503,10.824105
13968000,39.8714138,32.7364372,-9.624945,74.64392,-11.328405,-7.595863,19.814577,-6.3467574,-4.977581,-5.1272163,0.8656615,1.9211096,11.497887
14064000,39.8714138,32.7364372,-10.410559,76.54387,-11.941377,-8.114158,19.36938,-6.231689,-5.1750064,-4.3114867,1.537336,1.9515762,12.110858
14168000,39.8714138,32.7364372,-11.310104,78.5524,-12.589437,-8.673392,18.979158,-6.023333,-5.1672416,-3.3502629,2.3938682,1.9782978,12.758918
14264000,39.8714138,32.7364372,-12.191534,80.37707,-13.165282,-9.180426,18.703756,-5.7696548,-5.019309,-2.6953034,2.8552127,1.9998683,13.334764
14368000,39.8714138,32.7364372,-13.195269,82.32178,-13.760917,-9.72983,18.442303,-5.470219,-5.302092,-2.5263524,2.9460907,2.0259733,13.930398
14464000,39.8714138,32.7364372,-14.175404,84.09753,-14.28281,-10.277239,18.186728,-5.213799,-5.7002153,-3.0385213,2.5161653,2.056051,14.4522915
14568000,39.8714138,32.7364372,-15.294283,85.98618,-14.820487,-10.924075,17.84807,-4.9781284,-6.3602886,-3.6870532,2.122701,2.0942268,14.989968
14664000,39.8714138,32.7364372,-16.38992,87.697945,-15.295643,-11.568966,17.474216,-4.7927957,-6.798536,-4.382008,1.7754043,2.1329021,15.465124
14768000,39.8714138,32.7364372,-17.644827,89.50405,-15.790505,-12.303205,16.988453,-4.6230288,-7.1519804,-5.045854,1.5842923,2.177307,15.959987
14864000,39.8714138,32.7364372,-18.87221,91.12407,-16.23244,-13.007277,16.473166,-4.489602,-7.3562827,-5.7808113,1.2731785,2.2203858,16.401922
14968000,39.8714138,32.7364372,-20.276093,92.81642,-16.698915,-13.781955,15.833135,-4.368535,-7.379741,-6.570396,1.1309366,2.269762,16.868397
15064000,39.8714138,32.7364372,-21.643478,94.31779,-17.119274,-14.504079,15.174169,-4.2714286,-7.496058,-7.3183546,0.9455708,2.3179069,17.288755
15168000,39.8714138,32.7364372,-23.200981,95.86647,-17.563156,-15.286985,14.378503,-4.173889,-7.449485,-8.153091,0.8961716,2.373348,17.732637
15264000,39.8714138,32.7364372,-24.714176,97.22101,-17.96335,-16.011948,13.564659,-4.0999184,-7.478873,-8.933035,0.69838107,2.4278696,18.132832
15368000,39.8714138,32.7364372,-26.430008,98.593346,-18.388874,-16.787214,12.589915,-4.040001,-7.2339396,-9.936965,0.4458446,2.4901793,18.558355
15464000,39.8714138,32.7364372,-28.086903,99.76529,-18.775026,-17.48703,11.60126,-3.997983,-7.017148,-10.747425,0.4051458,2.5500975,18.944508
15568000,39.8714138,32.7364372,-29.954657,100.92124,-19.1894,-18.20972,10.441718,-3.9645863,-6.510861,-11.592001,0.3224369,2.6169221,19.358881
15664000,39.8714138,32.7364372,-31.74866,101.87852,-19.570314,-18.831781,9.301799,-3.9388099,-6.0905886,-12.234732,0.18195342,2.6794693,19.739796
15768000,39.8714138,32.7364372,-33.755848,102.78755,-19.980682,-19.445004,8.010496,-3.9081101,-5.479077,-12.633715,0.28900242,2.7472086,20.150164
15864000,39.8714138,32.7364372,-35.660862,103.50753,-20.355236,-19.947672,6.7871118,-3.8720195,-4.7809844,-12.877418,0.43837166,2.809082,20.524717
15968000,39.8714138,32.7364372,-37.77314,104.15389,-20.75421,-20.41018,5.447444,-3.8186994,-3.955085,-13.013896,0.6012916,2.8745737,20.92369
16064000,39.8714138,32.7364372,-39.7626,104.62717,-21.116121,-20.7625,4.215929,-3.753114,-3.1744566,-12.731688,0.67397296,2.9326844,21.285603
16168000,39.8714138,32.7364372,-41.950977,105.006485,-21.499493,-21.061153,2.9063466,-3.6646147,-2.323942,-12.496057,0.9838072,2.9924128,21.668974
16272000,39.8714138,32.7364372,-44.166138,105.25283,-21.87165,-21.278364,1.6350278,-3.5492406,-1.6224823,-11.995666,1.1738529,3.0489185,22.041132
16368000,39.8714138,32.7364372,-46.22698,105.36534,-22.204102,-21.413452,0.507703,-3.427107,-0.89280677,-11.565696,1.3453988,3.098223,22.373583
16464000,39.8714138,32.7364372,-48.299515,105.37089,-22.52575,-21.488997,-0.57322377,-3.2856371,-0.42253184,-11.105379,1.5129902,-3.1381488,22.69523
16568000,39.8714138,32.7364372,-50.5505,105.261024,-22.86063,-21.513113,-1.6977895,-3.125122,0.16364267,-10.683962,1.5869689,-3.0896912,23.030111
16664000,39.8714138,32.7364372,-52.624264,105.05912,-23.155869,-21.480036,-2.6941018,-2.9702878,0.6279605,-10.230458,1.6153715,-3.0468361,23.32535
16768000,39.8714138,32.7364372,-54.86198,104.73676,-23.458805,-21.39519,-3.7296607,-2.8018138,1.099778,-9.872498,1.7455732,-3.0020907,23.628286
16864000,39.8714138,32.7364372,-56.917698,104.34527,-23.724276,-21.270966,-4.650521,-2.646575,1.6243266,-9.465165,1.6311936,-2.9619493,23.893757
16968000,39.8714138,32.7364372,-59.129932,103.82368,-23.996284,-21.09155,-5.6177993,-2.4813454,1.9229715,-9.269074,1.597857,-2.9195995,24.165766
17064000,39.8714138,32.7364372,-61.15275,103.25393,-24.232996,-20.882654,-6.482044,-2.3360193,2.3684995,-8.9584875,1.5744007,-2.8808641,24.402477
17168000,39.8714138,32.7364372,-63.320732,102.54654,-24.475563,-20.612494,-7.3995576,-2.191328,2.8830013,-8.889482,1.4057978,-2.8389876,24.645044
17264000,39.8714138,32.7364372,-65.2957,101.80775,-24.685764,-20.319191,-8.23211,-2.0701613,3.3802528,-8.648367,1.2348638,-2.800004,24.855246
17368000,39.8714138,32.7364372,-67.40461,100.91827,-24.905401,-19.952208,-9.126591,-1.9584473,3.8877938,-8.607608,1.1851945,-2.75676,25.074883
17464000,39.8714138,32.7364372,-69.31249,100.01481,-25.100782,-19.562885,-9.947354,-1.8758929,4.404285,-8.688516,0.8666543,-2.7158868,25.270264
17568000,39.8714138,32.7364372,-71.33544,98.95321,-25.308676,-19.083733,-10.834193,-1.8119646,4.993364,-8.616348,0.7479982,-2.6694221,25.478157
17664000,39.8714138,32.7364372,-73.15459,97.8891,-25.495985,-18.581131,-11.658255,-1.7741356,5.649574,-8.795921,0.41987652,-2.624047,25.665466
17768000,39.8714138,32.7364372,-75.07078,96.65011,-25.699427,-17.958788,-12.560559,-1.7699419,6.62553,-9.005715,0.001107342,-2.5714169,25.868908
17864000,39.8714138,32.7364372,-76.775764,95.419266,-25.887218,-17.296421,-13.410781,-1.7980417,7.454373,-9.153447,-0.3297599,-2.51959,26.0567
17968000,39.8714138,32.7364372,-78.551544,93.997986,-26.100933,-16.479893,-14.346642,-1.8745716,8.558166,-9.285664,-0.78365296,-2.4590993,26.270414
18064000,39.8714138,32.7364372,-80.10753,92.59505,-26.306217,-15.607737,-15.231291,-1.9823524,9.808865,-9.364889,-1.0854815,-2.3977723,26.475698
18168000,39.8714138,32.7364372,-81.69998,90.98261,-26.5508,-14.533471,-16.191969,-2.1580532,11.218087,-9.434612,-1.653484,-2.3264594,26.720282
18264000,39.8714138,32.7364372,-83.058876,89.4018,-26.792158,-13.3873205,-17.087013,-2.3622959,13.045954,-9.500585,-2.0660076,-2.2539396,26.96164
18368000,39.8714138,32.7364372,-84.4043,87.60446,-27.088675,-11.967715,-18.036861,-2.6467295,14.754054,-9.1833,-2.5377944,-2.1665885,27.258156
18464000,39.8714138,32.7364372,-85.501274,85.853065,-27.386885,-10.495705,-18.872408,-2.9256659,16.255854,-8.568481,-2.7109225,-2.0818298,27.556366
18568000,39.8714138,32.7364372,-86.53252,83.88566,-27.750498,-8.755693,-19.677343,-3.258636,17.78675,-7.5213223,-2.8284879,-1.985821,27.91998
18664000,39.8714138,32.7364372,-87.3106,81.99179,-28.111439,-7.0084424,-20.31524,-3.5701458,19.001236,-6.272501,-2.887668,-1.8944957,28.28092
18768000,39.8714138,32.7364372,-87.966286,79.885345,-28.54833,-5.0273767,-20.832233,-3.9216993,19.644121,-4.4155126,-2.7414494,-1.7954607,28.717812
18864000,39.8714138,32.7364372,-88.380486,77.89388,-28.976484,-3.1698618,-21.143114,-4.214803,19.477745,-2.6635704,-2.4679255,-1.7068888,29.145966
18968000,39.8714138,32.7364372,-88.63271,75.71584,-29.478554,-1.1994979,-21.285603,-4.495426,18.826859,-0.767766,-1.9209933,-1.6148582,29.648035
19064000,39.8714138,32.7364372,-88.681404,73.694115,-29.959204,0.54410774,-21.259407,-4.693958,17.926174,0.67791504,-1.3795615,-1.5349461,30.128685
19168000,39.8714138,32.7364372,-88.56202,71.52522,-30.508593,2.3063538,-21.064653,-4.888457,16.812902,2.292378,-1.2059491,-1.4539686,30.678074
19264000,39.8714138,32.7364372,-88.28772,69.54145,-31.02613,3.8517985,-20.764578,-5.0356817,15.817741,3.3272812,-0.9590247,-1.3825113,31.195612
19368000,39.8714138,32.7364372,-87.83438,67.43631,-31.609245,5.3879795,-20.318163,-5.1806855,14.471645,4.4173584,-0.68353575,-1.3098248,31.778727
19464000,39.8714138,32.7364372,-87.27442,65.53212,-32.15293,6.6915493,-19.835629,-5.277648,13.3581505,5.1090436,-0.40767246,-1.2455839,32.32241
19568000,39.8714138,32.7364372,-86.53546,63.530262,-32.75689,7.9931254,-19.228544,-5.3832736,12.391881,5.8669386,-0.53258145,-1.1769807,32.92637
19664000,39.8714138,32.7364372,-85.73292,61.73707,-33.31845,9.114641,-18.596748,-5.488123,11.600909,6.6833453,-0.77982336,-1.114828,33.48793
19768000,39.8714138,32.7364372,-84.75026,59.871468,-33.942116,10.239682,-17.823948,-5.643278,10.665325,7.5318937,-1.307845,-1.0489837,34.111595
19864000,39.8714138,32.7364372,-83.73972,58.21981,-34.52829,11.196666,-17.045925,-5.822608,9.651494,8.212628,-1.7605562,-0.9890305,34.69777
19968000,39.8714138,32.7364372,-82.54874,56.51854,-35.18331,12.130812,-16.137651,-6.061398,8.670496,8.760972,-2.1546147,-0.9245356,35.35279
20064000,39.8714138,32.7364372,-81.36397,55.029606,-35.80586,12.900436,-15.256072,-6.318641,7.7612715,9.267554,-2.5682437,-0.8647907,35.975338
20168000,39.8714138,32.7364372,-80.0022,53.51388,-36.50972,13.625368,-14.260159,-6.6463137,6.5720863,9.525382,-3.058829,-0.79983383,36.6792
20264000,39.8714138,32.7364372,-78.67965,52.20355,-37.185055,14.189976,-13.3244505,-6.9779887,5.44049,9.683998,-3.3378384,-0.7408526,37.354534
20368000,39.8714138,32.7364372,-77.1923,50.884773,-37.950993,14.677703,-12.315716,-7.362852,4.345813,9.494846,-3.5996687,-0.67859405,38.120472
20464000,39.8714138,32.7364372,-75.7773,49.757103,-38.691357,15.016473,-11.39966,-7.7429013,3.0731165,9.364714,-3.9071894,-0.62306404,38.860836
20568000,39.8714138,32.7364372,-74.21236,48.632103,-39.533016,15.257503,-10.447391,-8.176072,1.7950419,8.669202,-3.9830866,-0.5674217,39.702496
20664000,39.8714138,32.7364372,-72.74839,47.675728,-40.345337,15.376123,-9.643644,-8.554178,0.9105531,7.7107034,-3.5440807,-0.5213892,40.514816
20768000,39.8714138,32.7364372,-71.15693,46.719097,-41.261955,15.41894,-8.897039,-8.899676,0.2032502,6.524416,-2.7451234,-0.47781798,41.431435
20864000,39.8714138,32.7364372,-69.685555,45.896862,-42.133106,15.417912,-8.334002,-9.127232,0.022956634,5.2508645,-1.7247367,-0.44334966,42.302586
20968000,39.8714138,32.7364372,-68.093025,45.05948,-43.09409,15.412414,-7.8548536,-9.256296,0.11711078,4.0004573,-0.548684,-0.41109565,43.26357
21064000,39.8714138,32.7364372,-66.62108,44.32414,-43.98577,15.4331045,-7.5171137,-9.268112,0.45370936,3.0939605,0.32457802,-0.38543043,44.15525
21168000,39.8714138,32.7364372,-65.023056,43.558804,-44.94973,15.489042,-7.235341,-9.182669,0.7490671,2.3314538,1.2986771,-0.361625,45.11921
21264000,39.8714138,32.7364372,-63.540993,42.874508,-45.82932,15.57155,-7.0342155,-9.034935,0.9996674,1.8021939,1.7776954,-0.34327194,45.9988
21368000,39.8714138,32.7364372,-61.922634,42.151596,-46.762386,15.689036,-6.861948,-8.813886,1.3376632,1.4328972,2.341438,-0.32723325,46.931866
21464000,39.8714138,32.7364372,-60.414925,41.49791,-47.599686,15.816815,-6.732503,-8.569671,1.5413926,1.1525224,2.780719,-0.31550843,47.769165
21568000,39.8714138,32.7364372,-58.767227,40.8024,-48.477924,15.968904,-6.624834,-8.269808,1.5637797,0.8784158,3.0872736,-0.30553988,48.647404
21664000,39.8714138,32.7364372,-57.2321,40.169502,-49.259274,16.113739,-6.5477376,-7.9744554,1.5986644,0.6388239,3.1514585,-0.29838505,49.428753
21768000,39.8714138,32.7364372,-55.551926,39.4902,-50.073425,16.273626,-6.4857793,-7.645284,1.5417178,0.52301294,3.1377323,-0.2924484,50.242905
21864000,39.8714138,32.7364372,-53.986042,38.867546,-50.793365,16.384266,-6.43954,-7.3269587,0.5306692,0.5840475,3.5916622,-0.28857434,50.962845
21968000,39.8714138,32.7364372,-52.28299,38.198963,-51.532627,16.363937,-6.374701,-6.905332,-0.59391856,0.67594564,4.400036,-0.28625974,51.702106
22064000,39.8714138,32.7364372,-50.715015,37.58853,-52.170624,16.287203,-6.313667,-6.4430847,-0.91924024,0.5629712,5.107367,-0.28633958,52.340103
22168000,39.8714138,32.7364372,-49.023968,36.933285,-52.809753,16.185198,-6.253806,-5.8827443,-1.0078931,0.5211402,5.658743,-0.28718176,52.979233
22264000,39.8714138,32.7364372,-47.470448,36.333633,-53.346466,16.09855,-6.2059393,-5.3270864,-0.7975094,0.4632632,5.954661,-0.28724825,53.515945
22368000,39.8714138,32.7364372,-45.796154,35.688297,-53.864914,16.020693,-6.1621537,-4.6911707,-0.6318375,0.44848582,6.26874,-0.28522143,54.034393
22464000,39.8714138,32.7364372,-44.257423,35.096386,-54.28569,15.96933,-6.122962,-4.0871944,-0.52567136,0.45537743,6.346624,-0.28140163,54.45517
22568000,39.8714138,32.7364372,-42.59534,34.45966,-54.675343,15.915286,-6.08192,-3.421097,-0.55719894,0.31531972,6.338552,-0.27786285,54.844822
22664000,39.8714138,32.7364372,-41.065735,33.876114,-54.97566,15.856269,-6.0561185,-2.8355687,-0.6636028,0.20794871,5.862172,-0.27766326,55.145138
22768000,39.8714138,32.7364372,-39.415527,33.245567,-55.241188,15.778931,-6.049511,-2.2545161,-0.77238464,-0.044939805,5.382121,-0.28112927,55.410667
22864000,39.8714138,32.7364372,-37.89813,32.663784,-55.43555,15.700771,-6.0701194,-1.7631283,-0.794518,-0.33234757,5.008059,-0.28710172,55.60503
22968000,39.8714138,32.7364372,-36.262207,32.029026,-55.594536,15.61644,-6.120383,-1.2742782,-0.84724265,-0.5595309,4.5613422,-0.2957142,55.764015
23064000,39.8714138,32.7364372,-34.757034,31.436739,-55.696804,15.540431,-6.1917996,-0.85485685,-0.89125353,-0.8553625,4.2453313,-0.30476397,55.866283
23168000,39.8714138,32.7364372,-33.13604,30.786037,-55.763058,15.459703,-6.2945576,-0.4330278,-0.74414444,-1.1030813,3.910362,-0.31529263,55.932537
23264000,39.8714138,32.7364372,-31.646545,30.17588,-55.78811,15.385714,-6.4136186,-0.07716686,-0.83965445,-1.3924706,3.5281692,-0.32592466,55.95759
23368000,39.8714138,32.7364372,-30.042006,29.499601,-55.77984,15.30515,-6.5734696,0.27169383,-0.7169125,-1.7141255,3.2621472,-0.33913276,55.949318
23464000,39.8714138,32.7364372,-28.565804,28.858002,-55.743458,15.228286,-6.7505546,0.562735,-0.85163933,-2.04535,2.9268637,-0.3534764,55.912937
23568000,39.8714138,32.7364372,-26.977165,28.141891,-55.675255,15.135906,-6.9769816,0.8433357,-0.91486746,-2.294535,2.5991707,-0.37164754,55.844734
23664000,39.8714138,32.7364372,-25.515469,27.458984,-55.589138,15.044414,-7.2173014,1.076738,-1.1197972,-2.654346,2.266717,-0.39121953,55.758617
23768000,39.8714138,32.7364372,-23.94487,26.690786,-55.4713,14.930987,-7.514495,1.3013396,-1.1782249,-3.0926137,2.0695355,-0.41519907,55.640778
