timestamp,device_id,x,y,z,temperature
9984000,2294028,-0.006660895,-0.0007251,-0.008617217,-340.26352
10084000,2294028,-0.00085545,-0.006134394,-0.01325286,-340.26352
10184000,2294028,0.00223522,-0.006285597,-0.004354722,-340.26352
10284000,2294028,0.000181819,-0.007873132,-0.003384167,-340.26352
10384000,2294028,0.005537491,-0.006957197,7.00E-05,-340.26352
10484000,2294028,0.000191613,-0.015923176,0.006020353,12.404602
10584000,2294028,-0.009906889,-0.006687955,-0.004796739,-340.26352
10684000,2294028,-0.015038615,-0.00942956,0.07288162,-340.26352
10784000,2294028,0.13250923,-0.08828269,0.22815715,-340.26352
10884000,2294028,0.2833384,-0.10655624,0.16570683,-340.26352
10984000,2294028,0.3281198,0.001129633,-0.0972214,12.40448
11084000,2294028,0.32435074,-0.000263882,-0.25404933,-340.26352
11184000,2294028,0.27884868,-0.011305221,-0.17989115,-340.26352
11284000,2294028,0.23544303,0.07123967,0.041091982,-340.26352
11384000,2294028,0.19830409,0.18521658,0.17266174,-340.26352
11484000,2294028,0.15152471,0.23714568,0.15970881,-340.26352
11584000,2294028,0.10646356,0.18980241,0.06369448,12.403381
11684000,2294028,0.08019456,0.1539078,-0.008238986,12.402557
11784000,2294028,0.06301796,0.1391682,0.005950682,-340.26352
11884000,2294028,0.051350534,0.14314575,0.058969587,-340.26352
11984000,2294028,0.029421506,0.16521978,0.09705921,-340.26352
12084000,2294028,0.017415991,0.17874154,0.071908645,-340.26352
12184000,2294028,0.016677864,0.16902588,0.05426558,12.394653
12284000,2294028,0.014623869,0.15557876,0.03419133,-340.26352
12384000,2294028,0.000322701,0.15163709,0.049756072,-340.26352
12484000,2294028,0.011576028,0.15895292,0.05903054,-340.26352
12584000,2294028,-0.003574915,0.16480187,0.06331887,-340.26352
12684000,2294028,-0.003747409,0.16958219,0.070241846,-340.26352
12784000,2294028,-0.015607231,0.17475176,0.04563765,12.378235
12888000,2294028,-0.009261334,0.16523618,0.046711564,-340.26352
12988000,2294028,-0.024741294,0.12916504,0.050834015,-340.26352
13087999,2294028,0.5002912,0.10487258,0.09098457,-340.26352
13188000,2294028,0.5306545,0.10534828,0.13847765,-340.26352
13292000,2294028,0.44991532,0.107580334,0.13710918,-340.26352
13392000,2294028,0.3634153,0.108656965,0.13438345,-340.26352
13491999,2294028,0.28649396,0.11469006,0.12633646,-340.26352
13592000,2294028,0.21974778,0.09315188,0.14223638,-340.26352
13692000,2294028,0.1879692,0.093382075,0.16294132,-340.26352
13792000,2294028,0.3421469,0.13879976,0.19257039,12.337524
13892000,2294028,0.4220435,0.19895054,0.26939225,-340.26352
13992000,2294028,0.39734334,0.15016037,0.28218046,-340.26352
14092000,2294028,0.3335044,0.109420896,0.24588378,-340.26352
14192000,2294028,0.2852386,0.07215956,0.22087298,-340.26352
14292000,2294028,0.24845164,0.09925077,0.21993105,-340.26352
14392000,2294028,0.19671677,0.15870254,0.25635213,12.31366
14492000,2294028,0.15980963,0.19576143,0.29221848,-340.26352
14592000,2294028,0.11544555,0.24389222,0.30913877,-340.26352
14692000,2294028,0.08134789,0.2818203,0.30885997,-340.26352
14792000,2294028,0.05574082,0.30547547,0.30584383,-340.26352
14892000,2294028,0.024962118,0.33767334,0.2989532,-340.26352
14992000,2294028,0.004978018,0.35439298,0.31788817,-340.26352
15092000,2294028,-0.0289266,0.38328505,0.33744162,-340.26352
15192000,2294028,-0.029937597,0.42390913,0.34714118,-340.26352
15292000,2294028,-0.056314636,0.44942325,0.3546472,-340.26352
15392000,2294028,-0.0592837,0.48042798,0.36801764,-340.26352
15492000,2294028,-0.06565672,0.50025976,0.36481795,-340.26352
15592000,2294028,-0.086584345,0.51290506,0.36832845,12.279083
15692000,2294028,-0.09067879,0.5206974,0.36971897,-340.26352
15792000,2294028,-0.105028264,0.516102,0.35709652,-340.26352
15892000,2294028,-0.12033853,0.5047759,0.3612674,-340.26352
15992000,2294028,-0.110748485,0.48552462,0.3530901,-340.26352
16092000,2294028,-0.12727351,0.44620693,0.33972093,-340.26352
16192000,2294028,-0.14651522,0.42429125,0.329848,12.264191
16292000,2294028,-0.14481622,0.39749935,0.3157732,-340.26352
16392000,2294028,-0.14838602,0.3753751,0.3201328,-340.26352
16492000,2294028,-0.14405006,0.3458609,0.3002396,-340.26352
16592000,2294028,-0.13801643,0.32285303,0.30264145,-340.26352
16692000,2294028,-0.13555732,0.309279,0.2977858,-340.26352
16792000,2294028,-0.121933475,0.2963646,0.27652344,12.251343
