timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
19216000,36.222755,30.766191,4.2727923,4.9663863,13.273939,21.58967,-0.16631462,0.20877017,-0.027107866,-13.152952
19408000,37.18275,31.835556,4.267324,5.223629,13.274558,21.539946,-0.16530775,0.06710879,-0.030306635,-9.362833
19624000,38.26274,33.08418,4.2588925,5.442362,13.275257,21.410797,-0.1627108,-0.13739507,-0.033882696,-5.1715417
19816000,39.222733,34.23418,4.249392,5.729401,13.275898,21.25825,-0.15964702,-0.33856693,-0.037016306,-1.5389831
20008000,40.182724,35.440426,4.237079,6.1641755,13.276731,21.029411,-0.15505362,-0.5365634,-0.04007758,1.9709547
20224000,41.262714,36.90085,4.2180576,6.8373766,13.277609,20.732458,-0.14909698,-0.7154261,-0.043424513,5.733185
20416000,42.222706,38.31721,4.195239,7.549885,13.278412,20.458143,-0.14359462,-0.8467179,-0.0463317,8.879733
20608000,43.182697,39.86742,4.165728,8.338294,13.279461,20.17683,-0.13794738,-0.9607677,-0.049225744,11.819164
20824000,44.262688,41.767902,4.1247034,9.045662,13.280527,19.83557,-0.13110085,-1.0654012,-0.052509133,14.838884
21016000,45.22268,43.540184,4.084089,9.274116,13.281851,19.507275,-0.12450847,-1.0699643,-0.055476516,17.237188
21208000,46.18267,45.31824,4.0431857,9.128496,13.282952,19.235264,-0.119046226,-0.95967376,-0.058517758,19.367228
21424000,47.26266,47.25411,4.000392,8.675899,13.284124,19.054142,-0.11540035,-0.7639997,-0.062096763,21.494013
21616000,48.22265,48.872295,3.967355,8.123764,13.285384,18.970295,-0.113698214,-0.5806341,-0.06545124,23.196772
21808000,49.146973,50.377377,3.16991,7.517113,13.28614,18.914583,-0.112568855,-0.40685648,-0.06896213,24.758915
22024000,49.681427,51.910076,1.140424,6.6428714,13.287103,18.81763,-0.11061056,-0.9314061,-0.07318794,26.333815
