timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6212000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
10244000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
41496000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
59636000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
73524000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
92564000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
146380000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
146436000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
146448000,2,6,7,11,0,0,1,0,0,0,0,0,0,0
146492000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
146548000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
166148000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
220744000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
221232000,3,-1,0,11,0,0,0,1,0,0,0,0,0,0
