timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
172988000,68.54131,68.54131,12.327454
173996000,68.28242,68.28242,12.33725
175008000,68.20566,68.20566,12.347015
175992000,68.30552,68.30552,12.356598
177000000,69.88213,69.88213,12.366455
178004000,68.78853,68.78853,12.376221
178988000,69.35004,69.35004,12.385651
179996000,70.697495,70.697495,12.397827
181004000,13.129795,13.129795,12.404602
181988000,-0.8074141,-0.8074141,12.404602
182996000,1.5341252,1.5341252,12.404602
184008000,1.1222141,1.1222141,12.404602
184988000,0.75178486,0.75178486,12.404602
