timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
173984000,146.92099,146.92099,11.888702
174988000,147.56958,147.56958,11.901794
175996000,147.11525,147.11525,11.914795
176980000,146.75044,146.75044,11.927338
177988000,147.87717,147.87717,11.93988
179000000,151.52107,151.52107,11.952087
179984000,150.99266,150.99266,11.963837
180988000,152.21017,152.21017,11.9758
182000000,152.81169,152.81169,11.987915
182980000,151.73297,151.73297,11.9999695
183988000,153.56961,153.56961,12.012482
184996000,153.6411,153.6411,12.0252075
185980000,152.92056,152.92056,12.037872
186988000,154.37363,154.37363,12.050995
187996000,189.32175,189.32175,12.063782
188980000,207.50365,207.50365,12.0564575
189992000,183.37965,183.37965,12.043091
190996000,175.54297,175.54297,12.0336
191984000,165.79681,165.79681,12.029022
192992000,160.089,160.089,12.028656
194000000,160.14748,160.14748,12.031067
194980000,160.77109,160.77109,12.034149
195988000,160.2239,160.2239,12.037201
196996000,160.8652,160.8652,12.039795
197980000,160.38068,160.38068,12.041992
198988000,161.70169,161.70169,12.043945
199996000,160.1463,160.1463,12.045624
200980000,161.28105,161.28105,12.04715
201988000,161.43845,161.43845,12.048523
202996000,158.64647,158.64647,12.049774
203980000,159.85533,159.85533,12.050934
204992000,158.44148,158.44148,12.05188
205996000,158.27542,158.27542,12.052734
206984000,157.47215,157.47215,12.053406
207988000,159.12852,159.12852,12.054077
208996000,158.6887,158.6887,12.054626
209980000,160.28514,160.28514,12.055206
210992000,152.10468,152.10468,12.056946
212000000,164.67937,164.67937,12.067505
212980000,182.98282,182.98282,12.075043
213988000,177.89641,177.89641,12.070251
214996000,174.89018,174.89018,12.065155
215980000,172.47879,172.47879,12.061401
216988000,172.24324,172.24324,12.058899
218000000,168.8187,168.8187,12.057922
218980000,166.56612,166.56612,12.058105
219988000,163.20844,163.20844,12.059387
220996000,159.28345,159.28345,12.0616455
221980000,158.96136,158.96136,12.0642395
222992000,163.51462,163.51462,12.066589
223996000,162.15173,162.15173,12.068237
224984000,164.3093,164.3093,12.069
225992000,162.2337,162.2337,12.069305
226996000,159.38927,159.38927,12.069794
227980000,157.54163,157.54163,12.07077
228988000,154.75365,154.75365,12.072296
230000000,158.66641,158.66641,12.074066
230980000,160.0304,160.0304,12.075348
231988000,158.97961,158.97961,12.075775
233000000,157.39276,157.39276,12.075623
233984000,154.76506,154.76506,12.075592
234988000,154.56253,154.56253,12.076172
235972000,151.71326,151.71326,12.077332
236980000,150.40726,150.40726,12.078888
237988000,146.25694,146.25694,12.080048
238996000,126.570145,126.570145,12.079987
239984000,116.77721,116.77721,12.082306
240992000,114.54431,114.54431,12.086395
241996000,115.659,115.659,12.090454
242980000,114.20551,114.20551,12.093292
243988000,112.54879,112.54879,12.094788
244996000,108.73735,108.73735,12.095245
245980000,105.159966,105.159966,12.095154
246992000,100.258125,100.258125,12.1024475
247996000,102.194275,102.194275,12.117432
248980000,102.562836,102.562836,12.130188
249988000,98.33267,98.33267,12.141998
251000000,96.806694,96.806694,12.153473
251984000,94.30396,94.30396,12.164734
252992000,91.51861,91.51861,12.17627
253995999,88.55421,88.55421,12.187775
254983999,89.18238,89.18238,12.198944
255992000,85.26846,85.26846,12.210236
256995999,85.09371,85.09371,12.221436
257983999,83.127884,83.127884,12.2323
258988000,81.97728,81.97728,12.243378
259995999,79.41084,79.41084,12.254395
