timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
7996000,-1.0221819,-1.0221819,-1.0421511,0.08579034,0.087466344
8996000,19.053787,19.054863,19.427341,19.182932,19.557915
9996000,23.161997,23.14192,23.59501,22.99207,23.442228
10996000,22.561913,22.51792,22.963781,22.467524,22.91243
11996000,21.021156,20.976696,21.399603,20.910967,21.332548
12995999,20.253515,20.210955,20.624979,20.181843,20.595272
13996000,20.04075,19.995619,20.410984,19.943565,20.35785
14996000,20.144531,20.06427,20.485867,19.834106,20.250868
15996000,20.205303,20.074352,20.50037,19.772778,20.192396
16996000,19.897655,19.73132,20.15419,19.659824,20.081161
17996000,19.60066,19.448414,19.869465,19.438269,19.8591
18996000,19.672848,19.568993,19.997065,19.633709,20.063198
19996000,19.566116,19.500273,19.931435,19.535517,19.967459
20996000,19.410313,19.358728,19.791306,19.438074,19.872423
21996000,19.393145,19.36178,19.799042,19.356585,19.79373
22996000,19.163954,19.137405,19.574114,19.259932,19.699436
23996000,19.188345,19.17778,19.619917,19.177662,19.619795
24996000,19.11122,19.113457,19.558838,19.069328,19.51368
25996000,18.944298,18.942669,19.388365,18.953602,19.39958
26996000,18.865633,18.862986,19.311552,18.831934,19.27976
27996000,18.679522,18.68056,19.129223,18.724579,19.1743
28996000,18.603338,18.596958,19.047993,18.610344,19.061705
29996000,17.996565,17.988384,18.429293,18.021645,18.46337
30996000,16.195831,16.185293,16.5841,16.254494,16.655006
31996000,15.995361,15.990774,16.384909,15.955232,16.34849
32996000,16.11052,16.107307,16.503078,16.117043,16.513052
33996000,16.355783,16.354927,16.75584,16.3187,16.718725
34996000,16.420511,16.415134,16.817024,16.44429,16.846893
35996000,16.404907,16.410109,16.811552,16.481232,16.884415
36996000,16.348269,16.353165,16.752865,16.46959,16.872135
37996000,16.422377,16.437313,16.839304,16.41376,16.815176
38996000,16.283907,16.309778,16.708595,16.352571,16.752436
39996000,16.22874,16.274942,16.673079,16.28312,16.681456
40996000,16.174767,16.22504,16.62197,16.198723,16.595009
41996000,15.990721,16.042248,16.434837,16.113865,16.508205
42996000,15.928957,15.988523,16.379858,16.025087,16.417318
43996000,15.865435,15.929577,16.3196,15.948767,16.33926
44996000,15.74753,15.815413,16.202461,15.860518,16.24867
45996000,15.734819,15.792749,16.179605,15.783421,16.170048
46996000,15.621565,15.680931,16.06492,15.719316,16.104244
47996000,15.614222,15.669271,16.053043,15.652384,16.035742
48996000,15.43789,15.490835,15.870346,15.594229,15.976273
49996000,15.45065,15.508396,15.888206,15.55684,15.937837
50996000,15.196229,15.2649,15.638934,15.268463,15.642585
51996000,17.063145,17.138174,17.558304,17.186644,17.607962
52996000,16.650171,16.719687,17.130722,16.777014,17.189466
