timestamp,xyz[0],xyz[1],xyz[2]
73000000,-0.30857193,-0.3960359,-0.11087277
73004000,-0.3140238,-0.22270408,-0.66567624
73008000,-0.001910023,-0.2761232,-0.84512633
73012000,0.35513774,-0.36989355,-0.29092532
73016000,0.18330042,0.07702421,0.45097733
73020000,-0.2570013,0.6307197,0.4453375
73024000,-0.47252977,0.779379,-0.098557934
73028000,-0.63376933,0.5911863,-0.50179017
73032000,-0.44810197,0.3034814,-0.85889894
73036000,0.19053748,-0.047575608,-0.72473073
73040000,0.4538198,-0.58065134,-0.08327815
73048000,0.24072781,-0.17428368,0.88066083
73052000,0.19622687,-0.002726361,0.49817392
73056000,0.26946503,-0.28473306,-0.08256003
73060000,0.23371907,-0.19106406,-0.28863397
73064000,0.07230201,0.36497673,-0.47868073
73068000,0.20621623,0.55835015,-0.2652983
73072000,0.10360113,0.274147,0.31805432
73076000,-0.6113977,0.02890113,0.53591627
73080000,-0.93224585,-0.23201273,0.25975803
73088000,-0.25216898,-0.3257753,0.3600694
73092000,-0.16840553,-0.19015728,0.25751507
73100000,0.22256485,-0.1926027,-0.30726564
73104000,0.4208436,0.09126927,-0.5564283
73108000,0.38092852,0.30871063,-1.0790031
73112000,0.09270121,0.14804515,-1.0864518
73120000,-0.41563573,-0.19035621,0.77934474
73124000,-0.19992296,-0.24998121,0.63879037
73128000,0.39005488,-0.0451057,0.41936368
73132000,0.47952825,0.21172972,0.29495007
73136000,-0.036874555,0.4031074,-0.006692305
73140000,-0.46780613,0.33952472,-0.16120748
73144000,-0.049961507,0.06042044,0.113887444
73148000,0.4484601,-0.23518133,0.5342255
73156000,0.16704224,0.17055486,-0.22147629
73160000,0.04919755,0.16281193,-0.80252254
73164000,-0.08448747,-0.14090227,-0.3231937
73172000,0.015679188,-0.03476375,0.41473538
73176000,0.13006423,0.3298511,-0.35858205
73184000,-0.21743491,0.014262021,-0.662912
73188000,-0.3870312,-0.4350084,-0.4119153
73192000,-0.17179242,-0.38633212,0.030953497
73196000,0.14806765,-0.04973451,0.28128296
73200000,0.3959667,0.17540772,-0.025126815
73204000,0.3574763,0.31790772,-0.13700639
73212000,-0.20368569,-0.106043644,0.38352078
73216000,-0.81958044,-0.29732102,0.028736852
73220000,-0.6422316,0.12639882,-0.41006297
73224000,-0.10072198,0.37205672,-0.17324306
73232000,0.3993761,-0.081102364,0.6490202
73240000,0.11418992,-0.20346165,0.15367357
73248000,0.42922273,-0.026968129,0.22411424
73252000,0.30409473,-0.1861886,-0.14312737
73256000,-0.011072442,-0.10302927,-0.41288316
73264000,-0.86203885,0.33213264,-0.64430654
73268000,-0.36113244,0.061447546,-0.61583287
73272000,-0.010130592,-0.2560135,-0.08088875
73280000,-0.5414204,-0.02962379,0.48003966
73284000,-0.32119966,-0.61463,0.2818333
73288000,0.11977705,-0.64544046,0.066825375
73292000,0.5169509,0.015577242,-0.06907691
73296000,0.5148704,0.54880196,0.011313982
73300000,0.23648989,0.4587634,0.21159798
73304000,-0.028526045,0.22213352,0.07076122
73308000,0.06800119,0.016985867,-0.13865933
73312000,0.035408348,-0.30503386,-0.09541408
73316000,-0.3482329,-0.29060015,-0.010506053
73320000,-0.32718882,0.16898449,0.08119907
73324000,-0.27170148,0.5750259,0.03714662
73332000,0.30387297,-0.27460375,-0.19337359
73336000,0.33863008,-0.5174277,0.22000307
73340000,0.36409014,0.14253208,0.4251476
73344000,0.08862074,0.4172659,0.08725199
73348000,-0.35454914,0.058160514,-0.15123376
73352000,-0.1045177,-0.19771463,-0.057291772
73356000,0.21279845,-0.11278488,0.07227686
73360000,0.15057251,0.3035747,0.21723211
73364000,0.07193424,0.35723373,0.24020198
73368000,0.026696261,0.053037122,0.4143099
73376000,0.41239843,-0.04618615,0.013342187
73384000,0.33274502,-0.28010172,-0.3087019
73388000,-0.3856982,-0.7272004,-0.04123105
73392000,-0.58257085,-0.7105826,0.29839963
73396000,-0.28807425,-0.25847068,-0.11906263
73404000,-0.3889756,0.5486667,-0.88602966
73412000,0.06626432,0.37213564,0.23369426
73420000,1.0345016,-0.1418772,0.87719893
73424000,0.2705829,-0.42634052,0.30287945
73428000,-0.6369723,-0.27397367,-0.15277827
73432000,-0.7860257,-0.14891377,-0.17185745
73436000,-0.40197855,0.024658434,0.024665013
73440000,0.08263935,0.3949858,-0.22557697
73444000,0.16999802,0.466036,-0.2641857
73448000,-0.25284532,0.05728837,0.028294772
73452000,-0.29511425,-0.40869185,-0.07533792
73456000,0.07952222,-0.3735739,-0.20625632
73464000,-0.10809567,0.054680675,-0.49598467
73468000,0.099761,-0.48350444,-0.5741449
73472000,0.09614256,-0.30812186,-0.08676314
73476000,-0.09794849,0.42254227,0.2961926
73484000,0.11487499,0.49609458,0.25855845
73488000,-0.08816524,0.07665111,0.15370238
73492000,-0.27181545,-0.34506905,-0.22303829
