timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
34132000,0.008008662,0,2.2651038,1.597891,-0.1772418,nan,0.28647888
34636000,0,0,-3.1127293,3.118054,-2.2774785,207.3984,35.958405
35140000,0,-0.22592399,-2.9923754,-3.122722,-11.0474,207.2275,60.467197
35644000,0,-0.081575535,-2.8348746,-3.0678072,-22.434795,207.66162,67.03962
36148000,0,0.057152443,-2.6434813,-3.009975,-34.458256,208.40834,67.858185
36652000,0,0.20430821,-2.413384,-2.9539287,-46.141727,209.25114,66.78558
37132000,0,0.34906584,-2.3907197,-2.9006371,-57.14522,210.11023,64.97723
37636000,0.43633232,0.34906584,-2.7513363,-2.847264,-8.619282,211.01382,63.20315
38140000,0.87266463,0.31174648,-2.562822,-2.7945673,-19.763681,211.54955,61.837437
38644000,0.87266463,0.2069661,-2.347253,-2.742795,-30.596874,211.25748,59.423656
39148000,0.87266463,0.21775669,-2.1438558,-2.6939728,-40.488567,209.86275,59.766743
39652000,0.87266463,0.22562456,-2.1027484,-2.643867,-49.966625,206.72977,59.719448
40132000,0.87266463,0.23371251,-2.1027484,-2.6024938,-56.821075,201.59674,59.835484
40636000,0.87266463,0.24371228,-2.1027484,-2.5643177,-61.686165,193.85814,60.72518
41140000,0.87266463,0.25648248,-2.1027484,-2.5360777,-63.50614,184.37772,61.8178
41644000,0.7932915,0.2722633,-2.1027484,-2.5181572,-62.90736,173.873,62.418236
42148000,0.61230135,0.2902923,-2.1027484,-2.5091596,-60.311333,162.8551,62.485058
42652000,0.31357238,0.30785075,-2.1027484,-2.5159137,-55.190186,151.89447,61.725807
43132000,-0.030829083,0.31948105,-2.1027484,-2.53785,-48.800575,142.1751,59.97284
43636000,-0.24417414,0.32238466,-2.1027484,-2.57805,-40.724922,133.28798,56.81791
44140000,-0.44579163,0.31693667,-2.23411,-2.6232188,-32.858055,125.548615,54.008472
44644000,-0.54979926,0.3077288,-2.3851852,-2.6735492,-25.199974,118.36564,52.28061
45148000,-0.58801347,0.2974324,-2.5291092,-2.7259834,-17.963404,111.26299,51.124767
45652000,-0.5724209,0.2871226,-2.654929,-2.7766314,-11.569847,103.977036,50.064293
46132000,-0.5045474,0.2522465,-2.7521608,-2.8192356,-6.6496105,96.72312,49.053787
46636000,-0.3727523,0.060128257,-2.8243477,-2.8556314,-2.887539,88.954025,45.297657
47140000,-0.2686618,-0.033172134,-2.876724,-2.8820653,-0.49241447,81.377426,43.146755
47644000,-0.1590703,-0.07385376,-2.910883,-2.9011002,0.95726776,73.88752,42.08846
48148000,-0.031472,-0.081732094,-2.9204843,-2.9085822,1.3551369,66.422424,41.900608
48652000,0.10611577,-0.06376168,-2.9071255,-2.9018302,0.8075676,58.9104,42.531445
49132000,0.22719143,-0.036653128,-2.8796957,-2.8809817,-0.37029266,51.677876,43.868202
49636000,0.30190387,0.001345303,-2.8625426,-3.1265652,-13.997969,303.33643,45.8591
50140000,0.27792627,0.20635933,-2.918015,-3.1261106,-13.720639,294.4833,54.453217
50644000,0.16166882,0.28348482,-2.9550412,-3.1278467,-12.752895,284.35672,59.047955
51148000,0.059463855,0.30499998,-2.9855242,-3.132088,-11.134352,273.86746,59.82481
51652000,0.011346429,0.31716916,-3.0124733,-3.136649,-9.502603,263.37857,59.55012
52132000,0.00696697,0.32419467,-3.0328882,-3.140309,-8.222665,253.46693,58.991188
52636000,0.017820233,0.3283468,-3.0538232,3.1389136,-6.9163146,243.16193,58.302326
53140000,0.038931828,0.33036366,-3.0693603,3.1360004,-5.948569,232.95247,57.648224
53644000,0.061967254,0.3313826,-3.0796947,3.134283,-5.3062224,222.83606,57.11593
54148000,0.08561288,0.33191556,-3.0843782,3.133948,-5.0024815,212.79988,56.69277
54652000,0.099639624,0.33232504,-3.0895395,3.1335642,-4.6855345,202.8311,56.3869
55132000,0.115488976,0.33272365,-3.088583,3.13486,-4.720399,193.37596,56.16219
55636000,0.12461642,0.33336988,-3.0878065,3.1362748,-4.7420564,183.49951,55.90521
56140000,0.12997101,0.3341823,-3.0873036,3.1378396,-4.7505093,173.66762,55.676086
56644000,0.13356724,0.33514547,-3.0865743,3.1396043,-4.7721663,163.87222,55.457596
57148000,0.13592874,0.33622104,-3.0858517,-3.1415927,-4.7938247,154.11769,55.246986
57652000,0.13729301,0.33745223,-3.085092,-3.1393352,-4.815483,144.41081,55.016884
58132000,0.13949315,0.33866566,-3.0838256,-3.1367805,-4.863553,135.20227,54.776596
58636000,0.14060035,0.33999196,-3.0830438,-3.1338139,-4.8852115,125.57924,54.542187
59140000,0.14171064,0.34142572,-3.0822396,-3.1303473,-4.9068694,116.00682,54.298355
59644000,0.142771,0.3181513,-3.0811975,-3.1263044,-4.9417334,106.46847,54.063305
60148000,0.15002306,0.13299976,-3.0755208,-3.1214852,-4.976598,97.17344,51.274498
60652000,0.17754842,0.0877661,-3.0704222,-3.115768,-5.0246677,88.350845,49.198227
61132000,0.21135709,0.06858532,-3.0591834,-3.1050599,-5.424549,80.24544,47.875835
61635999,0.23773216,0.062915996,-3.049376,-3.0916765,-5.811224,71.93039,47.229237
62140000,0.25288877,0.06674526,-3.0406485,-3.075171,-6.211106,63.701794,47.161236
62644000,0.26392573,0.07434573,-3.0262647,-3.0474067,-6.9231815,55.4802,47.437267
