timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
32992000,0.59011465,0.59011465,0.60164124,0.048542835,0.04949101
33992000,1.2127106,1.2127106,1.2363997,0.04816273,0.04910354
34992000,18.998917,18.999657,19.371029,19.147703,19.521969
35992000,23.399082,23.390112,23.847826,23.293276,23.749096
36992000,23.057453,23.008886,23.462547,22.894634,23.346043
37992000,22.534544,22.463015,22.912657,22.323982,22.770844
38992000,21.151823,21.070257,21.498285,20.929169,21.35433
39992000,21.031254,20.917625,21.34705,20.763426,21.189684
40992000,21.42944,21.283844,21.724379,21.20993,21.648935
41992000,21.598602,21.44755,21.893984,21.394276,21.8396
42992000,21.191038,21.042856,21.483315,20.915699,21.353497
43992000,20.338987,20.182358,20.610765,19.978666,20.402752
44992000,19.474823,19.317757,19.735315,19.133747,19.547327
45992000,18.689611,18.53831,18.946667,18.348907,18.753094
46992000,15.774309,15.648399,15.998004,15.567512,15.915309
47992000,14.416245,14.293983,14.614915,14.3329,14.654705
48992000,15.093834,14.963498,15.298106,15.211869,15.5520315
49992000,17.87971,17.740578,18.134056,18.06891,18.469673
50992000,20.465555,20.326706,20.777008,20.504095,20.958328
51992000,20.605862,20.461359,20.917974,20.68247,21.14402
52992000,20.512428,20.358799,20.818287,20.509008,20.97189
53992000,20.225801,20.056742,20.515167,20.25172,20.714605
54992000,19.983995,19.809338,20.267923,20.034357,20.498154
55992000,19.81128,19.62075,20.080559,19.82857,20.293247
56992000,19.542185,19.33879,19.79721,19.64454,20.110209
57992000,19.295519,19.077263,19.534752,19.45266,19.919151
58992000,19.149557,18.921139,19.379688,19.2621,19.728912
59992000,18.406115,18.16603,18.611195,18.42617,18.877708
60992000,16.379044,16.146444,16.544512,16.509876,16.916903
61992000,16.091934,15.848303,16.238955,16.129068,16.52664
62992000,16.251074,15.991464,16.38483,16.353594,16.75587
63992000,16.7922,16.505644,16.910646,16.786215,17.198101
64992000,17.606024,17.291431,17.713978,17.384579,17.8094
65992000,17.952023,17.629759,18.058506,17.372353,17.79484
66992000,17.59248,17.277155,17.696472,16.699799,17.105104
67992000,16.559633,16.27628,16.672451,15.6162,15.9963045
68992000,15.326975,15.075496,15.444635,14.338972,14.690077
69992000,14.604698,14.364371,14.717324,13.663777,13.9995165
70992000,14.407454,14.176876,14.52557,13.427645,13.757911
71992000,14.4861965,14.259074,14.610038,13.482594,13.8144455
72992000,14.637971,14.411634,14.766046,13.595174,13.929507
73992000,14.664933,14.445284,14.800337,13.678729,14.01494
74992000,14.668078,14.455,14.81022,13.707696,14.044551
75992000,14.591261,14.389252,14.742885,13.678467,14.01463
76992000,14.6775255,14.486612,14.842714,13.635585,13.970766
77992000,14.591726,14.409279,14.763478,13.598298,13.932562
78992000,14.43904,14.263477,14.61398,13.578949,13.91263
79992000,14.468296,14.304013,14.655633,13.608781,13.943313
80992000,16.21623,16.036552,16.430561,15.280483,15.655915
81992000,15.950285,15.837079,16.226973,15.223917,15.598716
82992000,13.134366,13.118637,13.442502,12.689936,13.003217
83992000,12.211133,12.2145815,12.515579,12.106127,12.404451
84992000,12.934479,12.953647,13.271147,13.15914,13.481676
85992000,14.166142,14.188697,14.533563,14.459327,14.810771
86992000,15.225421,15.253797,15.621558,15.397783,15.769016
87992000,15.764186,15.795633,16.173332,15.907434,16.287807
88992000,16.076706,16.125034,16.507925,16.135233,16.518366
89992000,16.24748,16.306793,16.69123,16.194199,16.575983
90992000,16.105722,16.17886,16.558044,16.238853,16.619444
91992000,16.276209,16.362188,16.743313,16.358654,16.739697
92992000,16.498905,16.601988,16.985817,16.56853,16.951584
93992000,16.653486,16.77609,17.161186,16.80956,17.195427
94992000,16.9223,17.069391,17.458529,17.019001,17.40699
95992000,17.1326,17.289337,17.680437,17.231886,17.621687
96992000,17.193813,17.369963,17.759872,17.266827,17.654438
97992000,17.573471,17.732372,18.128199,17.176964,17.560394
98992000,17.936445,17.861214,18.25743,16.921566,17.296938
99992000,18.069715,17.877066,18.271906,16.73688,17.106537
100992000,17.607471,17.418036,17.80255,16.354584,16.715624
101992000,17.022259,16.844942,17.217136,15.6577015,16.003664
102992000,16.53489,16.363474,16.725552,15.321329,15.660347
103992000,16.452291,16.29019,16.650545,15.212669,15.549189
104992000,16.39657,16.241903,16.600828,15.219079,15.5554
105992000,16.388412,16.235144,16.5938,15.250348,15.58725
106992000,16.467205,16.314587,16.67471,15.267222,15.604225
107992000,16.466133,16.315706,16.675676,15.268021,15.6048765
108992000,16.38499,16.234926,16.593002,15.255776,15.592256
109992000,16.525097,16.378147,16.739216,15.364741,15.70347
110992000,16.431097,16.28438,16.643307,15.3951,15.734426
111992000,16.093073,15.948296,16.299812,15.5255375,15.867735
112992000,16.554058,16.41109,16.772476,16.165373,16.521347
113992000,17.987034,17.8354,18.22579,17.260902,17.638718
114992000,18.463305,18.312103,18.710611,17.326145,17.703197
115992000,18.0706,17.913836,18.303606,17.032364,17.402956
116992000,16.775522,16.630552,16.993906,15.952212,16.300745
117992000,15.534219,15.423714,15.76291,14.985114,15.314664
118992000,14.988916,14.921391,15.250999,14.686252,15.010668
119992000,14.744556,14.69876,15.024233,14.785467,15.112862
120992000,14.697042,14.662551,14.987484,15.106801,15.44158
121992000,14.802613,14.773811,15.101425,15.520891,15.865073
122992000,14.929596,14.906295,15.236901,15.9587755,16.312725
123992000,15.201235,15.18477,15.521219,16.48869,16.85403
124991999,15.87543,15.871461,16.222853,17.167921,17.548018
125991999,16.588253,16.64952,17.017208,17.82175,18.215326
126991999,17.023804,17.15893,17.536547,18.27363,18.675777
127991999,17.728617,17.930037,18.32277,18.427723,18.831356
128991999,18.03456,18.252695,18.651184,18.348814,18.749401
129991999,18.31809,18.530212,18.933474,18.203146,18.599287
130992000,18.366617,18.571573,18.974636,17.83693,18.224049
131992000,17.982664,18.177485,18.571348,17.05103,17.420486
132992000,17.240463,17.403856,17.781654,16.01691,16.364603
133992000,16.344826,16.4809,16.84036,15.03741,15.365388
134992000,15.361948,15.452181,15.791049,14.147015,14.45726
135992000,14.4275055,14.462937,14.781509,13.495633,13.792897
136992000,13.7950535,13.790893,14.095677,13.106844,13.39651
137992000,13.269869,13.262731,13.556498,13.087628,13.377517
138992000,13.338451,13.336995,13.632728,13.387822,13.684683
139992000,13.583864,13.586887,13.888229,13.907947,14.216409
140992000,13.773759,13.777337,14.08283,14.46043,14.781071
141992000,13.998476,14.007441,14.317846,14.945589,15.276783
142992000,14.287247,14.298969,14.615562,15.431066,15.772725
143992000,14.754738,14.762396,15.08916,15.997886,16.351997
144992000,15.41105,15.444914,15.786597,16.631058,16.998983
145992000,17.162258,17.233707,17.614105,18.366947,18.77236
146992000,16.465797,16.54177,16.90728,17.739,18.130962
147992000,16.038235,16.113562,16.469929,17.383005,17.767447
148992000,15.893355,15.970531,16.323692,16.935669,17.310173
149992000,16.106268,16.182384,16.53958,16.478123,16.841845
150992000,16.391708,16.443592,16.805513,15.923938,16.274422
151992000,16.203377,16.180674,16.53597,15.175035,15.508251
152992000,15.861951,15.81349,16.160852,14.531916,14.851127
153992000,15.178262,15.128621,15.461652,13.863999,14.169192
154992000,14.64124,14.59503,14.917289,13.404482,13.700455
155992000,14.445385,14.402808,14.721239,13.215197,13.507371
156992000,14.373473,14.329543,14.646615,13.184009,13.475733
157992000,14.294511,14.250656,14.565898,13.208291,13.500474
158992000,14.361597,14.320578,14.637473,13.250495,13.543712
159992000,14.370685,14.329481,14.646471,13.280203,13.573982
160992000,14.425216,14.384317,14.702656,13.277091,13.570926
161992000,14.301875,14.257005,14.572354,13.269248,13.56275
162992000,14.376944,14.326916,14.644007,13.26426,13.557833
163992000,14.322144,14.262919,14.5785055,13.253389,13.546638
