timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius
20916000,21.321402,21.750284,12.32724
20936000,21.2394,21.666887,12.32608
20964000,21.16957,21.595676,12.324951
20984000,21.101948,21.52709,12.3237915
21008000,21.082853,21.507519,12.322632
21032000,21.026413,21.450304,12.321503
21056000,20.945127,21.367685,12.320374
21080000,20.951437,21.374096,12.319244
21104000,20.914513,21.336597,12.318115
21128000,20.860819,21.282118,12.316986
21152000,20.780453,21.200157,12.315887
21176000,20.80649,21.226877,12.314789
21200000,20.709183,21.127844,12.31369
21224000,20.649508,21.067263,12.312592
21248000,20.673899,21.092201,12.311523
21272000,20.685192,21.104012,12.310455
21296000,20.649189,21.067383,12.309387
21320000,20.524933,20.940687,12.30835
21344000,20.61374,21.031454,12.3072815
21368000,20.578012,20.995333,12.306244
21392000,20.647179,21.065956,12.305237
21416000,20.541418,20.958303,12.304199
21440000,20.518723,20.93535,12.303192
21464000,20.46817,20.883852,12.302155
21488000,20.48076,20.896826,12.301147
21512000,20.481714,20.89809,12.30014
21536000,20.469507,20.885597,12.299164
21560000,20.513582,20.930656,12.298157
21584000,20.441132,20.85696,12.29715
21608000,20.51871,20.936451,12.296173
21632000,20.469978,20.886612,12.295197
21656000,20.464611,20.881102,12.29422
21680000,20.490082,20.907606,12.293243
21704000,20.444714,20.861223,12.292267
21728000,20.328089,20.742477,12.29129
21752000,20.421904,20.838316,12.290314
21780000,20.319948,20.734846,12.289337
21800000,20.213247,20.625933,12.288361
21824000,20.250134,20.663631,12.287384
21848000,20.328068,20.74332,12.286438
21872000,20.234917,20.648542,12.285461
21896000,20.227507,20.640882,12.284485
21920000,20.334223,20.750278,12.283539
21944000,20.247416,20.6614,12.282562
21968000,20.211685,20.625496,12.281616
21992000,20.281553,20.696459,12.28064
22016000,20.193272,20.606665,12.279694
22040000,20.227158,20.641375,12.278717
22064000,20.230406,20.645077,12.277771
22092000,20.26895,20.68449,12.276825
22112000,20.136267,20.549263,12.275848
22136000,20.130041,20.543064,12.274902
22164000,20.163044,20.576815,12.273926
22184000,20.24315,20.658825,12.27298
22208000,20.149286,20.563076,12.272003
22232000,20.172241,20.586641,12.271057
22256000,20.05777,20.469883,12.270111
22280000,20.102274,20.51554,12.2691345
22304000,20.088842,20.502132,12.268188
22328000,20.038616,20.450815,12.267212
22352000,20.088688,20.502316,12.266266
22376000,20.001642,20.413448,12.26532
22400000,20.109098,20.523136,12.264343
22424000,20.006502,20.418768,12.263397
22448000,20.034616,20.447557,12.262421
22472000,20.078405,20.492603,12.261475
22496000,20.060736,20.474537,12.260529
22520000,20.01482,20.427711,12.259552
22544000,19.99797,20.410648,12.258606
22568000,20.1075,20.522877,12.25766
22592000,20.094685,20.509699,12.256714
22616000,20.124931,20.540564,12.255768
22640000,20.138233,20.554426,12.254822
22664000,20.036016,20.450327,12.253876
22688000,20.050308,20.465067,12.25293
22712000,20.07296,20.488283,12.251984
22736000,19.985064,20.398535,12.251038
22760000,20.097979,20.514006,12.250122
22784000,20.000336,20.414454,12.249176
22808000,20.133633,20.550653,12.2482605
22832000,20.127365,20.544464,12.247345
22856000,20.08464,20.501083,12.246429
22880000,20.009636,20.424526,12.245514
22904000,20.017593,20.432869,12.244629
22932000,20.04854,20.464558,12.243713
22952000,20.073328,20.490164,12.242828
22976000,20.017992,20.43379,12.241943
23000000,20.16134,20.580112,12.241058
23024000,20.083136,20.50047,12.240173
23048000,20.071672,20.489037,12.239288
23072000,20.131739,20.550365,12.238434
23096000,20.18512,20.604986,12.237579
23120000,20.119617,20.538176,12.236725
23144000,20.16443,20.584185,12.23587
23168000,20.085348,20.503777,12.235046
23192000,20.12775,20.547178,12.234192
23216000,20.135632,20.555191,12.233368
23244000,20.148111,20.56802,12.232574
23264000,20.113646,20.532995,12.2317505
23288000,20.162437,20.582886,12.230957
23312000,20.121798,20.541582,12.230164
23336000,20.152067,20.57272,12.22937
23360000,20.189875,20.611147,12.228577
23384000,20.155231,20.576056,12.227814
23412000,20.207571,20.629503,12.22702
23432000,20.156818,20.577974,12.226257
23456000,20.166645,20.58795,12.225525
23480000,20.170364,20.591967,12.224762
23504000,20.192007,20.614086,12.22403
23528000,20.127853,20.5488,12.223297
23552000,20.17561,20.597666,12.222565
23580000,20.172998,20.595026,12.221832
23600000,20.122265,20.543264,12.22113
23624000,20.165249,20.58743,12.220398
23648000,20.15357,20.575666,12.219696
23672000,20.141321,20.563158,12.218994
23696000,20.172169,20.594784,12.218323
23720000,20.182484,20.605381,12.217621
23744000,20.093485,20.514498,12.216949
23768000,20.152918,20.575508,12.216278
23792000,20.066303,20.487047,12.215607
23816000,20.10444,20.52624,12.214935
23840000,20.144522,20.567259,12.214264
23864000,20.167639,20.590784,12.213623
23888000,20.205666,20.629814,12.212982
23912000,20.121588,20.543869,12.212311
23936000,20.164911,20.588396,12.21167
23960000,20.179045,20.602911,12.211029
23984000,20.172075,20.595833,12.210388
24008000,20.175306,20.599176,12.209778
24032000,20.086739,20.509008,12.209137
24056000,20.097786,20.520452,12.208496
24080000,20.134186,20.5575,12.207886
24104000,20.116943,20.539885,12.207245
24128000,20.08441,20.506836,12.2066345
24152000,20.078363,20.500883,12.205994
24176000,20.113625,20.536911,12.205383
24200000,20.040247,20.462109,12.204773
24228000,20.084518,20.50756,12.204163
24248000,20.153564,20.578068,12.203522
24272000,20.049438,20.47171,12.202911
24296000,19.977089,20.398233,12.202301
24320000,20.026276,20.448315,12.201691
24344000,20.034405,20.456745,12.20105
24368000,20.033228,20.455828,12.200439
24392000,20.076956,20.50048,12.199799
24416000,20.044542,20.467373,12.199188
24440000,19.983753,20.405489,12.198547
24464000,19.972044,20.39369,12.197937
24488000,20.036486,20.459503,12.197296
24512000,20.043022,20.466099,12.196655
24536000,19.920862,20.341433,12.196014
24560000,20.002306,20.424925,12.195374
24584000,20.029108,20.452312,12.194733
24608000,19.988674,20.411034,12.194092
24632000,19.934643,20.356066,12.193451
24656000,20.038574,20.462246,12.19278
24680000,20.073969,20.498354,12.192139
24704000,20.04959,20.473604,12.191467
