timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
20464000,764000,39.8714138,32.7364368,-6.2071633,63.67968,-8.330608,-5.5605354,20.67982,-7.1949654,-4.097483,-2.3274717,-1.3111279,8.500764
20560000,764000,39.8714138,32.7364368,-6.7827225,65.6712,-9.044241,-5.986773,20.459925,-7.314811,-4.2662544,-2.3332922,-1.0409205,9.214396
20664000,764000,39.8714138,32.7364368,-7.4548383,67.806435,-9.827896,-6.464308,20.222809,-7.412271,-4.492289,-2.4322386,-0.6672507,9.998052
20760000,764000,39.8714138,32.7364368,-8.117102,69.74699,-10.555916,-6.872232,19.781944,-7.4025984,-3.9849763,-6.2897434,0.84132695,10.726071
20864000,764000,39.8714138,32.7364368,-8.881759,71.78981,-11.337587,-7.3514395,19.137634,-7.3360124,-4.850883,-6.195891,0.65591276,11.507743
20960000,764000,39.8714138,32.7364368,-9.634421,73.61574,-12.052216,-7.8638277,18.58362,-7.2669816,-5.4248457,-5.510424,0.9006652,12.222371
21064000,764000,39.8714138,32.7364368,-10.506197,75.5385,-12.817979,-8.452584,18.072594,-7.1344204,-5.5450306,-4.5763354,1.608203,12.988134
21160000,764000,39.8714138,32.7364368,-11.363997,77.26936,-13.51168,-9.0064745,17.681879,-6.964564,-5.664947,-3.8988588,1.8684611,13.681835
21264000,764000,39.8714138,32.7364368,-12.354811,79.10699,-14.243183,-9.617264,17.313988,-6.7479377,-5.8362765,-3.5634277,2.1754792,14.413339
21360000,764000,39.8714138,32.7364368,-13.326702,80.769005,-14.8979025,-10.217088,16.96332,-6.5564466,-6.3271165,-3.883658,1.9148167,15.068058
21464000,764000,39.8714138,32.7364368,-14.4457855,82.52709,-15.588897,-10.919882,16.517088,-6.3912153,-6.8745327,-4.7788234,1.4493549,15.759052
21560000,764000,39.8714138,32.7364368,-15.545511,84.10358,-16.213493,-11.623361,16.014206,-6.2804976,-7.4264503,-5.735123,0.9943796,16.38365
21664000,764000,39.8714138,32.7364368,-16.814556,85.750084,-16.88048,-12.432914,15.35895,-6.199114,-7.891947,-6.9823604,0.6579449,17.050636
21760000,764000,39.8714138,32.7364368,-18.061676,87.20341,-17.489183,-13.2073555,14.646381,-6.152207,-8.0836,-7.9912834,0.44021288,17.65934
21864000,764000,39.8714138,32.7364368,-19.494614,88.69396,-18.14244,-14.052797,13.76032,-6.120761,-8.07639,-9.1427555,0.27939954,18.312597
21960000,764000,39.8714138,32.7364368,-20.894295,89.98391,-18.741531,-14.828699,12.844972,-6.103437,-7.9121118,-10.1205435,0.13407505,18.911688
22064000,764000,39.8714138,32.7364368,-22.494865,91.27548,-19.389902,-15.651726,11.736791,-6.0949183,-7.6430326,-11.281232,0.10171718,19.560059
22160000,764000,39.8714138,32.7364368,-24.049908,92.360756,-19.987762,-16.385006,10.608521,-6.094926,-7.3140845,-12.275136,-8.66E-05,20.157919
22264000,764000,39.8714138,32.7364368,-25.809416,93.40734,-20.633959,-17.122871,9.277561,-6.0981903,-6.678766,-13.376972,0.026392749,20.804115
22360000,764000,39.8714138,32.7364368,-27.500145,94.24723,-21.2312,-17.74247,7.95872,-6.100947,-5.955565,-14.23802,0.051699575,21.401356
22464000,764000,39.8714138,32.7364368,-29.392187,95.00867,-21.877375,-18.320919,6.4645867,-6.0914645,-4.9489274,-14.592101,0.17485115,22.047531
22560000,764000,39.8714138,32.7364368,-31.188711,95.57275,-22.472006,-18.761992,5.0603437,-6.0596685,-4.034718,-14.738829,0.54400223,22.642162
22664000,764000,39.8714138,32.7364368,-33.173283,96.029945,-23.111471,-19.130575,3.5421855,-5.990913,-2.9408188,-14.497702,0.896926,23.281628
22760000,764000,39.8714138,32.7364368,-35.033035,96.31534,-23.694286,-19.371782,2.1706924,-5.898657,-2.0022075,-14.096406,1.166772,23.864443
22864000,764000,39.8714138,32.7364368,-37.06854,96.47482,-24.31298,-19.535305,0.7257599,-5.7692795,-0.99575865,-13.691297,1.4630835,24.483137
22960000,764000,39.8714138,32.7364368,-38.96349,96.48993,-24.86905,-19.604036,-0.55464375,-5.6239457,-0.13952236,-13.077204,1.6520264,25.039206
23064000,764000,39.8714138,32.7364368,-41.016094,96.3688,-25.453125,-19.594587,-1.8792174,-5.442625,0.51258826,-12.4616375,1.8523073,25.623281
23160000,764000,39.8714138,32.7364368,-42.90925,96.13881,-25.975014,-19.518974,-3.045131,-5.2595735,1.2443763,-11.951773,1.9593946,26.14517
23264000,764000,39.8714138,32.7364368,-44.944813,95.76452,-26.52093,-19.369305,-4.2510443,-5.0505943,1.7329314,-11.318364,2.045911,26.691086
23360000,764000,39.8714138,32.7364368,-46.80908,95.31163,-27.007128,-19.173141,-5.312814,-4.852663,2.3937383,-10.884249,2.0485654,27.177284
23464000,764000,39.8714138,32.7364368,-48.799824,94.70641,-27.513351,-18.893568,-6.4245043,-4.641093,3.0234916,-10.53476,2.0875404,27.683508
23560000,764000,39.8714138,32.7364368,-50.61021,94.05204,-27.963217,-18.579828,-7.413553,-4.45277,3.7250881,-10.286228,1.9875838,28.133373
23664000,764000,39.8714138,32.7364368,-52.53095,93.2341,-28.430082,-18.17103,-8.462504,-4.2603607,4.280402,-10.037179,1.7691478,28.600239
23760000,764000,39.8714138,32.7364368,-54.26882,92.382225,-28.844326,-17.733482,-9.408668,-4.097379,5.0335383,-9.7861185,1.7139156,29.014482
23864000,764000,39.8714138,32.7364368,-56.095497,91.355354,-29.276148,-17.183784,-10.425896,-3.9438078,5.7423005,-9.773369,1.4486815,29.446304
23960000,764000,39.8714138,32.7364368,-57.731396,90.318535,-29.663986,-16.600119,-11.350989,-3.8234165,6.528739,-9.666009,1.215984,29.834143
24064000,764000,39.8714138,32.7364368,-59.43096,89.093025,-30.071922,-15.87444,-12.344367,-3.7181373,7.4880304,-9.603736,0.90800315,30.242079
24160000,764000,39.8714138,32.7364368,-60.935204,87.87383,-30.441946,-15.122381,-13.2505455,-3.6522224,8.405232,-9.491407,0.5878601,30.612103
24264000,764000,39.8714138,32.7364368,-62.472317,86.4526,-30.836006,-14.191797,-14.222624,-3.6088254,9.644007,-9.289072,0.3039818,31.006163
