timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6308000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
12256000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
32404000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
42428000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
58388000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
73340000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
129956000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
130012000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
130019999,2,6,7,11,0,0,1,0,0,0,0,0,0,0
130068000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
130128000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
189484000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
252872000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
253343999,3,-1,0,11,0,0,0,1,0,0,0,0,0,0
