timestamp,indicated_airspeed_m_s,true_airspeed_m_s
12004000,0.9110749,0.92887896
12028000,-0.8621534,-0.8789988
12052000,0.3389848,0.3456112
12076000,0.41015273,0.4181688
12100000,1.515441,1.5450534
12124000,-0.83171946,-0.84797466
12148000,1.0596069,1.0803126
12176000,0.6263164,0.6385531
12196000,1.2917627,1.3170005
12220000,1.4057381,1.433201
12244000,-0.83796304,-0.85432863
12268000,1.0765928,1.0976279
12292000,0.26007792,0.2651593
12316000,1.6774701,1.7102294
12340000,-1.6704094,-1.7030308
12364000,1.5136758,1.543249
12388000,2.5682507,2.6184309
12412000,3.432836,3.4999082
12436000,4.7285857,4.820976
12460000,6.022477,6.1401954
12484000,7.036301,7.1737456
12508000,7.954697,8.11013
12531999,8.829454,9.0019865
12556000,9.591415,9.778838
12580000,10.441261,10.645199
12608000,11.3289995,11.550403
12627999,11.872773,12.104729
12652000,12.661579,12.909095
12679999,13.364395,13.6255455
12704000,14.097899,14.373404
12723999,14.527089,14.810841
12748000,15.093448,15.388278
12772000,15.639834,15.945503
12796000,16.165682,16.481504
12819999,16.61302,16.937584
12844000,17.036999,17.36989
12868000,17.494946,17.836647
12892000,17.808954,18.156788
12915999,18.131731,18.485899
12940000,18.566435,18.929342
12964000,18.766558,19.133347
12992000,19.148006,19.522041
13016000,19.384787,19.763601
13036000,19.621471,20.004837
13060000,19.964235,20.354404
13083999,20.203638,20.59835
13108000,20.433556,20.832834
13132000,20.720018,21.125048
13159999,20.942162,21.351248
13179999,21.048233,21.459522
13204000,21.255959,21.671276
13228000,21.394043,21.812086
13252000,21.537966,21.95874
13275999,21.623983,22.046698
13300000,21.772081,22.197691
13324000,21.761951,22.187195
13348000,22.012054,22.44215
13372000,22.148031,22.580929
13396000,22.157778,22.5909
13420000,22.387878,22.825392
13444000,22.488651,22.928024
13468000,22.551846,22.99249
13492000,22.651758,23.094221
13516000,22.745028,23.189425
13540000,22.833984,23.280016
13564000,22.870216,23.317133
13592000,22.971365,23.420197
13612000,22.989164,23.438248
13636000,23.03574,23.485918
13660000,23.121998,23.57374
13688000,23.07347,23.52434
13708000,23.241568,23.695751
13732000,23.15328,23.605898
13756000,23.16613,23.61916
13780000,23.229166,23.683054
13804000,23.339867,23.79626
13832000,23.260513,23.7153
13852000,23.29665,23.752241
13876000,23.348015,23.804615
13900000,23.345896,23.802345
13924000,23.44638,23.904785
13948000,23.415165,23.873215
13972000,23.428972,23.887228
13996000,23.409746,23.86768
14020000,23.480629,23.94013
14044000,23.44535,23.904413
14068000,23.442547,23.90121
14096000,23.5054,23.965487
14120000,23.505892,23.96609
14140000,23.501629,23.961538
14164000,23.481405,23.941065
14188000,23.408844,23.867281
14216000,23.413414,23.872095
14236000,23.400036,23.857975
14260000,23.414469,23.87309
14284000,23.418455,23.877306
14308000,23.456387,23.916119
14332000,23.469152,23.929012
14356000,23.384571,23.842937
14380000,23.404955,23.863804
14404000,23.44152,23.90102
14432000,23.413221,23.872456
14452000,23.358677,23.816748
14476000,23.398018,23.857021
14500000,23.29398,23.751017
14524000,23.323057,23.780746
14548000,23.327965,23.785955
14572000,23.375544,23.83459
14596000,23.317623,23.775621
14620000,23.335638,23.794125
14644000,23.28119,23.738554
14668000,23.29821,23.756208
14692000,23.265652,23.723063
14716000,23.237423,23.694407
14740000,23.247725,23.70499
14764000,23.273832,23.731737
14788000,23.273916,23.731407
14812000,23.15644,23.612223
14836000,23.220373,23.67739
14860000,23.126095,23.581648
14888000,23.140509,23.596292
14908000,23.219864,23.677252
14936000,23.14158,23.597502
14956000,23.107454,23.562962
14980000,23.128222,23.58429
15004000,23.012026,23.465874
15028000,23.05263,23.507317
15052000,23.068373,23.523783
15076000,22.991732,23.445421
15100000,23.013243,23.46754
15124000,23.048716,23.503902
15148000,22.970802,23.42473
15172000,23.000128,23.454624
15196000,22.936169,23.389565
15220000,22.897226,23.350178
15244000,22.924236,23.377693
15268000,22.926601,23.38055
15292000,22.863594,23.316067
15316000,22.790894,23.242481
15340000,22.872536,23.325792
15364000,22.84328,23.29611
15388000,22.802397,23.25474
15412000,22.804327,23.256708
15436000,22.871302,23.324863
15460000,22.73861,23.190079
15484000,22.791523,23.244226
15508000,22.773512,23.225807
15532000,22.7835,23.236227
15556000,22.756166,23.208452
15580000,22.794727,23.247986
15608000,22.753569,23.206226
15632000,22.713482,23.165257
15652000,22.724817,23.177137
15676000,22.734304,23.187107
15704000,22.656933,23.108267
15724000,22.728642,23.181784
15748000,22.69247,23.144901
15776000,22.69174,23.144484
15796000,22.705688,23.158735
15824000,22.693727,23.14666
15844000,22.70759,23.16105
15868000,22.672575,23.125523
15892000,22.574081,23.02522
15916000,22.60061,23.052465
15940000,22.683191,23.136814
15964000,22.631018,23.083872
15988000,22.671429,23.125118
16012000,22.621471,23.074423
16036000,22.637236,23.09072
16060000,22.603807,23.056936
16084000,22.466011,22.916533
16108000,22.383837,22.832916
16132000,22.306334,22.75408
16156000,22.302404,22.75011
16180000,22.193342,22.638994
16204000,22.000795,22.442886
16228000,21.99581,22.438158
16256000,21.888008,22.328262
16276000,21.849016,22.288483
16300000,21.748037,22.185684
16328000,21.672377,22.10879
16348000,21.640726,22.076563
16372000,21.60405,22.039461
16396000,21.56259,21.996983
16420000,21.497486,21.930761
16444000,21.534773,21.969244
16468000,21.491463,21.925196
16492000,21.428787,21.861578
16516000,21.421099,21.853617
16540000,21.400549,21.832838
16568000,21.330841,21.762188
16588000,21.298803,21.729435
16612000,21.327229,21.758558
16636000,21.273481,21.704117
16660000,21.374508,21.806952
16688000,21.264376,21.694859
16708000,21.278435,21.709442
16732000,21.304995,21.736654
16756000,21.24758,21.67838
16780000,21.313473,21.74562
16804000,21.206928,21.63702
16828000,21.221949,21.652424
16852000,21.247572,21.678919
16876000,21.20605,21.636553
16900000,21.272673,21.704576
16924000,21.183365,21.613527
16948000,21.22066,21.652071
16972000,21.33227,21.765858
16996000,21.204695,21.636168
17020000,21.21598,21.647627
17044000,21.255241,21.687952
17068000,21.178823,21.610107
17092000,21.239553,21.672127
17116000,21.144749,21.57561
17140000,21.204998,21.637106
17164000,21.206882,21.639168
17192000,21.229153,21.662134
17212000,21.188507,21.620794
17236000,21.218882,21.651758
17260000,21.235487,21.66891
17288000,21.267063,21.701303
17308000,21.191664,21.624313
17332000,21.238504,21.672455
17356000,21.186876,21.619938
17380000,21.263124,21.69782
17404000,21.136059,21.567875
17428000,21.174183,21.607258
17452000,21.177612,21.610905
17476000,21.18764,21.621323
17504000,21.125814,21.558092
17524000,21.092579,21.524551
17548000,21.187738,21.621616
17572000,21.122597,21.555218
17596000,21.11067,21.543251
17620000,21.109562,21.542166
17644000,21.148167,21.581753
17668000,21.158241,21.592447
17692000,21.116892,21.550154
17716000,21.076982,21.509592
17740000,21.06393,21.49602
17768000,21.029778,21.461561
17788000,21.094227,21.527588
17812000,21.093235,21.526731
17836000,21.082586,21.515867
17860000,21.109272,21.543259
17884000,20.992285,21.424082
17908000,21.004814,21.436699
17932000,20.979475,21.411205
17956000,20.982126,21.413616
17980000,21.019894,21.452469
18004000,20.939804,21.370996
18032000,21.007685,21.440199
18052000,20.954275,21.386217
18076000,20.881817,21.312178
18104000,20.976355,21.408741
18124000,21.001217,21.434212
18148000,20.899437,21.330503
18172000,20.92831,21.360142
18196000,20.920218,21.351894
18220000,20.870916,21.301517
18244000,20.907774,21.339317
18268000,20.838528,21.268667
18292000,20.836067,21.266335
18316000,20.815351,21.245434
18340000,20.837763,21.268187
18364000,20.88161,21.313282
18388000,20.798399,21.228455
18412000,20.790442,21.220438
18436000,20.736835,21.165749
18460000,20.770176,21.20003
18484000,20.751366,21.18076
18508000,20.817924,21.248781
18532000,20.746588,21.17608
18556000,20.707333,21.136295
18580000,20.701859,21.13071
18604000,20.687084,21.11571
18628000,20.650719,21.078629
18652000,20.722076,21.151712
18676000,20.741926,21.17204
18704000,20.602757,21.030127
18724000,20.707872,21.137451
18748000,20.66792,21.096842
18772000,20.637989,21.06652
18796000,20.620455,21.048546
18820000,20.64347,21.07195
18848000,20.63198,21.060455
18868000,20.642675,21.071394
18892000,20.557234,20.984509
18916000,20.534082,20.960917
18940000,20.56112,20.98854
18964000,20.534878,20.961996
18988000,20.551037,20.978653
19012000,20.615065,21.043888
19036000,20.585453,21.013939
19064000,20.567776,20.995901
19084000,20.56007,20.988075
19108000,20.527872,20.955566
19132000,20.472876,20.899443
19156000,20.470701,20.89723
19184000,20.521236,20.948795
19208000,20.47904,20.906002
19232000,20.527584,20.955597
19252000,20.519428,20.94733
19276000,20.551195,20.979904
19300000,20.492414,20.92011
19324000,20.45438,20.881338
19348000,20.564476,20.993828
19372000,20.430426,20.856993
19400000,20.428322,20.85503
19420000,20.49489,20.923004
19448000,20.467009,20.894695
19468000,20.529074,20.958313
19492000,20.501394,20.93011
19516000,20.49018,20.918703
19540000,20.44961,20.87731
19564000,20.497185,20.925865
19588000,20.415062,20.842348
19612000,20.454908,20.883139
19636000,20.506483,20.935762
19664000,20.436268,20.864302
19684000,20.486921,20.916046
19708000,20.439642,20.867857
19736000,20.467041,20.895954
19756000,20.458715,20.887579
19780000,20.46979,20.899075
19804000,20.513248,20.94348
19828000,20.459919,20.88914
19852000,20.490892,20.920872
19876000,20.46679,20.896109
19900000,20.52537,20.956213
19924000,20.464935,20.894747
19948000,20.499565,20.930054
19976000,20.522463,20.953379
19996000,20.493063,20.923574
20020000,20.54873,20.980482
20048000,20.589775,21.022665
20068000,20.467264,20.897472
20092000,20.517868,20.9495
20116000,20.54661,20.978775
20140000,20.527634,20.959635
20164000,20.54634,20.978802
20188000,20.569534,21.002499
20212000,20.591747,21.025234
20236000,20.543488,20.976036
20260000,20.592916,21.026646
20284000,20.598392,21.032549
20308000,20.639952,21.074764
20332000,20.552385,20.985527
20356000,20.555592,20.989065
20380000,20.614767,21.049513
20404000,20.585293,21.019585
20428000,20.594463,21.028809
20452000,20.579775,21.014036
20476000,20.638424,21.074219
20500000,20.587975,21.022612
20524000,20.622406,21.057724
20548000,20.655949,21.092314
20572000,20.650726,21.087051
20596000,20.548412,20.982548
20620000,20.65929,21.095827
20644000,20.663298,21.100224
20668000,20.64354,21.079956
20692000,20.688982,21.126549
20716000,20.574053,21.009365
20740000,20.597727,21.033476
20764000,20.56457,20.999687
20788000,20.601131,21.037363
20812000,20.651089,21.088305
20836000,20.69516,21.1335
20860000,20.64237,21.079918
20884000,20.598602,21.035324
20908000,20.58917,21.025583
20932000,20.568506,21.004642
20956000,20.580677,21.017008
20980000,20.56591,21.00224
21004000,20.607233,21.04426
21028000,20.604721,21.04197
21052000,20.571774,21.008543
21076000,20.622967,21.060709
21100000,20.625456,21.063347
21124000,20.606306,21.044
21148000,20.555874,20.992443
21172000,20.609325,21.04711
21196000,20.5345,20.970852
21220000,20.494493,20.93023
21244000,20.53622,20.972816
21268000,20.562439,20.99981
21292000,20.538902,20.975796
21320000,20.423807,20.858252
21340000,20.523417,20.96007
21368000,20.494358,20.930655
21388000,20.57182,21.009758
21412000,20.471624,20.907623
21436000,20.453947,20.889694
21460000,20.407957,20.842743
21484000,20.424913,20.860117
21508000,20.42955,20.865086
21532000,20.420633,20.855879
21556000,20.467974,20.90426
21580000,20.398544,20.833513
21604000,20.47935,20.916313
21628000,20.433435,20.8693
21652000,20.430975,20.866638
21676000,20.459476,20.896206
21700000,20.417046,20.852724
21724000,20.30309,20.736532
21748000,20.399763,20.835323
21772000,20.302706,20.736534
21796000,20.195866,20.627483
21820000,20.23498,20.667446
21844000,20.315145,20.749426
21868000,20.224052,20.656612
21896000,20.216698,20.648941
21916000,20.327461,20.76253
21940000,20.242367,20.675266
21964000,20.20807,20.640741
21988000,20.278843,20.712643
22012000,20.191227,20.623394
22036000,20.225414,20.658386
22060000,20.228283,20.661655
22084000,20.26793,20.702185
22108000,20.131947,20.563416
22132000,20.124023,20.555426
22156000,20.156706,20.588835
22180000,20.232477,20.666435
22204000,20.135628,20.567507
22228000,20.154984,20.587362
22252000,20.036465,20.466324
22276000,20.076622,20.507534
22300000,20.058016,20.488783
22324000,20.001934,20.4314
22348000,20.045544,20.476295
22372000,19.951054,20.379704
22396000,20.050842,20.481625
22420000,19.939112,20.367786
22448000,19.955564,20.384651
22468000,19.991537,20.421608
22492000,19.962826,20.392298
22516000,19.90498,20.33321
22544000,19.873465,20.301113
22564000,19.97296,20.403152
22588000,19.946499,20.375986
22612000,19.962866,20.39267
22636000,19.961792,20.391815
22660000,19.84351,20.271181
22684000,19.842358,20.270123
22712000,19.847,20.274939
22736000,19.741598,20.167192
22756000,19.841454,20.26939
22780000,19.725372,20.1509
22804000,19.842905,20.271074
22828000,19.818787,20.246624
22852000,19.757263,20.183975
22876000,19.662806,20.087456
22904000,19.650366,20.07495
22924000,19.665089,20.090082
22948000,19.672691,20.098127
22972000,19.597609,20.021517
23000000,19.723286,20.149899
23020000,19.62697,20.051678
23044000,19.596493,20.020788
23068000,19.63938,20.064613
23092000,19.675478,20.10162
23116000,19.58953,20.013859
23144000,19.61445,20.039576
23164000,19.516504,19.939825
23188000,19.5413,19.965057
23212000,19.530674,19.954388
23236000,19.524235,19.947905
23260000,19.470966,19.89365
23284000,19.50311,19.92658
23308000,19.44289,19.86525
23332000,19.456247,19.879139
23356000,19.477657,19.900871
23380000,19.424051,19.846376
23408000,19.458054,19.881159
23428000,19.39093,19.812874
23452000,19.384066,19.80583
23476000,19.371037,19.792757
23500000,19.376844,19.79875
23524000,19.293203,19.713516
23552000,19.323938,19.745056
23572000,19.307573,19.728401
23596000,19.238504,19.65789
23620000,19.267616,19.687948
23644000,19.239769,19.659678
23668000,19.211493,19.630827
23692000,19.228655,19.648533
23716000,19.224604,19.644508
23740000,19.116472,19.534037
23764000,19.164639,19.58362
23788000,19.05943,19.476133
23812000,19.085556,19.50312
23836000,19.114067,19.532398
23860000,19.124985,19.543526
23884000,19.151722,19.571102
23908000,19.049889,19.467
23932000,19.08288,19.501043
23956000,19.085304,19.503662
23980000,19.06551,19.483528
24004000,19.056774,19.474697
24028000,18.951033,19.366947
24052000,18.950676,19.366798
24076000,18.972908,19.389465
24100000,18.929808,19.345474
24124000,18.861204,19.275587
24148000,18.812143,19.225712
24172000,18.799889,19.21327
24200000,18.653687,19.064034
24224000,18.639679,19.050007
24244000,18.65898,19.069805
24268000,18.476545,18.883375
24292000,18.324947,18.728867
24316000,18.303173,18.706545
24344000,18.220886,18.622625
24364000,18.155285,18.555891
24388000,18.12446,18.524437
24412000,18.008486,18.405941
24436000,17.860205,18.254612
24460000,17.766254,18.158777
24484000,17.75848,18.15089
24508000,17.686148,18.076935
24532000,17.467794,17.853868
24556000,17.482214,17.868942
24580000,17.435661,17.821411
24604000,17.312754,17.695827
24632000,17.161592,17.541534
24652000,17.220537,17.601864
24676000,17.187294,17.56788
24700000,17.083935,17.462383
24724000,16.92149,17.296488
24748000,16.80764,17.18021
24772000,16.756945,17.128498
24796000,16.592232,16.960365
24820000,16.649254,17.018673
24844000,16.613827,16.982462
24868000,16.490763,16.857033
24892000,16.404545,16.768713
24916000,16.39387,16.758099
24940000,16.331982,16.694857
24964000,16.256796,16.61798
24988000,16.254135,16.615385
25012000,16.076088,16.433502
25040000,16.073097,16.430702
25060000,15.863484,16.216331
25084000,15.887021,16.240376
25112000,15.871401,16.224499
25132000,15.894033,16.2478
25156000,15.747979,16.098516
25180000,15.675327,16.02428
25204000,15.616118,15.963702
25228000,15.656422,16.00503
25252000,15.544268,15.890527
25276000,15.617448,15.965371
25300000,15.562362,15.908963
25324000,15.4079075,15.751036
25348000,15.393343,15.7364
25372000,15.370376,15.712806
25396000,15.274128,15.614719
25420000,15.244814,15.58463
25444000,15.28519,15.626013
25468000,15.239455,15.579208
