timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
118984000,15.989317,16.07935,16.430319,14.8692,15.193755
119984000,14.943229,15.014906,15.344394,13.942428,14.248382
120984000,14.16844,14.213658,14.526876,13.222083,13.513451
121984000,13.537884,13.562493,13.86219,12.82726,13.11071
122984000,12.996256,13.00122,13.289162,12.631945,12.911709
123984000,12.616904,12.652737,12.9332905,12.717743,12.999739
124983999,12.80541,12.858492,13.143815,13.152986,13.444843
125983999,13.206174,13.272221,13.566465,13.745798,14.050543
126983999,13.439641,13.51116,13.810495,14.273888,14.59012
127983999,13.823516,13.899158,14.206824,14.700554,15.025959
128983999,13.951823,14.024123,14.334746,15.086982,15.421146
129983999,14.28575,14.36144,14.67937,15.585317,15.930341
130984000,16.728848,16.827,17.199598,17.892612,18.288809
131984000,16.193657,16.319962,16.68151,17.079243,17.457615
132984000,16.740692,16.86502,17.237534,16.9412,17.315397
133984000,17.495903,17.626057,18.013641,17.07967,17.455242
134984000,17.722,17.84892,18.239355,16.86826,17.237242
135984000,16.854408,16.966646,17.33772,15.845816,16.192377
136984000,15.573875,15.67692,16.021072,14.593725,14.9141
137984000,14.724047,14.826639,15.153357,13.84516,14.1502495
138984000,14.692769,14.795511,15.122166,13.7704935,14.074516
139984000,15.001543,15.10565,15.439002,14.064224,14.374594
140984000,15.181266,15.285482,15.622631,14.313361,14.629068
141984000,15.300682,15.407606,15.74733,14.3387,14.654857
142984000,15.148501,15.254629,15.590898,14.191679,14.504516
143984000,14.983197,15.0896845,15.422682,14.018181,14.327533
144984000,14.824151,14.932197,15.2620735,13.889195,14.19603
145984000,14.813245,14.922999,15.252918,13.814526,14.11994
146984000,14.715829,14.824955,15.1529045,13.773246,14.07793
147984000,14.704592,14.820626,15.148552,13.74284,14.046918
148984000,14.515133,14.629093,14.952886,13.670857,13.973441
149984000,14.465826,14.583888,14.906828,13.61394,13.915401
150984000,14.489069,14.614857,14.93855,13.553152,13.853332
151984000,14.40589,14.535287,14.857192,13.484533,13.783168
152984000,13.911704,14.042302,14.3535385,12.904477,13.190495
153984000,14.903491,15.056616,15.389291,14.02135,14.331151
154984000,15.943321,16.108082,16.46385,15.022658,15.354453
155984000,15.348516,15.504581,15.848101,14.515025,14.83662
156984000,14.782644,14.93476,15.267159,14.127022,14.441443
157984000,14.547236,14.691269,15.018975,14.255521,14.573508
158984000,14.542349,14.680084,15.008332,14.734647,15.064116
