timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
14668000,402.0808,12.388702,96587.805,1.147623
14692000,402.18878,12.388092,96586.56,1.1476082
14716000,402.26862,12.387482,96585.67,1.1475976
14740000,402.3719,12.386841,96584.47,1.1475832
14764000,402.09958,12.38623,96587.61,1.1476206
14788000,402.54092,12.385559,96582.49,1.1475598
14812000,402.54562,12.384918,96582.46,1.1475594
14836000,402.8414,12.384216,96579.016,1.1475185
14860000,402.8273,12.383545,96579.2,1.1475207
14888000,402.87427,12.382843,96578.64,1.147514
14908000,402.94937,12.382141,96577.79,1.1475039
14936000,403.15598,12.381409,96575.4,1.1474755
14956000,403.28275,12.380676,96573.914,1.1474578
14980000,403.35785,12.379913,96573.055,1.1474476
15004000,403.4095,12.37915,96572.48,1.1474408
15028000,403.72406,12.378387,96568.836,1.1473975
15052000,403.5973,12.3776245,96570.27,1.1474146
15076000,403.75223,12.376801,96568.484,1.1473933
15100000,403.91187,12.376007,96566.664,1.1473718
15124000,404.13254,12.375183,96564.08,1.147341
15148000,404.1513,12.374359,96563.87,1.1473385
15172000,404.29684,12.373505,96562.234,1.1473191
15196000,404.55038,12.37265,96559.25,1.1472837
15220000,404.55508,12.371796,96559.22,1.1472832
15244000,404.9025,12.370911,96555.22,1.1472358
15268000,404.76166,12.369995,96556.82,1.1472547
15292000,405.1889,12.36911,96551.9,1.1471963
15316000,405.25464,12.368195,96551.16,1.1471875
15340000,405.39078,12.367279,96549.586,1.1471688
15364000,405.65372,12.366333,96546.57,1.147133
15388000,405.6819,12.365387,96546.24,1.147129
15412000,405.60208,12.364441,96547.13,1.1471397
15436000,406.01993,12.363495,96542.336,1.1470827
15460000,406.17957,12.362518,96540.49,1.1470608
15484000,406.17017,12.361542,96540.57,1.1470617
15508000,406.36734,12.360565,96538.3,1.1470346
15532000,406.46594,12.359558,96537.125,1.1470207
15556000,406.64905,12.358582,96535.07,1.1469964
15580000,406.83215,12.357574,96532.92,1.1469707
15608000,406.7993,12.356567,96533.29,1.1469752
15632000,407.06223,12.35556,96530.26,1.1469392
15652000,407.30167,12.354553,96527.484,1.1469061
15676000,407.38617,12.353516,96526.54,1.1468949
15704000,407.68665,12.352509,96523.03,1.1468533
15724000,407.7289,12.351471,96522.586,1.146848
15748000,407.99652,12.350464,96519.5,1.1468114
15776000,408.0388,12.349426,96518.96,1.1468049
15796000,408.16086,12.348389,96517.56,1.1467884
15824000,408.37683,12.347351,96515.11,1.1467592
15844000,408.54114,12.346313,96513.23,1.1467367
15868000,408.68668,12.345276,96511.54,1.1467167
15892000,408.851,12.344238,96509.6,1.1466937
15916000,408.96368,12.34317,96508.29,1.1466781
15940000,409.19376,12.342133,96505.64,1.1466466
15964000,409.2454,12.341064,96505.05,1.1466396
15988000,409.46606,12.340027,96502.51,1.1466094
16012000,409.65387,12.338959,96500.336,1.1465837
16036000,409.91678,12.337891,96497.33,1.1465479
16060000,410.05765,12.3368225,96495.68,1.1465282
16084000,410.24075,12.335754,96493.57,1.1465032
16108000,410.43323,12.334686,96491.336,1.1464767
16132000,410.49426,12.333618,96490.63,1.1464683
16156000,410.62573,12.33255,96489.125,1.1464504
16180000,410.88394,12.331482,96486.15,1.1464151
16204000,411.17975,12.330414,96482.71,1.1463742
16228000,411.26895,12.329346,96481.7,1.1463622
16256000,411.29712,12.328278,96481.37,1.1463583
16276000,411.48962,12.327179,96479.164,1.146332
16300000,411.73843,12.326111,96476.29,1.1462979
16328000,411.81827,12.325043,96475.375,1.1462871
16348000,412.08118,12.323975,96472.305,1.1462506
16372000,411.9779,12.3229065,96473.53,1.1462651
16396000,412.1563,12.321838,96471.45,1.1462405
16420000,412.52252,12.32077,96467.2,1.1461899
16444000,412.65866,12.319733,96465.664,1.1461717
16468000,412.93567,12.318695,96462.47,1.1461337
16492000,412.87463,12.317657,96463.17,1.146142
16516000,413.04837,12.31662,96461.17,1.1461183
16540000,413.43335,12.315613,96456.7,1.1460652
16568000,413.40988,12.314606,96456.96,1.1460682
16588000,413.53195,12.313629,96455.56,1.1460516
16612000,413.8653,12.312653,96451.72,1.146006
16636000,413.71036,12.311676,96453.5,1.1460271
16660000,413.9498,12.310699,96450.79,1.1459949
16688000,414.15637,12.309753,96448.36,1.145966
16708000,414.27374,12.308807,96447.02,1.1459502
16732000,414.53668,12.307892,96444.01,1.1459143
16756000,414.56955,12.306946,96443.59,1.1459094
16780000,414.68222,12.30603,96442.336,1.1458945
16804000,414.76672,12.305115,96441.336,1.1458826
16828000,415.06253,12.30423,96437.91,1.1458418
16852000,415.086,12.303314,96437.625,1.1458385
16876000,415.15173,12.302429,96436.88,1.1458297
16900000,415.23154,12.301514,96435.945,1.1458186
16924000,415.64,12.300629,96431.26,1.1457629
16948000,415.59305,12.299774,96431.79,1.1457691
16972000,415.98743,12.298889,96427.22,1.1457149
16996000,415.96866,12.298004,96427.44,1.1457175
17020000,416.1987,12.29715,96424.78,1.1456859
17044000,416.32547,12.296295,96423.336,1.1456687
17068000,416.3912,12.295441,96422.586,1.1456598
17092000,416.5837,12.294586,96420.35,1.1456332
17116000,416.62125,12.293732,96419.91,1.145628
17140000,416.75272,12.292908,96418.375,1.1456097
17164000,416.9687,12.292053,96415.93,1.1455808
17192000,417.09546,12.291229,96414.45,1.1455632
17212000,417.10016,12.290405,96414.44,1.145563
17236000,417.27856,12.289581,96412.336,1.1455381
17260000,417.4382,12.288757,96410.53,1.1455166
17288000,417.4241,12.287964,96410.69,1.1455184
17308000,417.7105,12.28714,96407.35,1.1454788
17332000,417.86075,12.286346,96405.62,1.1454582
17356000,417.94525,12.285553,96404.67,1.145447
17380000,417.74805,12.2847595,96406.92,1.1454737
17404000,418.14246,12.283966,96402.38,1.1454198
17428000,418.2786,12.283173,96400.8,1.1454009
17452000,418.44763,12.282379,96398.87,1.145378
17476000,418.3631,12.281616,96399.86,1.1453898
17504000,418.67767,12.280823,96396.24,1.1453468
17524000,418.66357,12.28006,96396.38,1.1453485
17548000,418.7434,12.279297,96395.44,1.1453372
17572000,418.9265,12.278534,96393.34,1.1453124
17596000,418.98285,12.277771,96392.69,1.1453046
17620000,419.15186,12.277008,96390.695,1.145281
17644000,419.4993,12.276245,96386.76,1.1452341
17668000,419.44296,12.275482,96387.36,1.1452413
17692000,419.5932,12.27475,96385.63,1.1452208
17716000,419.4195,12.273987,96387.65,1.1452447
17740000,419.74814,12.273254,96383.85,1.1451997
17768000,419.9688,12.272522,96381.32,1.1451695
17788000,420.10965,12.27179,96379.67,1.14515
17812000,420.13312,12.271057,96379.41,1.1451467
17836000,420.2787,12.270325,96377.75,1.145127
17860000,420.46646,12.269592,96375.57,1.1451012
17884000,420.3538,12.26886,96376.84,1.1451163
17908000,420.66367,12.268127,96373.305,1.1450742
17932000,420.4524,12.267426,96375.7,1.1451027
17956000,420.7153,12.266693,96372.71,1.1450672
17980000,420.94067,12.265991,96370.086,1.145036
18004000,420.9031,12.265289,96370.52,1.1450412
18032000,421.33505,12.264587,96365.53,1.144982
18052000,421.2928,12.263855,96366.055,1.1449882
18076000,421.37262,12.263153,96365.15,1.1449773
18104000,421.46182,12.262451,96364.06,1.1449645
18124000,421.61676,12.26178,96362.305,1.1449436
18148000,421.7717,12.261078,96360.53,1.1449225
18172000,421.79987,12.260376,96360.17,1.1449182
18196000,421.77637,12.259705,96360.46,1.1449217
18220000,421.9407,12.259003,96358.58,1.1448994
18244000,421.97827,12.258301,96358.12,1.1448939
18268000,422.1379,12.257629,96356.29,1.1448721
18292000,422.34918,12.256958,96353.83,1.1448429
18316000,422.27405,12.256256,96354.72,1.1448535
18340000,422.56046,12.255585,96351.42,1.1448143
18364000,422.66373,12.254913,96350.23,1.1448001
18388000,422.76703,12.254242,96349.04,1.144786
18412000,422.8093,12.253571,96348.58,1.1447805
18436000,423.02527,12.252869,96346.07,1.1447507
18460000,422.9877,12.252197,96346.5,1.1447558
18484000,423.0769,12.251526,96345.49,1.1447438
18508000,423.18488,12.250885,96344.234,1.1447289
18532000,423.42432,12.250214,96341.46,1.1446959
18556000,423.4478,12.249542,96341.195,1.1446928
18580000,423.52762,12.248871,96340.25,1.1446816
18604000,423.57925,12.248199,96339.68,1.1446748
18628000,423.79523,12.247559,96337.2,1.1446453
18652000,423.86566,12.246887,96336.36,1.1446353
18676000,424.00183,12.246216,96334.836,1.1446172
18704000,424.03937,12.245575,96334.375,1.1446117
18724000,424.1943,12.244904,96332.58,1.1445904
18748000,424.3962,12.244263,96330.25,1.1445627
18772000,424.35864,12.243591,96330.7,1.1445681
18796000,424.307,12.24295,96331.29,1.1445751
18820000,424.50888,12.242279,96328.97,1.1445475
18848000,424.54645,12.241638,96328.55,1.1445425
18868000,424.82812,12.240967,96325.29,1.1445038
18892000,424.8798,12.240326,96324.68,1.1444966
18916000,424.91736,12.239685,96324.234,1.1444912
18940000,425.12863,12.239014,96321.78,1.1444621
18964000,425.27887,12.238373,96320.086,1.144442
18988000,425.19904,12.237701,96321.02,1.144453
19012000,425.43848,12.237061,96318.22,1.1444198
19036000,425.46198,12.23642,96317.94,1.1444165
19064000,425.5136,12.235748,96317.35,1.1444094
19084000,425.8188,12.235107,96313.83,1.1443676
19108000,425.85635,12.234467,96313.445,1.144363
19132000,425.9174,12.233795,96312.75,1.1443548
19156000,425.87982,12.233154,96313.16,1.1443596
19184000,426.12866,12.232513,96310.31,1.1443259
19208000,426.1756,12.231842,96309.75,1.1443192
19232000,426.24133,12.231201,96309,1.1443102
19252000,426.3775,12.23056,96307.42,1.1442915
19276000,426.5653,12.229889,96305.26,1.1442658
19300000,426.631,12.229248,96304.51,1.1442568
19324000,426.7202,12.228607,96303.43,1.1442441
19348000,426.75308,12.227936,96303.08,1.1442399
19372000,426.91742,12.227295,96301.16,1.144217
19400000,426.9503,12.226654,96300.79,1.1442127
19420000,427.09583,12.225983,96299.125,1.1441929
19448000,427.3165,12.225342,96296.555,1.1441624
19468000,427.38223,12.22467,96295.83,1.1441537
19492000,427.43387,12.22403,96295.24,1.1441468
19516000,427.47614,12.223389,96294.78,1.1441413
19540000,427.48083,12.222717,96294.69,1.1441401
19564000,427.7578,12.222076,96291.48,1.144102
19588000,427.8705,12.221405,96290.24,1.1440873
19612000,427.8658,12.220764,96290.27,1.1440878
19636000,428.063,12.220093,96288.016,1.1440609
19664000,428.10526,12.219452,96287.516,1.144055
19684000,428.18976,12.2187805,96286.56,1.1440437
19708000,428.30713,12.21814,96285.17,1.1440271
19736000,428.42453,12.217468,96283.83,1.1440111
19756000,428.59354,12.216827,96281.85,1.1439877
19780000,428.6405,12.216187,96281.31,1.1439812
19804000,428.74377,12.215515,96280.12,1.143967
19828000,428.85178,12.214874,96278.88,1.1439524
19852000,428.74847,12.214203,96280.06,1.1439664
19876000,429.0067,12.213562,96277.13,1.1439316
19900000,429.2133,12.212891,96274.73,1.143903
19924000,429.18982,12.21225,96274.984,1.1439061
19948000,429.16632,12.211578,96275.234,1.1439091
19976000,429.35883,12.2109375,96273.06,1.1438832
19996000,429.43396,12.210266,96272.195,1.143873
20020000,429.6734,12.209625,96269.44,1.1438402
20048000,429.60767,12.208954,96270.2,1.1438493
20068000,429.91284,12.208313,96266.67,1.1438073
20092000,429.87527,12.207672,96267.086,1.1438122
20116000,430.08185,12.207001,96264.72,1.143784
20140000,430.15228,12.20636,96263.88,1.1437742
