timestamp,roll_body,pitch_body,yaw_body,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
9240000,0,-0.11153485,1.6242759,0.68687886,0.04045277,-0.038345225,0.72463137,1
9264000,0,-0.10455401,1.6242759,0.6870085,0.03792326,-0.0359475,0.72476816,1
9288000,0,-0.09764667,1.6242759,0.6871286,0.03541993,-0.03357459,0.7248948,1
9312000,0,-0.09081689,1.6242759,0.6872392,0.032944296,-0.031227933,0.7250115,1
9336000,0,-0.08405375,1.6242759,0.6873409,0.030492429,-0.028903807,0.7251188,1
9360000,0,-0.07734736,1.6242759,0.68743396,0.0280608,-0.026598861,0.7252169,1
9384000,0,-0.07068878,1.6242759,0.6875187,0.025646191,-0.024310052,0.72530633,1
9408000,0,-0.064079,1.6242759,0.6875953,0.023248998,-0.022037752,0.72538716,1
9432000,0,-0.05751008,1.6242759,0.6876639,0.020866372,-0.019779257,0.7254596,1
9456000,0,-0.050974783,1.6242759,0.6877249,0.018495718,-0.01753211,0.7255239,1
9480000,0,-0.044466484,1.6242759,0.68777835,0.01613466,-0.015294063,0.7255803,1
9504000,0,-0.037984543,1.6242759,0.68782425,0.013782995,-0.013064916,0.72562873,1
9528000,0,-0.031523146,1.6242759,0.6878629,0.01143864,-0.0108427,0.7256695,1
9552000,0,-0.025076995,1.6242759,0.6878943,0.009099697,-0.008625613,0.7257026,1
9576000,0,-0.018641204,1.6242759,0.6879184,0.006764418,-0.006412,0.7257281,1
9600000,0,-0.012215222,1.6242759,0.68793553,0.00443263,-0.004201695,0.7257461,1
9624000,0,-0.005794793,1.6242759,0.6879455,0.002102811,-0.001993257,0.7257566,1
9648000,0,0.000623977,1.6242759,0.6879483,-0.000226429,0.000214632,0.72575957,1
9672000,0,0.00704465,1.6242759,0.68794405,-0.002556356,0.002423173,0.72575516,1
9696000,0,0.013469061,1.6242759,0.6879328,-0.004887614,0.004632974,0.7257432,1
9720000,0,0.019900221,1.6242759,0.68791425,-0.007221269,0.00684505,0.7257237,1
9744000,0,0.026340896,1.6242759,0.6878887,-0.009558303,0.009060326,0.7256967,1
9768000,0,0.032793608,1.6242759,0.6878559,-0.011899605,0.011279649,0.72566205,1
9792000,0,0.039257865,1.6242759,0.68781585,-0.014244972,0.013502824,0.7256198,1
9816000,0,0.04573583,1.6242759,0.68776846,-0.016595162,0.015730573,0.72556984,1
9840000,0,0.05222945,1.6242759,0.68771374,-0.018950857,0.01796354,0.72551215,1
9864000,0,0.05874048,1.6242759,0.68765163,-0.02131267,0.020202303,0.7254466,1
9888000,0,0.065270506,1.6242759,0.687582,-0.023681145,0.022447383,0.72537315,1
9912000,0,0.07182002,1.6242759,0.6875048,-0.026056433,0.024698922,0.7252917,1
9936000,0,0.07839029,1.6242759,0.68742,-0.02843897,0.026957331,0.72520226,1
9960000,0,0.08498245,1.6242759,0.6873274,-0.030829135,0.02922297,0.7251046,1
9984000,0,0.09159746,1.6242759,0.687227,-0.03322725,0.03149615,0.7249986,1
10008000,0,0.09823623,1.6242759,0.68711865,-0.035633612,0.03377714,0.72488433,1
10032000,0,0.104899466,1.6242759,0.6870023,-0.03804845,0.036066167,0.72476155,1
10056000,0,0.11158774,1.6242759,0.68687785,-0.040471934,0.03836339,0.7246303,1
10080000,0,0.11830151,1.6242759,0.68674517,-0.042904202,0.040668942,0.72449034,1
10104000,0,0.12504224,1.6242759,0.68660426,-0.04534575,0.042983286,0.72434163,1
