timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
100992000,14.293598,14.307582,14.624528,15.434271,15.7761755
101992000,14.841488,14.852949,15.18166,15.9191,16.271406
102992000,15.269316,15.283095,15.621226,16.49746,16.862457
103992000,15.94497,15.972585,16.32531,17.088623,17.465994
104992000,16.48754,16.566439,16.931118,17.543247,17.92943
105992000,16.929379,17.051178,17.425314,17.73224,18.12132
106992000,17.377558,17.499302,17.881882,17.675041,18.061464
107992000,17.728464,17.844109,18.233114,17.558157,17.94093
108992000,17.764647,17.873886,18.262486,17.252546,17.627638
109992000,17.48671,17.591558,17.973606,16.564617,16.924362
110992000,16.833153,16.927444,17.295471,15.596388,15.935474
111992000,15.836082,15.91017,16.257553,14.614212,14.933299
112992000,14.881245,14.938111,15.266083,13.697668,13.998405
113992000,14.134229,14.160284,14.472446,12.986558,13.272845
114992000,14.065379,14.055635,14.36601,12.813845,13.096798
115992000,14.644842,14.622671,14.945372,13.409994,13.705932
116992000,14.662149,14.63166,14.9541235,13.954156,14.261687
117992000,14.770776,14.743528,15.068557,14.906805,15.235432
118992000,14.903113,14.880873,15.208894,15.39086,15.7301235
119992000,15.402721,15.372358,15.71102,15.898317,16.248568
120992000,15.831183,15.790237,16.137346,16.282066,16.639988
121992000,16.033556,15.976239,16.327166,16.38925,16.749249
122992000,15.977983,15.905062,16.254496,16.29976,16.657867
123992000,15.769928,15.679179,16.023647,16.15318,16.50806
124992000,15.75932,15.651043,15.995246,16.070297,16.423721
125992000,15.644537,15.531299,15.872989,15.951966,16.302912
126992000,15.218744,15.100564,15.43306,15.778693,16.126122
127992000,15.04562,14.9328,15.262012,15.635077,15.979772
128992000,14.9048815,14.826896,15.1540165,15.57294,15.91652
129992000,14.598628,14.602485,14.925067,15.598947,15.943541
130992000,14.671263,14.738146,15.063962,15.801343,16.150663
131992000,14.722014,14.80747,15.134925,15.928576,16.280823
132992000,14.804846,14.88977,15.219165,16.000364,16.35433
133992000,14.910379,14.999074,15.330662,15.8625555,16.213232
134992000,15.14599,15.239848,15.576214,15.565329,15.908879
135992000,15.234873,15.310397,15.647701,15.081407,15.413667
136992000,15.094002,15.142773,15.475922,14.309189,14.623999
