timestamp,control[0],control[1],control[2],control[3],control[4]
7500000,0.023378626,0.027724773,0.000216812,0,0.49
7504000,0.023828872,0.0278382,0.000306015,0,0.48000002
7512000,0.024267182,0.027326358,0.000261614,0,0.46000004
7516000,0.027739704,0.027413044,-0.002497854,0.15,0.45000005
7520000,0.027096855,0.027598748,-0.002678642,0.15,0.44000006
7524000,0.02677124,0.027682588,-0.002779857,0.15,0.43000007
7528000,0.026743451,0.027814573,-0.002517527,0.15,0.42000008
7532000,0.02666845,0.028031489,-0.002284841,0.15,0.4100001
7536000,0.026982812,0.028057141,-0.002361072,0.15,0.4000001
7540000,0.027679263,0.027737824,-0.002504954,0.15,0.3900001
7548000,0.02802583,0.02735185,-0.002491879,0.15,0.37000012
7556000,0.029066209,0.02760021,-0.002154828,0.15,0.35000014
7560000,0.030061651,0.027627457,-0.002135526,0.15,0.34000015
7564000,0.029521095,0.027531164,-0.002004586,0.15,0.33000016
7568000,0.02857605,0.027259722,-0.00190524,0.15,0.32000017
7572000,0.027501097,0.027107602,-0.001687717,0.15,0.31000018
7576000,0.027040081,0.027115049,-0.001783543,0.15,0.3000002
7580000,0.027044779,0.027059335,-0.001784773,0.15,0.2900002
7584000,0.028094217,0.027045095,-0.002485941,0.15,0.2800002
7588000,0.028461179,0.027196147,-0.002311524,0.15,0.27000022
7592000,0.028651966,0.027121456,-0.002154524,0.15,0.26000023
7596000,0.028661342,0.026895031,-0.002009317,0.15,0.25000024
7600000,0.02890977,0.026745323,-0.002091241,0.15,0.24000023
7604000,0.029055879,0.026674017,-0.002325994,0.15,0.23000023
7608000,0.029438958,0.026717147,-0.002388284,0.15,0.22000022
7612000,0.02988458,0.026925659,-0.002266776,0.15,0.21000022
7620000,0.029516,0.027135408,-0.00167594,0.15,0.1900002
7624000,0.029869882,0.026912209,-0.001615498,0.15,0.1800002
7628000,0.029431852,0.026654655,-0.001825709,0.15,0.1700002
7636000,0.028590407,0.026480522,-0.00166696,0.15,0.15000018
7640000,0.028064495,0.026619729,-0.001459706,0.15,0.14000018
7644000,0.027541734,0.026757456,-0.001434118,0.15,0.13000017
7648000,0.027194932,0.026824972,-0.001465527,0.15,0.120000176
7652000,0.027300434,0.026843082,-0.001524256,0.15,0.11000018
7656000,0.02706406,0.026903838,-0.001602564,0.15,0.10000018
7660000,0.025810728,0.026927024,-0.001469804,0.15,0.09000018
7664000,0.025624987,0.02699068,-0.00148865,0.15,0.080000184
7668000,0.026501905,0.027169753,-0.001368157,0.15,0.07000019
7672000,0.027629526,0.02723975,-0.001224199,0.15,0.06000019
7680000,0.026689898,0.026913954,-0.001471072,0.15,0.040000193
7684000,0.025398063,0.026825396,-0.00139356,0.15,0.030000193
7692000,0.026341382,0.026072714,-0.001605081,0.15,0.010000194
7696000,0.026316676,0.0254801,-0.001565747,0.15,1.94E-07
7700000,0.02631531,0.025165418,-0.001372632,0.15,0
7704000,0.026465833,0.025211062,-0.001191858,0.15,0
7708000,0.02734174,0.025440985,-0.001327646,0.15,0
7712000,0.027967108,0.0256875,-0.0014642,0.15,0
7716000,0.02804448,0.025914086,-0.001607531,0.15,0
7720000,0.027733361,0.026108792,-0.001627115,0.15,0
7724000,0.027083857,0.026171995,-0.001460281,0.15,0
7728000,0.027099889,0.02615985,-0.001288458,0.15,0
7732000,0.027996415,0.02608479,-0.00110412,0.15,0
7736000,0.029342128,0.025894469,-0.001235046,0.15,0
