timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6312000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
8232000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
32748000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
46584000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
58284000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
74468000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
113388000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
113444000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
113452000,2,6,7,11,0,0,1,0,0,0,0,0,0,0
113500000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
113556000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
141896000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
197440000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
197936000,3,-1,0,11,0,0,1,0,0,0,0,0,0,0
