timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
89904000,39.56347,43.988106,3.7787323,4.3824487,15.325533,20.23202,-0.09812973,0.28301358,-0.069289856,-46.073826
90096000,40.52346,44.816376,3.7853184,4.279726,15.326107,20.286304,-0.099203944,0.2548896,-0.07385573,-45.205494
90312000,41.60345,45.723213,3.793976,4.1783752,15.326878,20.313843,-0.0997393,0.20330726,-0.07896209,-44.17997
90504000,42.563442,46.509884,3.802642,4.100788,15.327555,20.34326,-0.1003141,0.16003042,-0.08346136,-43.224297
90696000,43.523434,47.288216,3.8117251,4.0455585,15.328229,20.337425,-0.10018393,0.09827914,-0.08790929,-42.22947
90912000,44.603424,48.15318,3.8224764,3.9780977,15.328626,20.31515,-0.09973047,0.03459375,-0.092821546,-41.076523
91104000,45.563416,48.911186,3.8325758,3.9409187,15.329234,20.280073,-0.09901678,-0.007725727,-0.097092494,-40.025257
91296000,46.523407,49.666286,3.8428202,3.9424064,15.329864,20.22767,-0.09795614,-0.046449836,-0.10126085,-38.95342
91512000,47.603397,50.52266,3.854001,3.9896417,15.33055,20.160423,-0.09659746,-0.06122728,-0.10582027,-37.727978
91704000,48.56339,51.298653,3.8632011,4.066653,15.3311205,20.10484,-0.09547438,-0.036061715,-0.10975986,-36.62435
91896000,49.523373,52.090324,3.8716166,4.158584,15.331635,20.04979,-0.09436308,0.028867476,-0.11360183,-35.50844
92112000,50.603363,52.996033,3.8803308,4.2486887,15.332275,20.012259,-0.09359966,0.15445742,-0.117818765,-34.238594
92304000,51.563354,53.811295,3.8875673,4.3122525,15.332857,20.007483,-0.09349251,0.27570802,-0.12150029,-33.086708
92496000,52.523346,54.63671,3.894296,4.361198,15.33332,20.010698,-0.09354757,0.36495915,-0.12513508,-31.908548
92712000,53.603336,55.568703,3.901696,4.3950615,15.334128,20.1,-0.09531744,0.4167589,-0.1292035,-30.53481
92904000,54.563328,56.40096,3.9080827,4.4312673,15.334747,20.144444,-0.096193925,0.39952004,-0.1328211,-29.260923
93096000,55.52332,57.239037,3.9141784,4.4609833,15.335346,20.188515,-0.09706337,0.3687083,-0.13642856,-27.946045
93312000,56.60331,58.178593,3.9212,4.4808555,15.336068,20.217295,-0.097624525,0.30125466,-0.14046165,-26.425142
93504000,57.5633,59.017975,3.9272306,4.5293193,15.336689,20.253658,-0.09833939,0.21783684,-0.14402942,-25.033264
93696000,58.523293,59.865047,3.9328766,4.598759,15.337196,20.239098,-0.098038025,0.13132182,-0.14756422,-23.615679
93912000,59.603283,60.830647,3.938596,4.696322,15.338198,20.191065,-0.09705734,0.046961617,-0.15146437,-22.014889
94104000,60.563274,61.707657,3.9427452,4.7983947,15.338471,20.130648,-0.095843524,-0.01274012,-0.15486006,-20.593958
94296000,61.523266,62.605907,3.9458323,4.8916526,15.33924,20.099525,-0.0952057,-0.070852995,-0.1581981,-19.178125
94512000,62.603256,63.63047,3.9486036,4.9666166,15.340138,20.04872,-0.09417162,-0.11411291,-0.1618994,-17.590595
94704000,63.563255,64.55115,3.950697,5.0079045,15.340885,19.995283,-0.09308796,-0.13766332,-0.16513562,-16.191444
94896000,64.52327,65.48104,3.952203,5.035243,15.341481,19.948133,-0.092133045,-0.15748623,-0.16832481,-14.805111
95112000,65.603294,66.53843,3.9533348,5.0528245,15.342213,19.89662,-0.09108814,-0.1620273,-0.17186354,-13.261695
95304000,66.56332,67.48378,3.9540684,5.050087,15.343044,19.874952,-0.09063816,-0.15828446,-0.17497933,-11.899405
95496000,67.52334,68.42985,3.954766,5.038822,15.343764,19.843704,-0.0899988,-0.15164396,-0.17806803,-10.546611
95712000,68.60336,69.49196,3.9556618,5.0144095,15.34463,19.837038,-0.08984815,-0.15124112,-0.18152682,-9.0268755
95904000,69.563385,70.433,3.956611,4.956452,15.345303,19.80728,-0.08923954,-0.138331,-0.18457906,-7.6813083
96096000,70.52341,71.36099,3.9582124,4.880872,15.345971,19.80798,-0.08924017,-0.116540834,-0.18761641,-6.3342166
96312000,71.60343,72.39107,3.9607098,4.7983994,15.346623,19.813345,-0.08933443,-0.088647515,-0.19101252,-4.81257
96504000,72.563446,73.292175,3.963655,4.719497,15.347339,19.800894,-0.0890711,-0.07364654,-0.19401644,-3.4473498
96696000,73.52346,74.17929,3.9673,4.645863,15.348049,19.802425,-0.08908752,-0.05226842,-0.19698517,-2.0762804
96912000,74.603485,75.161865,3.9721725,4.5636525,15.348812,19.795065,-0.088925056,-0.05323293,-0.20029531,-0.513872
97104000,75.56351,76.01988,3.9772727,4.491555,15.349356,19.776747,-0.08854782,-0.05958882,-0.20319444,0.8892915
97296000,76.52353,76.86663,3.9829364,4.42687,15.350066,19.754591,-0.088090494,-0.07481548,-0.20604159,2.3047
97512000,77.60355,77.807014,3.9899185,4.376331,15.3508415,19.729877,-0.08758072,-0.10479563,-0.20918247,3.916827
97704000,78.563576,78.63898,3.9963214,4.362478,15.351387,19.706081,-0.08709388,-0.13868786,-0.21189776,5.3585553
