timestamp,x,y,z
80008000,-0.005023863,-0.013132829,-0.001776442
80108000,0.004687076,-0.005095806,-0.00115339
80208000,0.005012123,-0.00125494,0.003647385
80308000,0.00157411,-0.011862408,-0.001645131
80408000,-0.004436828,-0.004567342,-0.00157867
80508000,0.000631321,-0.003691133,-0.00181303
80608000,-0.002226526,-0.000856115,0.003392969
80708000,0.012267557,-0.004309957,-0.007754877
80808000,0.07328524,-0.057004876,0.25650558
80908000,0.21793655,-0.016942427,0.27894887
81008000,0.322981,-0.006839615,-0.03600738
81108000,0.31306404,-0.05156596,-0.2586634
81208000,0.25617173,-0.01180591,-0.24343681
81308000,0.20703663,0.002070778,0.042258523
81408000,0.18474206,0.15044919,0.17295724
81508000,0.14371565,0.25625384,0.101281784
81608000,0.104490355,0.21649328,-0.014756509
81708000,0.076892205,0.15530904,-0.020551026
81808000,0.06267406,0.14807904,0.05684599
81908000,0.042315222,0.1642123,0.10157886
82008000,0.036904234,0.1853318,0.09660085
82108000,0.02337753,0.19115572,0.06403141
82208000,0.021617338,0.18046,0.032378886
82308000,0.011166553,0.16743237,0.03657743
82408000,0.013745908,0.17574036,0.05212498
82508000,-0.004409696,0.18325688,0.06986662
82608000,-0.002135366,0.17990941,0.076206654
82708000,-0.002131653,0.18231145,0.059435483
82808000,-0.001118029,0.20376354,0.0459049
82908000,-0.007676042,0.20287797,0.05315469
83008000,-0.01698845,0.20719859,0.0528573
83108000,-0.38017872,0.1831369,0.05298084
83208000,-0.55873823,0.13083905,0.008010739
83308000,-0.54244363,0.07839433,-0.011421034
83408000,-0.4698852,0.04710756,-0.022121327
83508000,-0.41300344,0.048018165,-0.022907825
83608000,-0.3605031,0.049589157,-0.05047201
83708000,-0.2879766,0.037991744,-0.058459137
83808000,-0.37035465,0.08162542,-0.042223867
83908000,-0.42879513,0.09179443,0.00452363
84008000,-0.33073512,0.003398137,-0.045607317
84108000,-0.24443422,-0.080196105,-0.10338256
84208000,-0.18587948,-0.13621125,-0.15753506
