timestamp,ground_contact,maybe_landed,landed
11124000,0,0,1
11404000,0,0,0
12404000,0,0,0
13404000,0,0,0
14404000,0,0,0
15404000,0,0,0
16404000,0,0,0
17404000,0,0,0
18404000,0,0,0
19404000,0,0,0
20404000,0,0,0
21404000,0,0,0
22404000,0,0,0
23404000,0,0,0
24404000,0,0,0
25404000,0,0,0
26404000,0,0,0
27404000,0,0,0
28404000,0,0,0
29404000,0,0,0
30404000,0,0,0
31404000,0,0,0
32404000,0,0,0
33404000,0,0,0
34404000,0,0,0
35404000,0,0,0
36404000,0,0,0
37404000,0,0,0
38404000,0,0,0
39404000,0,0,0
40404000,0,0,0
41404000,0,0,0
42404000,0,0,0
43404000,0,0,0
44404000,0,0,0
45404000,0,0,0
46404000,0,0,0
47404000,0,0,0
48404000,0,0,0
49404000,0,0,0
50404000,0,0,0
51404000,0,0,0
52404000,0,0,0
53404000,0,0,0
54404000,0,0,0
55404000,0,0,0
56404000,0,0,0
57404000,0,0,0
58404000,0,0,0
59404000,0,0,0
60404000,0,0,0
61404000,0,0,0
62404000,0,0,0
63404000,0,0,0
64404000,0,0,0
65404000,0,0,0
66404000,0,0,0
67404000,0,0,0
68404000,0,0,0
69404000,0,0,0
70404000,0,0,0
71404000,0,0,0
72404000,0,0,0
73404000,0,0,0
74404000,0,0,0
75404000,0,0,0
76404000,0,0,0
77404000,0,0,0
78404000,0,0,0
79404000,0,0,0
80404000,0,0,0
81404000,0,0,0
82404000,0,0,0
83404000,0,0,0
84404000,0,0,0
85404000,0,0,0
86404000,0,0,0
87404000,0,0,0
88404000,0,0,0
89404000,0,0,0
90404000,0,0,0
91404000,0,0,0
92404000,0,0,0
93404000,0,0,0
94404000,0,0,0
95404000,0,0,0
96404000,0,0,0
97404000,0,0,0
98404000,0,0,0
99404000,0,0,0
100404000,0,0,0
101404000,0,0,0
102404000,0,0,0
103404000,0,0,0
104404000,0,0,0
105404000,0,0,0
106404000,0,0,0
107404000,0,0,0
108404000,0,0,0
109404000,0,0,0
110404000,0,0,0
111404000,0,0,0
112404000,0,0,0
113404000,0,0,0
114404000,0,0,0
115404000,0,0,0
116404000,0,0,0
117404000,0,0,0
118404000,0,0,0
119404000,0,0,0
120404000,0,0,0
121404000,0,0,0
122404000,0,0,0
123404000,0,0,0
124404000,0,0,0
125404000,0,0,0
126404000,0,0,0
127404000,0,0,0
128404000,0,0,0
129404000,0,0,0
130404000,0,0,0
131404000,0,0,0
132404000,0,0,0
133404000,0,0,0
134404000,0,0,0
135404000,0,0,0
136404000,0,0,0
137404000,0,0,0
138404000,0,0,0
139404000,0,0,0
140404000,0,0,0
141404000,0,0,0
142404000,0,0,0
143404000,0,0,0
144404000,0,0,0
145404000,0,0,0
146404000,0,0,0
147404000,0,0,0
148404000,0,0,0
149404000,0,0,0
150404000,0,0,0
151404000,0,0,0
152404000,0,0,0
153404000,0,0,0
154404000,0,0,0
155404000,0,0,0
156404000,0,0,0
157404000,0,0,0
158404000,0,0,0
159404000,0,0,0
160404000,0,0,0
161404000,0,0,0
162404000,0,0,0
163404000,0,0,0
164404000,0,0,0
165404000,0,0,0
166404000,0,0,0
167404000,0,0,0
168404000,0,0,0
169404000,0,0,0
170404000,0,0,0
171404000,0,0,0
172404000,0,0,0
173404000,0,0,0
174404000,0,0,0
175404000,0,0,0
176404000,0,0,0
177404000,0,0,0
178404000,0,0,0
179404000,0,0,0
180404000,0,0,0
181404000,0,0,0
182404000,0,0,0
183404000,0,0,0
184404000,0,0,0
185404000,0,0,0
186404000,0,0,0
187244000,0,0,1
188244000,0,0,1
