timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
5248000,756000,39.8714137,32.7364371,0,0,-0.23233937,0.045023277,0.20290743,-0.20796302,0.011127834,0.13275926,-0.068116926,0.14765334
5344000,756000,39.8714137,32.7364371,0.024504252,0.06442915,-0.22754799,-0.000853414,0.060964286,-0.02678201,-0.06431348,0.1847898,-0.07573235,0.14682189
5448000,756000,39.8714137,32.7364371,0.018327286,0.0481664,-0.20742467,-0.002422412,0.062512666,-0.028810054,0.03312404,0.18052791,-0.10411906,0.14643776
5544000,756000,39.8714137,32.7364371,0.013270811,0.036400925,-0.18839043,-0.004474808,0.066922665,-0.033008125,-0.034942072,0.14927158,-0.07961876,0.13879246
5648000,756000,39.8714137,32.7364371,0.009422732,0.02949773,-0.16999003,-0.003250057,0.075454794,-0.036353644,-0.05384329,0.18217312,-0.069983296,0.12550235
5744000,756000,39.8714137,32.7364371,0.00714758,0.027095003,-0.15763159,-0.000799997,0.08366086,-0.04093286,-0.002147324,0.19232501,-0.0918135,0.11599421
5848000,756000,39.8714137,32.7364371,0.005696973,0.027936181,-0.14887665,-0.001518271,0.09400424,-0.04805369,0.028991807,0.20670119,-0.10316166,0.105549775
5944000,756000,39.8714137,32.7364371,0.005025554,0.030404745,-0.14402352,0.001255281,0.10100707,-0.05288659,0.021389801,0.19859955,-0.011284835,0.10405836
6048000,756000,39.8714137,32.7364371,0.004892586,0.033750866,-0.13967773,0.0014305,0.1062855,-0.057934586,-0.036713183,0.12407856,-0.07815286,0.10641263
6144000,756000,39.8714137,32.7364371,0.005078274,0.03759643,-0.13609447,0.003434901,0.1134341,-0.06131818,0.09332427,0.19709824,-0.09916536,0.10914943
6248000,756000,39.8714137,32.7364371,0.005636999,0.04183826,-0.13232724,0.00536515,0.11904927,-0.06388745,-0.028061839,0.15329354,-0.011036172,0.10790699
6344000,756000,39.8714137,32.7364371,0.006205902,0.04591715,-0.13034245,0.004437755,0.12266498,-0.06719302,0.022667896,0.14223711,-0.0729002,0.107399955
6448000,756000,39.8714137,32.7364371,0.006842534,0.048259787,-0.12742673,0.006614283,0.12161958,-0.067414664,0.06382612,0.16660015,-0.10128784,0.10705726
6544000,756000,39.8714137,32.7364371,0.007598644,0.050704885,-0.1250462,0.008532659,0.11959416,-0.07112138,0.022581762,0.18703145,-0.06428919,0.106815755
6648000,756000,39.8714137,32.7364371,0.008429674,0.051695753,-0.124605395,0.008961324,0.114630155,-0.07381657,-0.06360438,0.091347255,0.001445413,0.1033519
6744000,756000,39.8714137,32.7364371,0.009115954,0.053436194,-0.12383562,0.008277636,0.11325289,-0.07526315,0.06757718,0.07781138,-0.04344247,0.11003162
6848000,756000,39.8714137,32.7364371,0.009694118,0.054104768,-0.12318474,0.010252608,0.109381415,-0.07651288,0.034453433,0.15951203,-0.001573004,0.106261976
6952000,756000,39.8714137,32.7364371,0.010225655,0.055096053,-0.12303112,0.011126215,0.10599625,-0.07903014,0.036399532,0.16831182,-0.024350358,0.10999598
7048000,756000,39.8714137,32.7364371,0.010237549,0.054090485,-0.123885356,0.010547009,0.101085514,-0.082288325,0.014074321,0.16252962,-0.09911134,0.10413343
7152000,756000,39.8714137,32.7364371,0.010312664,0.0538192,-0.12434915,0.009341651,0.094724044,-0.07999871,-0.006131667,0.086334236,-0.012367032,0.11090004
7248000,756000,39.8714137,32.7364371,0.010183162,0.05153727,-0.12433171,0.009007121,0.09036118,-0.08142577,-0.00432189,0.13230729,-0.00038743,0.10891813
7344000,756000,39.8714137,32.7364371,0.010145283,0.05057163,-0.12490987,0.009537078,0.08757851,-0.08098071,0.08347781,0.069695406,0.006117858,0.111914985
7448000,756000,39.8714137,32.7364371,0.01024671,0.047132634,-0.12379204,0.011375484,0.08209405,-0.07804957,0.030945752,0.050103027,0.001622364,0.11452667
7544000,756000,39.8714137,32.7364371,0.01064996,0.045841042,-0.12206403,0.010994606,0.07793109,-0.07546066,-0.040654395,0.036003895,-0.001573935,0.11621115
