timestamp,ground_contact,maybe_landed,landed
8104000,0,0,1
8344000,0,0,0
9344000,0,0,0
10344000,0,0,0
11344000,0,0,0
12344000,0,0,0
13344000,0,0,0
14344000,0,0,0
15344000,0,0,0
16344000,0,0,0
17344000,0,0,0
18344000,0,0,0
19344000,0,0,0
20344000,0,0,0
21344000,0,0,0
22344000,0,0,0
23344000,0,0,0
24344000,0,0,0
25344000,0,0,0
26344000,0,0,0
27344000,0,0,0
28344000,0,0,0
29344000,0,0,0
30344000,0,0,0
31344000,0,0,0
32344000,0,0,0
33344000,0,0,0
34344000,0,0,0
35344000,0,0,0
36344000,0,0,0
37344000,0,0,0
38344000,0,0,0
39344000,0,0,0
40344000,0,0,0
41344000,0,0,0
42344000,0,0,0
43344000,0,0,0
44344000,0,0,0
45344000,0,0,0
46344000,0,0,0
47344000,0,0,0
48344000,0,0,0
49344000,0,0,0
50344000,0,0,0
51344000,0,0,0
52344000,0,0,0
53344000,0,0,0
54344000,0,0,0
55344000,0,0,0
56344000,0,0,0
57344000,0,0,0
58344000,0,0,0
59344000,0,0,0
60344000,0,0,0
61344000,0,0,0
62344000,0,0,0
63344000,0,0,0
64344000,0,0,0
65344000,0,0,0
66344000,0,0,0
67344000,0,0,0
68344000,0,0,0
69344000,0,0,0
70344000,0,0,0
71344000,0,0,0
72344000,0,0,0
73344000,0,0,0
74344000,0,0,0
75344000,0,0,0
76344000,0,0,0
77344000,0,0,0
78344000,0,0,0
79344000,0,0,0
80344000,0,0,0
81344000,0,0,0
82344000,0,0,0
83344000,0,0,0
84344000,0,0,0
85344000,0,0,0
86344000,0,0,0
87344000,0,0,0
88344000,0,0,0
89344000,0,0,0
90344000,0,0,0
91344000,0,0,0
92344000,0,0,0
93344000,0,0,0
94344000,0,0,0
95344000,0,0,0
96344000,0,0,0
97344000,0,0,0
98344000,0,0,0
99344000,0,0,0
100344000,0,0,0
101344000,0,0,0
102344000,0,0,0
103344000,0,0,0
104344000,0,0,0
105344000,0,0,0
106344000,0,0,0
107344000,0,0,0
108344000,0,0,0
109344000,0,0,0
110344000,0,0,0
111344000,0,0,0
112344000,0,0,0
113344000,0,0,0
114344000,0,0,0
115344000,0,0,0
116344000,0,0,0
117344000,0,0,0
118344000,0,0,0
119344000,0,0,0
120344000,0,0,0
121344000,0,0,0
122344000,0,0,0
123344000,0,0,0
124344000,0,0,0
125344000,0,0,0
126344000,0,0,0
127344000,0,0,0
128344000,0,0,0
129344000,0,0,0
130344000,0,0,0
131344000,0,0,0
132344000,0,0,0
133344000,0,0,0
134344000,0,0,0
135344000,0,0,0
136344000,0,0,0
137344000,0,0,0
138344000,0,0,0
139344000,0,0,0
140344000,0,0,0
141344000,0,0,0
142344000,0,0,0
143344000,0,0,0
144344000,0,0,0
145344000,0,0,0
146344000,0,0,0
147344000,0,0,0
148344000,0,0,0
149344000,0,0,0
150344000,0,0,0
151344000,0,0,0
152344000,0,0,0
153344000,0,0,0
154344000,0,0,0
155344000,0,0,0
156344000,0,0,0
157344000,0,0,0
158344000,0,0,0
159344000,0,0,0
160344000,0,0,0
161344000,0,0,0
162344000,0,0,0
163344000,0,0,0
164344000,0,0,0
165344000,0,0,0
166344000,0,0,0
167344000,0,0,0
168344000,0,0,0
169344000,0,0,0
170344000,0,0,0
171344000,0,0,0
172344000,0,0,0
173344000,0,0,0
174344000,0,0,0
175344000,0,0,0
176344000,0,0,0
177344000,0,0,0
178344000,0,0,0
179344000,0,0,0
180344000,0,0,0
181344000,0,0,0
182344000,0,0,0
183344000,0,0,0
184344000,0,0,0
185344000,0,0,0
186344000,0,0,0
187344000,0,0,0
188344000,0,0,0
189344000,0,0,0
190344000,0,0,0
191344000,0,0,0
192344000,0,0,0
193344000,0,0,0
194344000,0,0,0
195344000,0,0,0
196344000,0,0,0
197344000,0,0,0
197404000,0,0,1
198404000,0,0,1
