timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6360000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
17224000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
39848000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
52616000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
64768000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
81176000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
131800000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
131856000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
131860000,2,6,7,11,0,0,1,0,0,0,0,0,0,0
131912000,2,7,8,11,0,0,1,0,0,0,0,0,0,0
131968000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
143784000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
193904000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
194392000,3,-1,0,11,0,0,1,0,0,0,0,0,0,0
