timestamp,x,y,z
18020000,0.00218058,-0.0070884,-0.006287633
18120000,0.003409944,0.000521793,-0.00295543
18220000,-0.005841353,-0.006556107,0.00483782
18320000,-0.000456481,-0.006611378,0.007432517
18420000,-0.005402458,0.000862647,-0.005894648
18520000,-0.004718036,-0.007748637,-0.006901601
18620000,0.000469281,-0.009436491,-0.005731254
18720000,-0.003166663,-0.005196814,0.010357974
18820000,0.017811256,-0.012949643,0.09596832
18920000,0.19828926,-0.008083808,0.27558714
19020000,0.34467545,-0.013839756,0.023612216
19120000,0.35416588,-0.028036477,-0.16125251
19220000,0.30968744,-0.002985001,-0.1706268
19320000,0.24146229,0.074630104,-0.036578037
19420000,0.18320706,0.1756282,0.09803429
19520000,0.15524772,0.20923984,0.13996014
19620000,0.11290898,0.2133449,0.0943194
19720000,0.074267104,0.18828532,0.045828324
19820000,0.056811787,0.17806727,0.024641696
19920000,0.049206816,0.16652638,0.041093316
20020000,0.03192199,0.18639193,0.07000991
20120000,0.029251827,0.18169305,0.08969525
20220000,0.011427717,0.18495235,0.061492264
20320000,0.005768004,0.18051867,0.06127699
20420000,-0.000322855,0.18772636,0.041174788
20520000,-0.00847545,0.17737538,0.052246004
20620000,-0.003117623,0.18861187,0.059609372
20720000,-0.009504014,0.20697159,0.06303106
20820000,-0.01484754,0.20412531,0.052428562
20920000,-0.012927407,0.19076635,0.056724895
21020000,-0.44801632,0.16205268,0.038369164
21120000,-0.5799229,0.115451455,-0.001213982
21220000,-0.5404091,0.07131172,-0.004024644
21320000,-0.47627258,0.04138609,-0.01629683
21420000,-0.4068171,0.043576993,-0.042227052
21520000,-0.34919164,0.048850667,-0.05173991
21620000,-0.27930555,0.031836595,-0.06916542
21720000,-0.4138909,0.09811715,-0.039748464
21820000,-0.4172786,0.07877661,-0.004716602
21920000,-0.33701035,-0.01637386,-0.057250317
22020000,-0.24649723,-0.078928925,-0.12191728
22120000,-0.17428768,-0.13861239,-0.16089426
22220000,-0.08744868,-0.11262581,-0.16956224
22320000,-0.054242462,-0.06971681,-0.1379311
22420000,-0.023389732,-0.042741198,-0.13048431
22520000,0.003840317,-0.032701876,-0.116295286
