timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6360000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
10264000,2,-1,0,11,0,0,1,0,0,0,0,0,0,0
21700000,2,0,1,11,0,0,1,0,0,0,0,0,0,0
36148000,2,1,2,11,0,0,1,0,0,0,0,0,0,0
54684000,2,2,3,11,0,0,1,0,0,0,0,0,0,0
69584000,2,3,4,11,0,0,1,0,0,0,0,0,0,0
126644000,2,4,5,11,0,0,1,0,0,0,0,0,0,0
126700000,2,5,6,11,0,0,1,0,0,0,0,0,0,0
126707999,2,6,7,11,0,0,1,0,0,0,0,0,0,0
126755999,2,7,8,11,0,0,1,0,0,0,0,0,0,0
126812000,2,8,9,11,0,0,1,0,0,0,0,0,0,0
136220000,2,9,10,11,0,0,1,0,0,0,0,0,0,0
198824000,2,10,10,11,0,0,1,0,1,0,0,0,0,0
199328000,3,-1,0,11,0,0,1,0,0,0,0,0,0,0
