timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,,
107992000,15.147067,15.1795025,15.513285,15.297375,15.633749,,
108992000,15.559406,15.58567,15.928145,15.591791,15.934401,,
109992000,15.826133,15.823886,16.171383,15.648886,15.992539,,
110992000,15.966351,15.949917,16.299957,15.872128,16.22046,,
111992000,15.79849,15.785548,16.132038,15.693569,16.03804,,
112992000,15.449566,15.4414425,15.780686,15.371951,15.709666,,
113992000,15.026554,15.020559,15.3509,15.166734,15.500289,,
114992000,15.2037735,15.198913,15.533529,15.069043,15.400799,,
115992000,14.891092,14.884808,15.212544,15.010613,15.341121,,
116992000,14.979884,14.978435,15.308269,15.01342,15.344025,,
117992000,15.002859,14.999365,15.329568,14.998629,15.328815,,
118992000,14.861046,14.854057,15.181122,14.967289,15.296846,,
119992000,14.961431,14.95864,15.28801,14.939452,15.268399,,
120992000,14.874608,14.868627,15.195906,14.905568,15.23366,,
121992000,14.914478,14.9106655,15.238984,14.914254,15.242653,,
122992000,15.075015,15.069714,15.401485,15.107693,15.440302,,
123992000,14.3085165,14.318041,14.633148,14.362405,14.678489,,
124992000,13.560406,13.587057,13.885878,13.806572,14.110221,,
125992000,13.235853,13.279815,13.571586,13.373154,13.666976,,
126992000,12.98548,13.036929,13.322909,13.169671,13.458563,,
127992000,13.028211,13.08537,13.372243,13.134486,13.422436,,
128992000,12.9670725,13.020981,13.306064,13.109279,13.396296,,
129992000,12.970013,13.025181,13.310214,13.030047,13.315187,,
130992000,12.680509,12.734444,13.013285,12.868126,13.149896,,
131992000,12.604966,12.660167,12.937336,12.710022,12.988282,,
132992000,12.37182,12.42585,12.698024,12.564161,12.839366,,
133992000,12.336521,12.392078,12.663602,12.438616,12.71116,,
134992000,12.170018,12.22616,12.494131,12.329123,12.599351,,
135992000,12.072965,12.131185,12.397084,12.21684,12.484616,,
136992000,11.9883,12.0501795,12.314306,12.10942,12.3748455,,
137992000,11.682142,11.742556,12.000237,11.991641,12.254788,,
138992000,11.843121,11.903317,12.164507,11.868374,12.128797,,
139992000,11.632688,11.687856,11.944467,11.752549,12.01058,,
140992000,11.531993,11.585814,11.840086,11.642892,11.898416,,
141992000,11.352567,11.404891,11.655298,11.535602,11.788879,,
142992000,11.286007,11.336059,11.5851,11.432833,11.684,,
143992000,11.108803,11.159721,11.4049,11.3504095,11.599777,,
144992000,11.044759,11.097461,11.341325,11.254802,11.502124,,
145992000,11.011413,11.068671,11.311904,11.178286,11.423928,,
146992000,10.966519,11.025823,11.268105,11.106513,11.350569,,
147992000,10.848291,10.909285,11.149088,11.030512,11.27298,,
148992000,10.377361,10.438868,10.668354,10.59794,10.830925,,
149992000,10.076472,10.139468,10.361946,10.280269,10.505836,,
150992000,10.379157,10.44735,10.675487,10.768036,11.003177,,
151992000,10.921935,11.002787,11.241876,11.225267,11.469191,,
152992000,10.739156,10.824396,11.058694,11.129402,11.370302,,
153992000,10.590049,10.677438,10.907901,10.758435,10.990647,,
154992000,10.2922325,10.380442,10.60389,10.602924,10.831162,,
155992000,10.5171385,10.611913,10.839297,10.80121,11.032652,,
156992000,10.583641,10.684367,10.912392,10.997688,11.2324,,
157992000,10.572542,10.677769,10.904771,10.974088,11.20739,,
158992000,10.489263,10.596074,10.820472,10.801553,11.030302,,
159992000,10.487894,10.594146,10.817909,10.724053,10.950561,,
160992000,10.658007,10.7683935,10.994921,10.786192,11.013089,,
161992000,10.579064,10.684122,10.907921,10.86517,11.092761,,
162992000,10.643671,10.751986,10.976443,10.845686,11.072099,,
163992000,10.566497,10.6716,10.893532,10.769695,10.993666,,
164992000,10.489721,10.591105,10.810499,10.733213,10.95555,,
165992000,10.766029,10.868444,11.09286,10.7447815,10.966643,,
166992000,10.530935,10.628215,10.846838,10.758636,10.979942,,
167992000,10.634745,10.73019,10.950152,10.737624,10.957738,,
168992000,10.545206,10.634207,10.85133,10.698961,10.917407,,
169992000,10.430716,10.51591,10.729887,10.679839,10.897153,,
170992000,10.641946,10.727115,10.94469,10.700977,10.918023,,
171992000,10.575556,10.653926,10.869149,10.723282,10.939907,,
172992000,10.578477,10.659073,10.873657,10.739575,10.95578,,
173992000,10.604599,10.684761,10.899013,10.727188,10.94229,,
174992000,10.604588,10.685144,10.89859,10.729907,10.944247,,
175992000,10.560266,10.639871,10.851703,10.734083,10.947792,,
176992000,10.53374,10.615066,10.825571,10.755157,10.968441,,
177992000,10.597045,10.681822,10.892822,10.769564,10.982298,,
178992000,10.640702,10.72421,10.935365,10.751831,10.963531,,
179992000,10.87642,10.965557,11.1804,11.016033,11.231866,,
180992000,4.80732,4.8569016,4.951809,4.838921,4.9334774,,
181992000,1.656014,1.6453036,1.6774538,0.12585412,0.12831338,,
182992000,1.2626818,1.2273074,1.2512884,0.10426181,0.10629903,,
183992000,-1.4950393,-1.4449471,-1.4731722,0.100222774,0.10218049,,
184992000,1.1078825,1.0707622,1.0916778,0.09356545,0.0953931,,
