timestamp,roll,pitch,yaw,thrust_body[0]
82820000,0.016461454,-0.5239222,6.88E-05,1
82824000,0.015963513,-0.5236585,6.88E-05,1
82828000,0.015422601,-0.52344215,6.88E-05,1
82832000,0.014846002,-0.52320987,6.88E-05,1
82836000,0.014247301,-0.5229867,6.88E-05,1
82844000,0.012948509,-0.49895293,6.88E-05,1
82848000,0.012213315,-0.49872023,6.88E-05,1
82852000,0.011487396,-0.49852526,6.88E-05,1
82856000,0.01072212,-0.49837813,6.88E-05,1
82860000,0.009887658,-0.49826047,6.88E-05,1
82864000,0.008979397,-0.49815407,6.88E-05,1
82868000,0.008018904,-0.47544834,6.88E-05,1
82872000,0.007028587,-0.4753715,6.88E-05,1
82876000,0.006028004,-0.47528735,6.88E-05,1
82880000,0.005007246,-0.47519463,6.88E-05,1
82884000,0.003965418,-0.47510618,6.88E-05,1
82888000,0.002858916,-0.4750055,6.88E-05,1
82892000,0.001673925,-0.45347127,6.88E-05,1
82896000,0.000460895,-0.45345667,6.88E-05,1
82900000,-0.000791989,-0.45338959,6.88E-05,1
82904000,-0.002101964,-0.45333365,6.88E-05,1
82908000,-0.003476286,-0.453335,6.88E-05,1
82912000,-0.004871476,-0.45340377,6.88E-05,1
82916000,-0.006284771,-0.4329301,6.88E-05,1
82920000,-0.007746232,-0.43296894,6.88E-05,1
82924000,-0.009214887,-0.43302703,6.88E-05,1
82928000,-0.010729169,-0.4331044,6.88E-05,1
82932000,-0.012297218,-0.43320566,6.88E-05,1
82936000,-0.013878519,-0.43328372,6.88E-05,1
82940000,-0.015491883,-0.41360915,6.88E-05,1
82944000,-0.017158713,-0.4136348,6.88E-05,1
82948000,-0.01889549,-0.41364342,6.88E-05,1
82952000,-0.020658746,-0.41368565,6.88E-05,1
82960000,-0.024112387,-0.41379312,6.88E-05,1
82964000,-0.025866691,-0.39481533,6.88E-05,1
82968000,-0.027645549,-0.39485353,6.88E-05,1
82972000,-0.02945658,-0.3948835,6.88E-05,1
82976000,-0.03129483,-0.39490104,6.88E-05,1
82980000,-0.033157673,-0.3948981,6.88E-05,1
82988000,-0.036914192,-0.37630913,6.88E-05,1
82996000,-0.040612966,-0.37621433,6.88E-05,1
83000000,-0.04250503,-0.3761436,6.88E-05,1
83004000,-0.04440416,-0.3760398,6.88E-05,1
83012000,-0.0481733,-0.35791755,6.88E-05,1
83016000,-0.050113417,-0.35779873,6.88E-05,1
83020000,-0.05208061,-0.3576669,6.88E-05,1
83024000,-0.05402274,-0.357502,6.88E-05,1
83028000,-0.05595941,-0.35731658,6.88E-05,1
83036000,-0.05988113,-0.33965456,6.88E-05,1
83040000,-0.06186837,-0.33948794,6.88E-05,1
83044000,-0.0638645,-0.33924466,6.88E-05,1
83048000,-0.065842554,-0.3389683,6.88E-05,1
83052000,-0.06780829,-0.3387651,6.88E-05,1
83060000,-0.07174076,-0.32151684,6.88E-05,1
83068000,-0.07561722,-0.32101154,6.88E-05,1
83072000,-0.077512026,-0.32074332,6.88E-05,1
83076000,-0.07938706,-0.32047793,6.88E-05,1
83080000,-0.08125532,-0.3201408,6.88E-05,1
83084000,-0.083119184,-0.30334902,6.88E-05,1
83088000,-0.084989734,-0.30301747,6.88E-05,1
83092000,-0.08686159,-0.30270034,6.88E-05,1
83096000,-0.08869929,-0.30239004,6.88E-05,1
83100000,-0.09051095,-0.302081,6.88E-05,1
83104000,-0.09232148,-0.30179694,6.88E-05,1
83108000,-0.09410854,-0.28548768,6.88E-05,1
83112000,-0.095911175,-0.28519014,6.88E-05,1
83116000,-0.09772194,-0.28492332,6.88E-05,1
83120000,-0.09947406,-0.2846765,6.88E-05,1
83124000,-0.10118612,-0.28450167,6.88E-05,1
83128000,-0.10289399,-0.2843433,6.88E-05,1
83132000,-0.10458412,-0.26854023,6.88E-05,1
83136000,-0.10626181,-0.26837885,6.88E-05,1
83140000,-0.107974075,-0.2682455,6.88E-05,1
83144000,-0.10970001,-0.26812315,6.88E-05,1
83148000,-0.11138472,-0.26799777,6.88E-05,1
83156000,-0.11465311,-0.25246876,6.88E-05,1
83160000,-0.11625356,-0.25241092,6.88E-05,1
83164000,-0.11779206,-0.25239438,6.88E-05,1
83168000,-0.11931862,-0.2524065,6.88E-05,1
83172000,-0.12088461,-0.25245416,6.88E-05,1
83176000,-0.12241768,-0.25250822,6.88E-05,1
83180000,-0.12391051,-0.23749688,6.88E-05,1
83184000,-0.12539457,-0.23758408,6.88E-05,1
83188000,-0.12689196,-0.2377558,6.88E-05,1
83196000,-0.12984507,-0.23814799,6.88E-05,1
83200000,-0.13131054,-0.23837352,6.88E-05,1
83204000,-0.13275774,-0.22382076,6.88E-05,1
83208000,-0.13422325,-0.22405583,6.88E-05,1
83212000,-0.13567244,-0.22435188,6.88E-05,1
83220000,-0.13852479,-0.22510935,6.88E-05,1
83224000,-0.13994843,-0.2254868,6.88E-05,1
83228000,-0.14134847,-0.21135455,6.88E-05,1
83236000,-0.14413048,-0.21235539,6.88E-05,1
83240000,-0.1454392,-0.21265912,6.88E-05,1
83244000,-0.14666525,-0.21269473,6.88E-05,1
83248000,-0.14789192,-0.2127467,6.88E-05,1
83252000,-0.14911802,-0.19848311,6.88E-05,1
83260000,-0.1515187,-0.1985848,6.88E-05,1
83264000,-0.15274777,-0.19861834,6.88E-05,1
83268000,-0.15398033,-0.19868493,6.88E-05,1
83272000,-0.15521656,-0.19875292,6.88E-05,1
83276000,-0.15643972,-0.18463172,6.88E-05,1
83280000,-0.15766507,-0.18462743,6.88E-05,1
83284000,-0.15884781,-0.18464313,6.88E-05,1
