timestamp,pressure,temperature
82000000,966.17365,12.404602
82096000,966.1574,12.404602
82216000,966.17615,12.404602
82312000,966.16504,12.404602
82408000,966.16504,12.404602
82504000,966.16534,12.404602
82600000,966.1683,12.404602
82696000,966.1578,12.404602
82816000,966.17224,12.404602
82912000,966.15265,12.404572
83008000,966.1622,12.4045105
83104000,966.1635,12.40448
83204000,966.16644,12.404419
83296000,966.1745,12.404388
83392000,966.1733,12.404358
83512000,966.1657,12.404175
83608000,966.1505,12.403748
83704000,966.1218,12.403015
83800000,966.1271,12.402039
83896000,966.0989,12.400848
84016000,966.0833,12.399078
84112000,966.0473,12.3974
84212000,965.99054,12.395477
84304000,965.9607,12.393311
84400000,965.94037,12.390961
84500000,965.87286,12.388367
84616000,965.8126,12.384857
84712000,965.7527,12.381775
84808000,965.7001,12.378479
84904000,965.62665,12.3749695
85000000,965.5666,12.371216
85096000,965.50037,12.367249
85216000,965.40027,12.361969
85312000,965.33203,12.357544
85408000,965.2548,12.352966
85504000,965.1657,12.348328
85600000,965.08154,12.343567
85696000,964.9844,12.338776
85792000,964.8976,12.333893
85912000,964.80414,12.32782
86008000,964.72833,12.3229065
86104000,964.5935,12.318054
86200000,964.55145,12.313324
86296000,964.47577,12.308746
86416000,964.3658,12.303284
86512000,964.30176,12.299072
86608000,964.2067,12.294952
86704000,964.1532,12.290955
86800000,964.0638,12.287018
86896000,964.01776,12.283173
87016000,963.90735,12.278442
87112000,963.8737,12.27478
87208000,963.7961,12.271149
87304000,963.738,12.267548
87400000,963.6753,12.264038
87496000,963.5989,12.260529
87592000,963.549,12.25708
87712000,963.4707,12.252808
87808000,963.4061,12.24942
87904000,963.3368,12.246094
88000000,963.3,12.242767
88096000,963.2171,12.239471
88192000,963.1641,12.236206
88312000,963.1024,12.232147
88408000,963.0459,12.228943
88504000,962.99536,12.225708
88600000,962.93427,12.222534
88696000,962.87164,12.21933
88816000,962.8192,12.215363
88912000,962.7312,12.212189
89008000,962.67,12.209045
89104000,962.64844,12.205872
89200000,962.57214,12.202698
89296000,962.5402,12.199524
89392000,962.4695,12.196381
89516000,962.3907,12.192413
89608000,962.331,12.1892395
89704000,962.28143,12.186066
89800000,962.23834,12.182922
89896000,962.18365,12.179749
89992000,962.1181,12.176575
90112000,962.0525,12.172607
90208000,962.01624,12.169464
90304000,961.94574,12.16629
90404000,961.8573,12.163147
90496000,961.8209,12.160004
90616000,961.7588,12.156097
90712000,961.68964,12.152954
90808000,961.65594,12.149841
90904000,961.5907,12.1467285
91000000,961.52185,12.143646
91100000,961.4772,12.140564
91216000,961.4063,12.136688
91312000,961.3546,12.133636
91408000,961.28125,12.130615
91504000,961.2528,12.1276245
91600000,961.19196,12.124664
91696000,961.14813,12.121704
91792000,961.0952,12.118774
91912000,961.02484,12.115112
92008000,960.9839,12.112213
92104000,960.89844,12.109314
92200000,960.87537,12.106445
92296000,960.8357,12.103607
92392000,960.7721,12.100769
92512000,960.7169,12.097229
92608000,960.672,12.094421
92704000,960.6078,12.091614
92800000,960.55206,12.088806
92896000,960.5109,12.086029
93016000,960.45514,12.082581
93112000,960.4083,12.079803
93208000,960.3574,12.077057
93308000,960.30945,12.07431
93404000,960.255,12.071564
93496000,960.2117,12.068817
93592000,960.1614,12.066071
93712000,960.1061,12.062653
93808000,960.0458,12.059906
93904000,960.0002,12.05719
94004000,959.94696,12.054443
94100000,959.9093,12.051697
94216000,959.8421,12.048248
94312000,959.795,12.045502
