timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
1684000,0.0,0.0,0.0,0.25819677,0.25819677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0906434,0.0,0.0,nan,0.0,0.0,0.091500215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884000,0.0,0.0,0.0,0.2573268,0.25732678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.08571,0.0,0.0,nan,0.0,0.0,0.09125225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084000,0.0,0.0,0.0,0.25696686,0.25696686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0800023,0.0,0.0,nan,0.0,0.0,0.09109468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284000,0.0,0.0,0.0,0.2569243,0.2569243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0745754,0.0,0.0,nan,0.0,0.0,0.09097219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488000,0.0,0.0,0.0,0.2570132,0.25701317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0699167,0.0,0.0,nan,0.0,0.0,0.09088922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2688000,0.0,0.0,0.0,0.25713354,0.2571335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.066494,0.0,0.0,nan,0.0,0.0,0.09082086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2888000,0.0,0.0,0.0,0.2570882,0.25708818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.063522,0.0,0.0,nan,0.0,0.0,0.0907763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088000,0.0,0.0,0.0,0.25697693,0.2569769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0614324,0.0,0.0,nan,0.0,0.0,0.09073883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3288000,0.0,0.0,0.0,0.25682095,0.25682092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.060064,0.0,0.0,nan,0.0,0.0,0.09071321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3488000,0.0,0.0,0.0,0.25664878,0.25664875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.059235,0.0,0.0,nan,0.0,0.0,0.09069294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3688000,0.0,0.0,0.0,0.25648275,0.25648266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0587616,0.0,0.0,nan,0.0,0.0,0.09067958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888000,0.0,0.0,0.0,0.25633708,0.25633696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0584717,0.0,0.0,nan,0.0,0.0,0.09066956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4088000,0.0,0.0,0.0,0.25621676,0.25621662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0582213,0.0,0.0,nan,0.0,0.0,0.09066553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4288000,0.0,0.0,0.0,0.2561216,0.25612143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.057906,0.0,0.0,nan,0.0,0.0,0.0906615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4488000,0.0,0.0,0.0,0.25604638,0.2560462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0574603,0.0,0.0,nan,0.0,0.0,0.09066143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4688000,0.0,0.0,0.0,0.25598398,0.25598377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0568557,0.0,0.0,nan,0.0,0.0,0.090659864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4888000,0.0,0.0,0.0,0.25592664,0.2559264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0560913,0.0,0.0,nan,0.0,0.0,0.09065913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5088000,0.0,0.0,0.0,0.25586852,0.25586832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0551834,0.0,0.0,nan,0.0,0.0,0.09066098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5288000,0.0,0.0,0.0,0.2558044,0.25580415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.054159,0.0,0.0,nan,0.0,0.0,0.09066041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5488000,0.3125,0.3125,0.625,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.044203,0.0,0.0,nan,0.0,0.0,0.090659745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5696000,0.3008063,0.30080613,0.6188729,1.5016706,1.5016706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0387497,0.0,0.0,nan,0.0,0.0,0.090658695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5888000,0.29427662,0.2942761,0.6128792,1.3375298,1.3375298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0372467,0.0,0.0,nan,0.0,0.0,0.09065954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6088000,0.2908216,0.29082066,0.60675937,1.2566143,1.2566143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.037161,0.0,0.0,nan,0.0,0.0,0.090657495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288000,0.28983268,0.28983086,0.6006391,1.2094107,1.2094107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0375032,0.0,0.0,nan,0.0,0.0,0.09065473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6495999,0.29029506,0.29029256,0.59511834,1.1787055,1.1787052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0378246,0.0,0.0,nan,0.0,0.0,0.09065141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6696000,0.29234493,0.29234126,0.5902165,1.1580116,1.1580113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.037813,0.0,0.0,nan,0.0,0.0,0.09064782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6896000,0.2947775,0.29477316,0.5863053,1.1430533,1.1430529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0375133,0.0,0.0,nan,0.0,0.0,0.0906434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7096000,0.2980599,0.29805425,0.58317846,1.1325992,1.1325989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.036978,0.0,0.0,nan,0.0,0.0,0.09063887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7296000,0.3007787,0.3007719,0.5809438,1.1245733,1.1245728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0362887,0.0,0.0,nan,0.0,0.0,0.09063349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,0.30368567,0.3036784,0.5793751,1.1190836,1.1190829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.035526,0.0,0.0,nan,0.0,0.0,0.090630025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7696000,0.3054408,0.30543327,0.57843894,1.11458,1.1145791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0347605,0.0,0.0,nan,0.0,0.0,0.09062415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7896000,0.30709612,0.30708838,0.57798374,1.1117183,1.1117172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.034047,0.0,0.0,nan,0.0,0.0,0.09061749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
