timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1692000,0.6894943,0.0015887483,-0.018644664,0.72404945,0.019585874,0.026250206,-0.094299726,0.0034565502,0.003967261,-0.028900653,-1.1651773e-07,-9.9382156e-08,-3.8474562e-07,1.02864615e-05,-1.1421716e-05,-2.0964166e-05,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,5.566345e-10,2.4766963e-05,0.00029094855,0.00019086697,4.1111856e-05,4.0966774e-05,0.0001723788,0.034481164,0.034480922,0.22747754,0.007892214,0.007892214,0.088479206,6.392574e-09,6.3925976e-09,6.364574e-09,2.4694489e-06,2.4694434e-06,2.5216034e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021297426,0.02883222,0.025355238,131603,0.12563609,0.29745454,0.006139988,0.0,8.062808e-05,8.062808e-05,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
1892000,0.688927,0.0018615809,-0.01916232,0.72457504,0.024116741,0.032837097,-0.107717685,0.004712318,0.0060617984,-0.038383074,-3.293114e-07,-3.2330698e-07,-8.78693e-07,2.6515187e-05,-2.5922493e-05,-3.04584e-05,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,5.6231264e-10,2.3256716e-05,0.00029372808,0.00016233802,5.0558876e-05,5.0422826e-05,0.00014659317,0.03150298,0.031502772,0.16897804,0.0070966054,0.0070966007,0.08369863,6.3721495e-09,6.3721863e-09,6.3394405e-09,2.358354e-06,2.3583395e-06,2.493006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022912654,0.023024036,0.0244435,131603,0.119135246,0.28930715,0.02425386,0.0,0.0001229942,0.0001229942,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
2092000,0.6886614,0.002292994,-0.019659402,0.7248129,0.025235536,0.038935177,-0.097768106,0.005864392,0.008159475,-0.030102698,-7.431907e-07,-8.1844115e-07,-1.199198e-06,5.5219258e-05,-4.936001e-05,-5.987481e-05,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.226718e-10,2.4657516e-05,0.0002820254,0.00014063029,6.121266e-05,6.108233e-05,0.00012702496,0.032118212,0.03211765,0.13087283,0.0067717987,0.006771791,0.07821518,6.3221237e-09,6.3221743e-09,6.3015873e-09,2.1821756e-06,2.1821434e-06,2.4543963e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018934538,0.03214824,0.035673488,131603,0.11637693,0.27966976,0.0095082475,0.0,0.00016544557,0.00016544557,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
2292000,0.68830746,0.0026949332,-0.02002492,0.7251377,0.026916347,0.04292795,-0.10306967,0.006840497,0.010123482,-0.031452693,-1.4374427e-06,-1.7063771e-06,-1.6784294e-06,9.788173e-05,-8.201939e-05,-8.419963e-05,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.588557e-10,2.4847986e-05,0.00027506298,0.00012649513,7.2511226e-05,7.2384086e-05,0.00011422922,0.033258554,0.033258032,0.10711378,0.0067397896,0.0067397724,0.07301489,6.2253287e-09,6.2253886e-09,6.255552e-09,1.952539e-06,1.9524753e-06,2.4036594e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013496297,0.027651379,0.033209514,131603,0.11610152,0.27021268,0.0037054836,0.0,0.00020525524,0.00020525524,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
2496000,0.68802893,0.002908191,-0.020340113,0.7253924,0.024069438,0.04296587,-0.12226037,0.007153953,0.01124506,-0.049895052,-2.4029798e-06,-3.013721e-06,-2.2762435e-06,0.00015008255,-0.00011990122,-9.306177e-05,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.424734e-10,2.4414598e-05,0.00026129332,0.000114896764,8.392308e-05,8.379815e-05,0.00010375878,0.033371173,0.033370692,0.092822626,0.0068255938,0.0068255737,0.068553664,6.0722503e-09,6.072318e-09,6.192462e-09,1.7063221e-06,1.7062148e-06,2.338247e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013799052,0.019382764,0.021216419,131603,0.11683821,0.26182756,0.016937118,0.0,0.00022803561,0.00022803561,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
2696000,0.6876142,0.0032688791,-0.020507818,0.7257793,0.022211913,0.046575196,-0.124237694,0.006916058,0.01211794,-0.051208593,-3.549404e-06,-4.691051e-06,-3.2814955e-06,0.00020359783,-0.00015537337,-0.00013551944,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.2510164e-10,2.3999604e-05,0.00026765253,0.00010629523,9.5029696e-05,9.49067e-05,9.598295e-05,0.032061946,0.032061327,0.084420905,0.0069351424,0.0069351187,0.06527345,5.8624883e-09,5.862557e-09,6.1158247e-09,1.4842071e-06,1.4840512e-06,2.2545576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019747387,0.023376152,0.025332859,131603,0.11777207,0.2554867,0.0030763487,0.0,0.0002457919,0.0002457919,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
2896000,0.6871329,0.0034946944,-0.020656304,0.72622967,0.021312293,0.047033448,-0.12970221,0.006530007,0.012659962,-0.057249323,-4.7357494e-06,-6.619318e-06,-4.188388e-06,0.00025234956,-0.00018446484,-0.00017591726,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.4908845e-10,2.4172841e-05,0.00028352576,0.00010074081,0.00010582091,0.000105698,9.086785e-05,0.029821727,0.029821312,0.07986678,0.006889695,0.0068896655,0.062432256,5.614225e-09,5.61429e-09,6.031296e-09,1.3184497e-06,1.3182519e-06,2.152529e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002061814,0.022955688,0.024446862,131603,0.11738552,0.24986447,0.01728205,0.0,0.0002567619,0.0002567619,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
3096000,0.6864146,0.0036097793,-0.020681856,0.7269074,0.020569349,0.045612894,-0.13749567,0.006400437,0.012936066,-0.06999307,-5.9707263e-06,-8.721619e-06,-6.007119e-06,0.00029296256,-0.0002069707,-0.00020879065,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.493099e-10,2.465742e-05,0.00028848584,9.661801e-05,0.0001161785,0.000116055744,8.7051856e-05,0.027334176,0.02733394,0.07752498,0.006782222,0.0067821993,0.060437977,5.338134e-09,5.3381966e-09,5.93242e-09,1.210441e-06,1.2102133e-06,2.0315474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026715833,0.019967979,0.019980146,131603,0.116466396,0.24584137,0.014251323,0.0,0.0002623037,0.0002623037,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
3296000,0.68591285,0.0038986143,-0.02046668,0.7273854,0.016118804,0.046325263,-0.13908704,0.0058636446,0.013030958,-0.07424596,-7.1962168e-06,-1.0916871e-05,-7.728142e-06,0.00032274064,-0.00022235417,-0.0002685093,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,5.96837e-10,2.5206467e-05,0.0002999909,9.286793e-05,0.00012588367,0.00012576212,8.3621475e-05,0.02502806,0.025027575,0.07623622,0.0066333767,0.0066333525,0.0591343,5.040373e-09,5.0404427e-09,5.8105436e-09,1.1492716e-06,1.1490297e-06,1.8927236e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027545146,0.020383092,0.021750055,131603,0.11518129,0.24317545,0.021233618,0.0,0.00026414703,0.00026414703,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
3496000,0.6857912,0.003960895,-0.020290691,0.7275047,0.013834001,0.046683304,-0.14365393,0.005242162,0.013503676,-0.08310988,-8.318249e-06,-1.3248467e-05,-8.206856e-06,0.0003432945,-0.00023167217,-0.00032213665,0.20505196,0.009181093,0.43575272,0.0,0.0,0.0,0.0,0.0,6.39119e-10,2.448498e-05,0.00028751572,9.0772635e-05,0.00013459763,0.00013447566,8.168329e-05,0.023102332,0.023101598,0.07519922,0.006470019,0.0064699794,0.058346767,4.723153e-09,4.7232227e-09,5.684835e-09,1.1204962e-06,1.1202562e-06,1.7392099e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020629673,0.018700987,0.020361101,131603,0.113754116,0.24155076,0.0063873897,0.0,0.00027363756,0.00027363756,0.0,0.0,0.0,0.0,0,0,0,229,24,0,0,0,0,0,0,0
