timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
11336000,47.39774193595944,8.545594007056653,488.1151,-0.05267334,-0.0,-0.0011176685,0.0043841084,0.009785635,1.6150919,1.094718,1.016292,488.02094,2,0,1,0
11536000,47.397741938290956,8.545594007137089,488.11368,-0.053009033,-0.0,-0.0021481852,0.0051810476,0.008940722,1.6145483,1.0942913,1.0161945,488.0191,2,0,1,0
11736000,47.39774193930748,8.545594030278568,488.112,-0.053588867,-0.0,-0.0021076517,0.008349916,0.0098287,1.613985,1.0939062,1.0160769,488.01852,2,0,1,0
11936000,47.397741940474,8.545594060836603,488.11148,-0.053009033,-0.0,-0.00011758413,0.007531006,0.0075066257,1.6132857,1.0934819,1.0159417,488.02032,2,0,1,0
12136000,47.3977419481684,8.545594069499113,488.1121,-0.051330566,-0.0,0.0028742047,0.007943718,0.010866125,1.6130308,1.0930967,1.0157927,488.0202,2,0,1,0
12336000,47.39774196918003,8.545594087112491,488.1124,-0.049987793,-0.0,-0.007753865,0.37805265,0.017639821,1.6129869,1.0926746,1.015632,488.0202,2,0,1,0
12536000,47.397741609199436,8.545607700872191,488.0902,-0.07104492,-0.0,-0.38339996,9.348591,0.20852394,1.6126649,1.0922894,1.015462,488.0176,2,0,1,0
12736000,47.3977408154717,8.545640575059428,488.03824,-0.121154785,-0.0,-0.5983361,15.019228,0.3228074,1.6116041,1.0918043,1.015306,487.99533,2,0,1,0
12936000,47.397740173839736,8.545685748185445,487.9834,-0.17294312,-0.0,-0.6820888,18.834078,0.31111324,1.6534663,1.0912975,1.0154587,487.95966,2,0,1,0
13136000,47.39773952154836,8.545739089085858,487.94577,-0.20663452,-0.0,-0.8954969,21.193985,0.32045013,1.6206894,1.0907459,1.0160182,487.93158,2,0,1,0
13336000,47.39773903234896,8.545797210286013,487.9176,-0.23022461,-0.0,-0.8753321,22.522251,0.2869493,1.595689,1.0902635,1.0167626,487.91974,2,0,1,0
13536000,47.39773839189996,8.545858041791197,487.96613,-0.17712402,-0.0,-1.1163312,23.204466,-0.4053948,1.6227984,1.089762,1.0173975,487.90903,2,0,1,0
13736000,47.39773699860675,8.54592009289664,488.20047,0.058624268,-0.0,-1.4812567,23.447168,-1.3126731,1.6306068,1.0892962,1.0177504,487.90903,2,0,1,0
13936000,47.39773474668016,8.54598255101361,488.59515,0.44796753,-0.0,-1.824532,23.486748,-2.0115561,1.6433384,1.08886,1.017781,487.90903,2,0,1,0
14136000,47.39773158367749,8.546044981876275,489.12842,0.96588135,-0.0,-2.2125041,23.370216,-2.7233276,1.6641605,1.0885103,1.0175662,487.90903,2,0,1,0
14336000,47.39772745748125,8.546107067836184,489.79257,1.6096497,-0.0,-2.607098,23.165424,-3.4066062,1.6788437,1.0881599,1.0171888,487.90903,2,0,1,0
14536000,47.39772245299305,8.546168658621061,490.585,2.3816833,-0.0,-2.9814904,22.907764,-4.0475235,1.6955928,1.0878894,1.0167288,487.90903,2,0,1,0
14736000,47.39771662442562,8.546229504826268,491.50186,3.2781677,-0.0,-3.360218,22.591175,-4.7017093,1.7135806,1.087618,1.0162419,487.90903,2,0,1,0
14935999,47.397709982257226,8.546289476806752,492.5448,4.30072,-0.0,-3.7312884,22.224852,-5.3715253,1.7297895,1.0874039,1.0157682,487.90903,2,0,1,0
15136000,47.39770257496642,8.546348561890454,493.7148,5.450348,-0.0,-4.0716114,21.866022,-5.958488,1.7442237,1.0871814,1.0153284,487.90903,2,0,1,0
15336000,47.39769461130427,8.54640681881792,494.9823,6.6974487,-0.0,-4.2621374,21.6135,-6.341357,1.7495272,1.0870185,1.0149393,487.90903,2,0,1,0
15536000,47.39768638805843,8.546464580973554,496.3086,8.003357,-0.0,-4.311245,21.468939,-6.561241,1.7492489,1.0868436,1.0146103,487.90903,2,0,1,0
15736000,47.3976781111094,8.546522038516216,497.67056,9.34494,-0.0,-4.2673864,21.38827,-6.7145123,1.7452462,1.0867056,1.0143433,487.90903,2,0,1,0
15936000,47.3976699720903,8.546579024911061,499.0519,10.705902,-0.0,-4.1187677,20.87738,-6.776029,1.7443085,1.1005398,1.0143076,487.90903,2,0,1,0
16136000,47.39766222344796,8.54663431438867,500.44073,12.074341,-0.0,-3.8848927,20.340431,-6.753772,1.7423302,1.1002355,1.0141151,487.90903,2,0,1,0
