timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
1692000,2294028,-1.45647155e-05,-1.2422769e-05,-4.80932e-05,1311244,0.0012858076,-0.0014277145,-0.0026205205,197388,0.0,0.0,0.0
2688000,2294028,-0.00043618766,-0.0005749995,-0.00041100197,1311244,0.025083201,-0.019173967,-0.016882354,197388,0.0,0.0,0.0
3688000,2294028,-0.0011602727,-0.0019501208,-0.0011115884,1311244,0.0442008,-0.029369699,-0.04891368,197388,0.0,0.0,0.0
4688000,2294028,-0.0015703797,-0.0036929853,-0.0012207371,1311244,0.036970183,-0.027286647,-0.09229713,197388,0.0,0.0,0.0
5696000,2294028,-0.0016657963,-0.004607676,-0.0006528411,1311244,0.02665665,-0.025602764,-0.119927436,197388,0.0,0.0,0.0
6687999,2294028,-0.0016799696,-0.0047575673,-0.00059437245,1311244,0.024093872,-0.025219772,-0.12552933,197388,0.0,0.0,0.0
7688000,2294028,-0.0014657172,-0.005281366,-0.00020619597,1311244,0.015573733,-0.028506016,-0.12742169,197388,0.0,0.0,0.0
8688000,2294028,-0.0012181306,-0.005647772,0.00034460094,1311244,0.009608662,-0.032280184,-0.13064587,197388,0.0,0.0,0.0
9688000,2294028,-0.001111647,-0.005901182,0.0009218597,1311244,0.005462311,-0.033712488,-0.13305971,197388,0.0,0.0,0.0
10688000,2294028,-0.0010964024,-0.005975488,0.0011672432,1311244,0.0041575124,-0.033720393,-0.13538308,197388,0.0,0.0,0.0
11688000,2294028,-0.0010818257,-0.0060048574,0.0013076175,1311244,0.0036312693,-0.033868875,-0.13623343,197388,0.0,0.0,0.0
12688000,2294028,-0.00093361235,-0.006115328,0.0017704944,1311244,0.0028597813,-0.034087524,-0.1359435,197388,0.0,0.0,0.0
13688000,2294028,-0.0005215767,-0.006422971,0.004054584,1311244,0.0010038062,-0.0261661,-0.13536434,197388,0.0,0.0,0.0
14688000,2294028,-0.00046228146,-0.0064480603,0.004162809,1311244,-0.023380512,-0.021015335,-0.13238996,197388,0.0,0.0,0.0
15688000,2294028,-0.00065357273,-0.00641254,0.004398797,1311244,-0.063626945,-0.033470158,-0.12618779,197388,0.0,0.0,0.0
16688000,2294028,-0.0008002956,-0.006390044,0.0046468526,1311244,-0.10285366,-0.04137147,-0.118706435,197388,0.0,0.0,0.0
17688000,2294028,-0.0008629004,-0.006383203,0.0046748566,1311244,-0.13170087,-0.045805573,-0.11218329,197388,0.0,0.0,0.0
18688000,2294028,-0.0009186532,-0.0063807187,0.004678692,1311244,-0.14826778,-0.050806735,-0.106777705,197388,0.0,0.0,0.0
19688000,2294028,-0.00098023,-0.006381001,0.00463065,1311244,-0.15579052,-0.05584341,-0.103971906,197388,0.0,0.0,0.0
20688000,2294028,-0.0010639731,-0.006391415,0.004467762,1311244,-0.15910763,-0.05939367,-0.103247344,197388,0.0,0.0,0.0
21688000,2294028,-0.0011625936,-0.00640428,0.004271308,1311244,-0.15963367,-0.059664827,-0.10414601,197388,0.0,0.0,0.0
22688000,2294028,-0.0012780925,-0.0064333486,0.0040359846,1311244,-0.15919429,-0.057587385,-0.10510629,197388,0.0,0.0,0.0
23688000,2294028,-0.0013612611,-0.006456572,0.0038352914,1311244,-0.15904544,-0.0549093,-0.10735524,197388,0.0,0.0,0.0
24688000,2294028,-0.0014443971,-0.0064728786,0.0036482613,1311244,-0.15893184,-0.052109323,-0.10888077,197388,0.0,0.0,0.0
25688000,2294028,-0.0014358759,-0.006484911,0.003510219,1311244,-0.1602333,-0.052604884,-0.11047807,197388,0.0,0.0,0.0
26688000,2294028,-0.0014054362,-0.0064907465,0.003408592,1311244,-0.16162883,-0.052139618,-0.111409426,197388,0.0,0.0,0.0
27688000,2294028,-0.0013728912,-0.006474679,0.0033077148,1311244,-0.16218504,-0.053378396,-0.11089149,197388,0.0,0.0,0.0
28688000,2294028,-0.0013695149,-0.006459117,0.0032254665,1311244,-0.1619397,-0.053935375,-0.10989319,197388,0.0,0.0,0.0
29688000,2294028,-0.0014031598,-0.006444957,0.0030967824,1311244,-0.161571,-0.05263437,-0.10866633,197388,0.0,0.0,0.0
30695999,2294028,-0.0014432326,-0.0064247507,0.0028060158,1311244,-0.15930267,-0.05055011,-0.10701766,197388,0.0,0.0,0.0
31695999,2294028,-0.0015209044,-0.0063736564,0.0021717171,1311244,-0.15373139,-0.040677104,-0.104249366,197388,0.0,0.0,0.0
32696000,2294028,-0.0015631218,-0.0063317968,0.0017253853,1311244,-0.15016977,-0.0336967,-0.10112606,197388,0.0,0.0,0.0
33696000,2294028,-0.0016017439,-0.0062755886,0.0014992002,1311244,-0.14762203,-0.028383682,-0.097634,197388,0.0,0.0,0.0
34696000,2294028,-0.0016128805,-0.0062312908,0.0013430106,1311244,-0.1463808,-0.025776962,-0.094158776,197388,0.0,0.0,0.0
35696000,2294028,-0.001609563,-0.006159142,0.0011344206,1311244,-0.14455764,-0.023262681,-0.090768084,197388,0.0,0.0,0.0
36696000,2294028,-0.0015992854,-0.006084778,0.0009596399,1311244,-0.14394023,-0.02131274,-0.08616981,197388,0.0,0.0,0.0
