timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,measure_rate,rotation
1000000,0,1311244,11.828796,0,0,0,156.9064,0.00029776804,1000,0
2000000,0,1311244,11.828796,0,0,0,156.9064,0.00028937752,1000,0
2904000,0,1311244,11.828796,0,0,0,156.9064,0.00028548038,1000,0
3904000,0,1311244,11.828796,0,0,0,156.9064,0.00028855228,1000,0
4904000,0,1311244,11.828796,0,0,0,156.9064,0.00028870843,1000,0
5904000,0,1311244,11.828796,0,0,0,156.9064,0.00029036467,1000,0
6908000,0,1311244,11.828796,0,0,0,156.9064,0.0002829662,1000,0
7908000,0,1311244,11.828796,0,0,0,156.9064,0.00029806833,1000,0
8908000,0,1311244,11.828796,0,0,0,156.9064,0.0002990539,1000,0
9908000,0,1311244,11.828796,0,0,0,156.9064,0.00028659264,1000,0
10908000,0,1311244,11.828796,0,0,0,156.9064,0.00029018766,1000,0
11908000,0,1311244,11.828796,0,0,0,156.9064,0.00028617666,1000,0
12908000,0,1311244,11.828766,0,0,0,156.9064,0.0013603744,1000,0
13908000,0,1311244,11.824402,0,0,0,156.9064,0.0004893837,1000,0
14912000,0,1311244,11.7994995,0,0,0,156.9064,0.0003055388,1000,0
15912000,0,1311244,11.757446,0,0,0,156.9064,0.00040275435,1000,0
16912000,0,1311244,11.717255,0,0,0,156.9064,0.00030821434,1000,0
17912000,0,1311244,11.683777,0,0,0,156.9064,0.00028576277,1000,0
18912000,0,1311244,11.651337,0,0,0,156.9064,0.0002795083,1000,0
19912000,0,1311244,11.618927,0,0,0,156.9064,0.00029399563,1000,0
20912000,0,1311244,11.586914,0,0,0,156.9064,0.00029495326,1000,0
21912000,0,1311244,11.555481,0,0,0,156.9064,0.00027943726,1000,0
22912000,0,1311244,11.524231,0,0,0,156.9064,0.00028940424,1000,0
23912000,0,1311244,11.4935,0,0,0,156.9064,0.0002945663,1000,0
24912000,0,1311244,11.470306,0,0,0,156.9064,0.00030238417,1000,0
25912000,0,1311244,11.464996,0,0,0,156.9064,0.00028990745,1000,0
26912000,0,1311244,11.4687195,0,0,0,156.9064,0.00027874016,1000,0
27912000,0,1311244,11.475128,0,0,0,156.9064,0.0002891375,1000,0
28912000,0,1311244,11.481689,0,0,0,156.9064,0.00027112,1000,0
29912000,0,1311244,11.487427,0,0,0,156.9064,0.0002867897,1000,0
30928000,0,1311244,11.484253,0,0,0,156.9064,0.00031014046,1000,0
