timestamp,timestamp_sample,device_id,x,y,z,temperature
168000,168000,1311244,-0.17749995,0.18041359,-9.938055,11.828796
268000,268000,1311244,-0.22688442,0.15257192,-9.965203,11.828796
368000,368000,1311244,-0.22495516,0.18602447,-9.919514,11.828796
468000,468000,1311244,-0.18881159,0.18964818,-9.864183,11.828796
568000,568000,1311244,-0.27381313,0.1930071,-9.902359,11.828796
668000,668000,1311244,-0.1802545,0.10071859,-10.067381,11.828796
768000,768000,1311244,-0.090603985,0.15457042,-9.801016,11.828796
868000,868000,1311244,-0.17642465,0.13996197,-10.063122,11.828796
968000,968000,1311244,-0.19352049,0.18778288,-9.942521,11.828796
1068000,1068000,1311244,-0.27425388,0.09460054,-9.881015,11.828796
1168000,1168000,1311244,-0.17876124,0.19714054,-9.980205,11.828796
1268000,1268000,1311244,-0.18470702,0.25737545,-10.019748,11.828796
1368000,1368000,1311244,-0.16413732,0.21777628,-9.852415,11.828796
1468000,1468000,1311244,-0.2119266,0.14878535,-10.086579,11.828796
1568000,1568000,1311244,-0.19035867,0.14394157,-9.970329,11.828796
1668000,1668000,1311244,-0.26786938,0.22754575,-9.889294,11.828796
1768000,1768000,1311244,-0.2611244,0.15120478,-9.822311,11.828796
1868000,1868000,1311244,-0.101487674,0.10959395,-9.842064,11.828796
1968000,1968000,1311244,-0.12790942,0.15748937,-9.796258,11.828796
2068000,2068000,1311244,-0.25089175,0.16673295,-9.9679165,11.828796
2168000,2168000,1311244,-0.26576522,0.12616102,-9.888783,11.828796
2268000,2268000,1311244,-0.28653517,0.24079804,-9.934467,11.828796
2371999,2371999,1311244,-0.17969406,0.09840529,-9.960909,11.828796
2475999,2475999,1311244,-0.24850123,0.18295377,-9.9235115,11.828796
2576000,2576000,1311244,-0.22581345,0.10824508,-9.964525,11.828796
2676000,2676000,1311244,-0.24477725,0.17117052,-9.888833,11.828796
2776000,2776000,1311244,-0.24427202,0.047161683,-10.051353,11.828796
2876000,2876000,1311244,-0.3117033,0.18444063,-9.918677,11.828796
2976000,2976000,1311244,-0.17609204,0.2905117,-9.868208,11.828796
3076000,3076000,1311244,-0.21327913,0.2236425,-9.956404,11.828796
3176000,3176000,1311244,-0.15652893,0.23432091,-9.971455,11.828796
3276000,3276000,1311244,-0.18433154,0.35917127,-9.969938,11.828796
3376000,3376000,1311244,-0.24341597,0.16995607,-9.957021,11.828796
3476000,3476000,1311244,-0.33034384,0.19080883,-9.932432,11.828796
3576000,3576000,1311244,-0.15643443,0.17009087,-10.027403,11.828796
3676000,3676000,1311244,-0.24106538,0.1106623,-9.895386,11.828796
3776000,3776000,1311244,-0.28895497,0.23794587,-10.022336,11.828796
3876000,3876000,1311244,-0.24676038,0.2322746,-9.944424,11.828796
3976000,3976000,1311244,-0.19256201,0.09397493,-9.890725,11.828796
4076000,4076000,1311244,-0.1426612,0.23097529,-9.907446,11.828796
4176000,4176000,1311244,-0.23630904,0.17655544,-9.986571,11.828796
4276000,4276000,1311244,-0.2629585,0.23097624,-9.927649,11.828796
4376000,4376000,1311244,-0.3113523,0.1371116,-10.005585,11.828796
4476000,4476000,1311244,-0.23601988,0.13966975,-9.874882,11.828796
4576000,4576000,1311244,-0.28751397,0.28533995,-9.9838705,11.828796
4676000,4676000,1311244,-0.21142052,0.1410287,-10.012651,11.828796
4776000,4776000,1311244,-0.20286156,0.26197007,-10.011997,11.828796
4876000,4876000,1311244,-0.25335693,0.09956175,-9.958103,11.828796
4976000,4976000,1311244,-0.21303059,0.18443719,-9.895595,11.828796
5076000,5076000,1311244,-0.16863683,0.038351413,-9.949347,11.828796
5176000,5176000,1311244,-0.28611836,0.20418032,-9.896976,11.828796
5276000,5276000,1311244,-0.17226472,0.11696128,-10.003781,11.828796
5376000,5376000,1311244,-0.17721479,0.17882879,-9.899246,11.828796
5476000,5476000,1311244,-0.18624127,0.17533162,-9.887376,11.828796
5576000,5576000,1311244,-0.15555087,0.20441414,-9.884322,11.828796
5676000,5676000,1311244,-0.31104332,0.18703327,-9.877614,11.828796
5776000,5776000,1311244,-0.30669108,0.12756477,-10.0019865,11.828796
5876000,5876000,1311244,-0.28007644,0.23733024,-9.952818,11.828796
5976000,5976000,1311244,-0.20916475,0.14628035,-9.878729,11.828796
6076000,6076000,1311244,-0.27320537,0.19082218,-9.9975815,11.828796
6176000,6176000,1311244,-0.2326497,0.25280324,-9.902335,11.828796
6276000,6276000,1311244,-0.21383122,0.15869796,-10.0331335,11.828796
6376000,6376000,1311244,-0.28722474,0.17449668,-9.946789,11.828796
6476000,6476000,1311244,-0.23917955,0.19151245,-9.928678,11.828796
6575999,6575999,1311244,-0.25539568,0.17781474,-9.9637,11.828796
6680000,6680000,1311244,-0.2264831,0.15201235,-9.921915,11.828796
6780000,6780000,1311244,-0.25513133,0.20574537,-9.974305,11.828796
6880000,6880000,1311244,-0.23892324,0.09945313,-10.01628,11.828796
