timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
12920000,0.0,-0.21900733,1.6131141,0.0,0.6878433,0.07889379,-0.07562388,0.7175851,1.0,0.0,0.0,1,0,0,0,1,2
12944000,0.0,-0.20944823,1.6131141,0.0,0.6881969,0.07546317,-0.072335444,0.717954,1.0,0.0,0.0,1,0,0,0,1,2
12968000,0.0,-0.20020974,1.6131141,0.0,0.6885237,0.07214597,-0.06915573,0.71829486,1.0,0.0,0.0,1,0,0,0,1,2
12992000,0.0,-0.19130056,1.6131141,0.0,0.6888249,0.06894555,-0.06608796,0.71860915,1.0,0.0,0.0,1,0,0,0,1,2
13016000,0.0,-0.1826756,1.6131141,0.0,0.68910354,0.06584594,-0.06311682,0.7188998,1.0,0.0,0.0,1,0,0,0,1,2
13040000,0.0,-0.17429669,1.6131141,0.0,0.6893619,0.06283357,-0.060229305,0.7191693,1.0,0.0,0.0,1,0,0,0,1,2
13064000,0.0,-0.16613123,1.6131141,0.0,0.6896021,0.059896875,-0.057414327,0.7194199,1.0,0.0,0.0,1,0,0,0,1,2
13088000,0.0,-0.1581837,1.6131141,0.0,0.68982476,0.057037607,-0.054673564,0.7196522,1.0,0.0,0.0,1,0,0,0,1,2
13112000,0.0,-0.15042545,1.6131141,0.0,0.69003165,0.054245565,-0.051997244,0.719868,1.0,0.0,0.0,1,0,0,0,1,2
13136000,0.0,-0.14283174,1.6131141,0.0,0.69022405,0.051511943,-0.049376927,0.7200688,1.0,0.0,0.0,1,0,0,0,1,2
13160000,0.0,-0.13538101,1.6131141,0.0,0.6904032,0.048829075,-0.04680525,0.72025573,1.0,0.0,0.0,1,0,0,0,1,2
13184000,0.0,-0.1280732,1.6131141,0.0,0.6905697,0.04619701,-0.04428228,0.72042936,1.0,0.0,0.0,1,0,0,0,1,2
13208000,0.0,-0.12088975,1.6131141,0.0,0.69072425,0.043609135,-0.041801665,0.7205906,1.0,0.0,0.0,1,0,0,0,1,2
13232000,0.0,-0.11381438,1.6131141,0.0,0.6908678,0.04105964,-0.039357837,0.7207404,1.0,0.0,0.0,1,0,0,0,1,2
13256000,0.0,-0.10683263,1.6131141,0.0,0.691001,0.03854338,-0.036945872,0.7208793,1.0,0.0,0.0,1,0,0,0,1,2
13280000,0.0,-0.099931315,1.6131141,0.0,0.6911244,0.03605565,-0.03456125,0.72100806,1.0,0.0,0.0,1,0,0,0,1,2
13304000,0.0,-0.093110874,1.6131141,0.0,0.6912382,0.03359665,-0.032204166,0.7211268,1.0,0.0,0.0,1,0,0,0,1,2
13328000,0.0,-0.08636,1.6131141,0.0,0.691343,0.031162344,-0.029870756,0.7212361,1.0,0.0,0.0,1,0,0,0,1,2
13352000,0.0,-0.079668485,1.6131141,0.0,0.69143903,0.028749092,-0.027557528,0.7213363,1.0,0.0,0.0,1,0,0,0,1,2
13376000,0.0,-0.07302708,1.6131141,0.0,0.6915267,0.026353596,-0.025261316,0.7214278,1.0,0.0,0.0,1,0,0,0,1,2
13400000,0.0,-0.06643769,1.6131141,0.0,0.6916062,0.023976572,-0.022982815,0.7215107,1.0,0.0,0.0,1,0,0,0,1,2
13424000,0.0,-0.05989203,1.6131141,0.0,0.6916777,0.021615066,-0.020719185,0.7215853,1.0,0.0,0.0,1,0,0,0,1,2
13448000,0.0,-0.05338253,1.6131141,0.0,0.6917415,0.019266376,-0.018467844,0.72165185,1.0,0.0,0.0,1,0,0,0,1,2
