timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
12036000,0.036688343,0.043841496,-0.0018416881,0.15,0.0,0.0
12040000,0.036705155,0.04386146,-0.0018407144,0.15,0.0,0.0
12044000,0.0366891,0.043854,-0.0018413782,0.15,0.0,0.0
12052000,0.03675528,0.04384814,-0.001839483,0.15,0.0,0.0
12056000,0.036796805,0.04384318,-0.001838324,0.15,0.0,0.0
12060000,0.037249733,0.043893177,-0.0021421737,0.15,0.0,0.0
12068000,0.037236203,0.043925054,-0.0021418552,0.15,0.0,0.0
12072000,0.037211668,0.04391231,-0.002142902,0.15,0.0,0.0
12076000,0.03718368,0.043875255,-0.0021446133,0.15,0.0,0.0
12084000,0.03705846,0.043875653,-0.0020975056,0.15,0.0,0.0
12092000,0.037023313,0.043913998,-0.002097705,0.15,0.0,0.0
12096000,0.0370235,0.043887496,-0.0020983065,0.15,0.0,0.0
12100000,0.037037153,0.04390595,-0.0020974642,0.15,0.0,0.0
12108000,0.037421502,0.043911755,-0.002339975,0.15,0.0,0.0
12116000,0.037442766,0.04385543,-0.0023406167,0.15,0.0,0.0
12124000,0.03739945,0.043835353,-0.0023424055,0.15,0.0,0.0
12128000,0.037398256,0.043820832,-0.002342775,0.15,0.0,0.0
12132000,0.03715966,0.04381134,-0.0021444708,0.15,0.0,0.0
12136000,0.037202954,0.043737814,-0.0021448354,0.15,0.0,0.0
12140000,0.037198763,0.04366025,-0.0021467474,0.15,0.0,0.0
12148000,0.037170757,0.04378809,-0.002144665,0.15,0.0,0.0
12156000,0.037380386,0.04377683,-0.0023478176,0.15,0.0,0.0
12160000,0.037366107,0.043772824,-0.0023483462,0.15,0.0,0.0
12164000,0.037362393,0.04376837,-0.0023485618,0.15,0.0,0.0
12168000,0.037354868,0.04377348,-0.0023486754,0.15,0.0,0.0
12172000,0.03733567,0.043748472,-0.0023498354,0.15,0.0,0.0
12180000,0.037378196,0.043737393,-0.0023962893,0.15,0.0,0.0
12188000,0.037454844,0.04375116,-0.0023936299,0.15,0.0,0.0
12196000,0.0375445,0.04375251,-0.0023908564,0.15,0.0,0.0
12204000,0.037737127,0.04371443,-0.002538861,0.15,0.0,0.0
12212000,0.037729524,0.043587722,-0.0025420066,0.15,0.0,0.0
12216000,0.037709974,0.043543115,-0.0025436273,0.15,0.0,0.0
12220000,0.037678998,0.043548986,-0.0025444354,0.15,0.0,0.0
12228000,0.037991602,0.04359412,-0.0027235122,0.15,0.0,0.0
12236000,0.037975684,0.04357207,-0.002724504,0.15,0.0,0.0
12244000,0.037997343,0.043515045,-0.002725156,0.15,0.0,0.0
12252000,0.032581214,0.043468375,-0.0027261004,0.0,0.0,0.0
12260000,0.032545056,0.043485444,-0.0027261004,0.0,0.0,0.0
12268000,0.03253532,0.04351928,-0.0027261004,0.0,0.0,0.0
12272000,0.032549683,0.043482874,-0.0027261004,0.0,0.0,0.0
12276000,0.032562092,0.04345727,-0.0027261004,1.0,0.0,0.0
12284000,0.032638866,0.043436132,-0.0027261004,1.0,0.0,0.0
12292000,0.03258639,0.04339364,-0.0027261004,1.0,0.0,0.0
12296000,0.032579344,0.043371644,-0.0027261004,1.0,0.0,0.0
12300000,0.03257063,0.043363154,-0.0027261004,1.0,0.0,0.0
12304000,0.032559507,0.043376334,-0.0027261004,1.0,0.0,0.0
12308000,0.032551818,0.043372445,-0.0027261004,1.0,0.0,0.0
12312000,0.032564573,0.04333707,-0.0027261004,1.0,0.0,0.0
12316000,0.03256292,0.04331132,-0.0027261004,1.0,0.0,0.0
12320000,0.03258653,0.04332088,-0.0027261004,1.0,0.0,0.0
12324000,0.032599274,0.043336786,-0.0027261004,1.0,0.0,0.0
12332000,0.032553993,0.04338838,-0.0027261004,1.0,0.0,0.0
12340000,0.032489903,0.04343303,-0.0027261004,1.0,0.0,0.0
12344000,0.032459788,0.04339701,-0.0027261004,1.0,0.0,0.0
12348000,0.032456245,0.04333906,-0.0027261004,1.0,0.0,0.0
12356000,0.032441888,0.04336642,-0.0027261004,1.0,0.0,0.0
12364000,0.032461975,0.043300346,-0.0027261004,1.0,0.0,0.0
12372000,0.032528114,0.04332594,-0.0027261004,1.0,0.0,0.0
12380000,0.03262248,0.04332561,-0.0027261004,1.0,0.0,0.0
12384000,0.032666326,0.0433064,-0.0027261004,1.0,0.0,0.0
12388000,0.03266764,0.043275174,-0.0027261004,1.0,0.0,0.0
12392000,0.0326342,0.04326239,-0.0027261004,1.0,0.0,0.0
12396000,0.032629143,0.043206178,-0.0027261004,1.0,0.0,0.0
12400000,0.032650582,0.04311328,-0.0027261004,1.0,0.0,0.0
12404000,0.032645904,0.043079574,-0.0027261004,1.0,0.0,0.0
12408000,0.03266939,0.043081425,-0.0027261004,1.0,0.0,0.0
12412000,0.032722007,0.043079406,-0.0027261004,1.0,0.0,0.0
12416000,0.032747433,0.043029305,-0.0027261004,1.0,0.0,0.0
12420000,0.032759912,0.04299426,-0.0027261004,1.0,0.0,0.0
12424000,0.032760862,0.04296813,-0.0027261004,1.0,0.0,0.0
12428000,0.032764606,0.04289375,-0.0027261004,1.0,0.0,0.0
12432000,0.032776743,0.042868212,-0.0027261004,1.0,0.0,0.0
12436000,0.032753076,0.042839568,-0.0027261004,1.0,0.0,0.0
12440000,0.03270586,0.042792432,-0.0027261004,1.0,0.0,0.0
12444000,0.032679193,0.0427561,-0.0027261004,1.0,0.0,0.0
12452000,0.032690946,0.042740203,-0.0027261004,1.0,0.0,0.0
12460000,0.032716036,0.042730108,-0.0027261004,1.0,0.0,0.0
12464000,0.03274404,0.04271661,-0.0027261004,1.0,0.0,0.0
12468000,0.032775577,0.042694047,-0.0027261004,1.0,0.0,0.0
12476000,0.032820556,0.042629424,-0.0027261004,1.0,0.0,0.0
12480000,0.032833867,0.042621687,-0.0027261004,1.0,0.0,0.0
12484000,0.032828655,0.042614337,-0.0027261004,1.0,0.0,0.0
12492000,0.032859344,0.042629924,-0.0027261004,1.0,0.0,0.0
12496000,0.032826725,0.042657208,-0.0027261004,1.0,0.0,0.0
12500000,0.032816984,0.04265926,-0.0027261004,1.0,0.0,0.0
12504000,0.032801963,0.042679045,-0.0027261004,1.0,0.0,0.0
12508000,0.032789942,0.04267644,-0.0027261004,1.0,0.0,0.0
12516000,0.032740407,0.042562716,-0.0027261004,1.0,0.0,0.0
12524000,0.032715287,0.042553846,-0.0027261004,1.0,0.0,0.0
12532000,0.032720245,0.04247397,-0.0027261004,1.0,0.0,0.0
12540000,0.032697722,0.042488664,-0.0027261004,1.0,0.0,0.0
12548000,0.032733537,0.042460874,-0.0027261004,1.0,0.0,0.0
