timestamp,timestamp_sample,device_id,x,y,z,temperature
7380000,7380000,2294028,0.0053485218,-0.001513577,0.0027973414,11.828796
7480000,7480000,2294028,-0.008357749,-0.009367949,-0.00056833477,11.828796
7580000,7580000,2294028,-0.0040303064,-0.000988158,0.0067280284,11.828796
7680000,7680000,2294028,-0.0024965017,-0.0040450967,0.0037408809,11.828796
7780000,7780000,2294028,0.0013931739,-0.00372025,0.0015993741,11.828796
7880000,7880000,2294028,-0.0036376156,-0.005434153,-0.008622919,11.828796
7980000,7980000,2294028,0.0010486547,-0.008603147,0.0083087655,11.828796
8080000,8080000,2294028,-0.0008754669,-0.00802445,0.007815536,11.828796
8180000,8180000,2294028,0.008094141,-0.0007936969,-0.0027568757,11.828796
8280000,8280000,2294028,-0.0015164,-0.011841,-0.004956541,11.828796
8380000,8380000,2294028,-0.0015507204,-0.00810247,0.0022504972,11.828796
8480000,8480000,2294028,0.0010728994,-0.0034270359,0.0035148081,11.828796
8580000,8580000,2294028,-0.0020793786,0.0064152614,-0.00040566892,11.828796
8680000,8680000,2294028,-0.008465269,-0.0033700578,0.009006229,11.828796
8780000,8780000,2294028,-0.004848034,-0.014937796,-0.017036652,11.828796
8880000,8880000,2294028,0.0052968487,-0.008626598,0.002525615,11.828796
8980000,8980000,2294028,0.0019434663,-0.01670973,0.0044852532,11.828796
9080000,9080000,2294028,-0.0025633816,-0.0062527764,-0.0049068443,11.828796
9180000,9180000,2294028,-0.0042773327,-0.008182337,0.0016510537,11.828796
9280000,9280000,2294028,-0.008372188,-0.011950949,0.00093041227,11.828796
9380000,9380000,2294028,-0.0035657608,-0.004197077,-0.008515395,11.828796
9480000,9480000,2294028,-0.00082681165,-0.007268353,0.004028609,11.828796
9580000,9580000,2294028,0.00023394039,-0.016648974,-0.0065015033,11.828796
9680000,9680000,2294028,-0.005850455,-0.01095466,-0.0066030365,11.828796
9780000,9780000,2294028,0.0028870811,-0.009020902,0.00017049954,11.828796
9880000,9880000,2294028,-0.0058777533,0.0014362081,-1.3453912e-05,11.828796
