timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
1684000,0.0,0.0,0.0,0.003525806,0.0040132506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.026397705,0.0,0.0,nan,0.0,0.0,0.003906727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884000,0.0,0.0,0.0,0.004792906,0.006150409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.040649414,0.0,0.0,nan,0.0,0.0,-0.019049168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084000,0.0,0.0,0.0,0.0059854756,0.008300733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.024169922,0.0,0.0,nan,0.0,0.0,0.007744074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284000,0.0,0.0,0.0,0.0070019555,0.0103374785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.05517578,0.0,0.0,nan,0.0,0.0,0.0029058456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488000,0.0,0.0,0.0,0.0073607056,0.011529473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0152282715,0.0,0.0,nan,0.0,0.0,-0.01341331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2688000,0.0,0.0,0.0,0.0071296454,0.012437086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.057159424,0.0,0.0,nan,0.0,0.0,0.0025132895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2888000,0.0,0.0,0.0,0.0067309286,0.012997774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.035614014,0.0,0.0,nan,0.0,0.0,-0.01175499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088000,0.0,0.0,0.0,0.006591279,0.013292718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.060424805,0.0,0.0,nan,0.0,0.0,-0.011161566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3288000,0.0,0.0,0.0,0.0060538887,0.013370886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.0044555664,0.0,0.0,nan,0.0,0.0,-0.0150437355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3488000,0.0,0.0,0.0,0.005407751,0.013846274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.08105469,0.0,0.0,nan,0.0,0.0,0.0050013065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3688000,0.0,0.0,0.0,0.004305338,0.014136092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.0975647,0.0,0.0,nan,0.0,0.0,0.0039025545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
