timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
49468000,49464000,4000000.0,1.0,0.11254979,12.352589,0.0,255,0,6,4,0,0,0,0,1,1,36
50464000,50460000,4000000.0,1.0,0.16135457,12.747011,0.0,255,0,6,4,0,0,0,0,1,1,36
51464000,51460000,4000000.0,1.0,0.11254979,12.384461,0.0,255,0,6,4,0,0,0,0,1,1,36
52460000,52456000,4000000.0,1.0,0.11254979,12.514939,0.0,255,0,6,4,0,0,0,0,1,1,36
53460000,53456000,4000000.0,1.0,0.11254979,12.352589,0.0,255,0,6,4,0,0,0,0,1,1,36
54460000,54456000,4000000.0,1.0,0.11254979,12.562748,0.0,255,0,6,4,0,0,0,0,1,1,36
55460000,55456000,4000000.0,1.0,0.11254979,12.515935,0.0,255,0,6,4,0,0,0,0,1,1,36
56456000,56452000,4000000.0,1.0,0.13545816,12.594621,0.0,255,0,6,4,0,0,0,0,1,1,36
57456000,57452000,4000000.0,1.0,0.11254979,12.365537,0.0,255,0,6,4,0,0,0,0,1,1,36
58456000,58452000,4000000.0,1.0,0.11254979,12.501991,0.0,255,0,6,4,0,0,0,0,1,1,36
59456000,59452000,4000000.0,1.0,0.11254979,12.365537,0.0,255,0,6,4,0,0,0,0,1,1,36
60456000,60452000,4000000.0,1.0,0.1384462,12.734062,0.0,255,0,6,4,0,0,0,0,1,1,36
61456000,61452000,4000000.0,1.0,0.13545816,12.44721,0.0,255,0,6,4,0,0,0,0,1,1,36
62455999,62452000,4000000.0,1.0,0.11254979,12.5498,0.0,255,0,6,4,0,0,0,0,1,1,36
63452000,63448000,4000000.0,1.0,0.11254979,12.352589,0.0,255,0,6,4,0,0,0,0,1,1,36
64452000,63448000,4000000.0,1.0,0.11254979,12.514939,0.0,255,0,6,4,0,0,0,0,1,1,36
65452000,65448000,4000000.0,1.0,0.11254979,12.515935,0.0,255,0,6,4,0,0,0,0,1,1,36
66452000,66448000,4000000.0,1.0,0.11254979,12.581673,0.0,255,0,6,4,0,0,0,0,1,1,36
67448000,67444000,4000000.0,1.0,0.13545816,12.352589,0.0,255,0,6,4,0,0,0,0,1,1,36
68448000,68444000,4000000.0,1.0,0.11254979,12.562748,0.0,255,0,6,4,0,0,0,0,1,1,36
69448000,69444000,4000000.0,1.0,0.11254979,12.352589,0.0,255,0,6,4,0,0,0,0,1,1,36
70448000,70444000,4000000.0,1.0,0.1384462,12.699203,0.0,255,0,6,4,0,0,0,0,1,1,36
71448000,71444000,4000000.0,1.0,0.11254979,12.384461,0.0,255,0,6,4,0,0,0,0,1,1,36
72440000,72436000,4000000.0,1.0,0.11254979,12.561752,0.0,255,0,6,4,0,0,0,0,1,1,36
73440000,73436000,4000000.0,1.0,0.13545816,12.351593,0.0,255,0,6,4,0,0,0,0,1,1,36
74440000,74436000,4000000.0,1.0,0.11254979,12.548803,0.0,255,0,6,4,0,0,0,0,1,1,36
75440000,75436000,4000000.0,1.0,0.11254979,12.527887,0.0,255,0,6,4,0,0,0,0,1,1,36
76440000,76440000,4000000.0,1.0,0.11254979,12.532867,0.0,255,0,6,4,0,0,0,0,1,1,36
77440000,77436000,4000000.0,1.0,0.11254979,12.351593,0.0,255,0,6,4,0,0,0,0,1,1,36
78436000,78432000,4000000.0,1.0,0.11254979,12.561752,0.0,255,0,6,4,0,0,0,0,1,1,36
79436000,79432000,4000000.0,1.0,0.13545816,12.351593,0.0,255,0,6,4,0,0,0,0,1,1,36
80436000,80432000,4000000.0,1.0,0.1384462,12.746015,0.0,255,0,6,4,0,0,0,0,1,1,36
81432000,81432000,4000000.0,1.0,0.11254979,12.383465,0.0,255,0,6,4,0,0,0,0,1,1,36
82432000,81432000,4000000.0,1.0,0.11254979,12.513943,0.0,255,0,6,4,0,0,0,0,1,1,36
