timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,coning_vibration,measure_rate,rotation
1000000,0,2294028,11.828796,0,0,0,34.906586,2.1643546e-05,5.0165844e-10,1000,0
2000000,0,2294028,11.828796,0,0,0,34.906586,2.4544057e-05,6.2026617e-10,1000,0
2904000,0,2294028,11.828796,0,0,0,34.906586,2.4569701e-05,6.5245154e-10,1000,0
3904000,0,2294028,11.828796,0,0,0,34.906586,2.3037654e-05,5.3070437e-10,1000,0
4904000,0,2294028,11.828796,0,0,0,34.906586,2.5462205e-05,6.109025e-10,1000,0
5904000,0,2294028,11.828796,0,0,0,34.906586,2.4448713e-05,6.24321e-10,1000,0
6908000,0,2294028,11.828796,0,0,0,34.906586,2.2483642e-05,5.187783e-10,1000,0
7908000,0,2294028,11.828796,0,0,0,34.906586,2.3977016e-05,6.0391386e-10,1000,0
8908000,0,2294028,11.828796,0,0,0,34.906586,2.3692906e-05,5.653332e-10,1000,0
9908000,0,2294028,11.828796,0,0,0,34.906586,2.4866285e-05,5.9901456e-10,1000,0
10908000,0,2294028,11.828796,0,0,0,34.906586,2.4930763e-05,6.424095e-10,1000,0
11908000,0,2294028,11.828796,0,0,0,34.906586,2.5204201e-05,6.431139e-10,1000,0
12908000,0,2294028,11.828766,0,0,0,34.906586,3.5267e-05,1.4604906e-08,1000,0
13908000,0,2294028,11.824402,0,0,0,34.906586,3.0331092e-05,2.1989973e-08,1000,0
14912000,0,2294028,11.7994995,0,0,0,34.906586,2.4171683e-05,1.3466042e-08,1000,0
15912000,0,2294028,11.757446,0,0,0,34.906586,2.9098566e-05,1.8232384e-08,1000,0
16912000,0,2294028,11.717255,0,0,0,34.906586,2.5011885e-05,1.0607764e-08,1000,0
17912000,0,2294028,11.683777,0,0,0,34.906586,2.4013267e-05,5.5610245e-09,1000,0
18912000,0,2294028,11.651337,0,0,0,34.906586,2.3874745e-05,4.1490766e-09,1000,0
19912000,0,2294028,11.618927,0,0,0,34.906586,2.3024197e-05,2.4593128e-09,1000,0
20912000,0,2294028,11.586914,0,0,0,34.906586,2.5872187e-05,1.38606e-09,1000,0
21912000,0,2294028,11.555481,0,0,0,34.906586,2.4152625e-05,7.6608275e-10,1000,0
22912000,0,2294028,11.524231,0,0,0,34.906586,2.4414026e-05,6.3823724e-10,1000,0
23912000,0,2294028,11.4935,0,0,0,34.906586,2.4944484e-05,7.253091e-10,1000,0
24912000,0,2294028,11.470306,0,0,0,34.906586,2.5010197e-05,1.1138696e-08,1000,0
25912000,0,2294028,11.464996,0,0,0,34.906586,2.5214973e-05,7.773483e-09,1000,0
26912000,0,2294028,11.4687195,0,0,0,34.906586,2.455682e-05,3.853876e-09,1000,0
27912000,0,2294028,11.475128,0,0,0,34.906586,2.4204837e-05,2.1369986e-09,1000,0
28912000,0,2294028,11.481689,0,0,0,34.906586,2.4511115e-05,1.505929e-09,1000,0
29912000,0,2294028,11.487427,0,0,0,34.906586,2.4301853e-05,1.2552395e-09,1000,0
30928000,0,2294028,11.484253,0,0,0,34.906586,2.4649344e-05,1.3616655e-08,1000,0
31952000,0,2294028,11.459076,0,0,0,34.906586,2.4960771e-05,6.628028e-09,1000,0
32952000,0,2294028,11.42746,0,0,0,34.906586,2.2776308e-05,2.794765e-09,1000,0
33952000,0,2294028,11.393799,0,0,0,34.906586,2.4034174e-05,1.5026288e-09,1000,0
34952000,0,2294028,11.359619,0,0,0,34.906586,2.4162851e-05,9.559138e-10,1000,0
35952000,0,2294028,11.32547,0,0,0,34.906586,2.4478579e-05,8.281589e-10,1000,0
36952000,0,2294028,11.291443,0,0,0,34.906586,2.3603681e-05,7.026639e-10,1000,0
37952000,0,2294028,11.257599,0,0,0,34.906586,2.5736752e-05,7.15844e-10,1000,0
38952000,0,2294028,11.22403,0,0,0,34.906586,2.5084475e-05,5.282727e-10,1000,0
39952000,0,2294028,11.19046,0,0,0,34.906586,2.3915029e-05,5.7492955e-10,1000,0
40952000,0,2294028,11.164398,0,0,0,34.906586,2.5125066e-05,1.2536566e-08,1000,0
41952000,0,2294028,11.157227,0,0,0,34.906586,2.4238961e-05,7.857976e-09,1000,0
42952000,0,2294028,11.158813,0,0,0,34.906586,2.5221258e-05,3.587586e-09,1000,0
43952000,0,2294028,11.162842,0,0,0,34.906586,2.4527215e-05,1.6656271e-09,1000,0
44952000,0,2294028,11.166962,0,0,0,34.906586,2.2409617e-05,1.1387378e-09,1000,0
45952000,0,2294028,11.170288,0,0,0,34.906586,2.4653302e-05,1.0764654e-09,1000,0
46952000,0,2294028,11.17276,0,0,0,34.906586,2.4308392e-05,9.430274e-10,1000,0
47952000,0,2294028,11.174469,0,0,0,34.906586,2.3291472e-05,9.329928e-10,1000,0
