timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
180000,0,32767,32767,0,0,32767
184000,0,32767,32767,0,0,32767
188000,0,32767,32767,0,0,32767
192000,0,32767,32767,0,0,32767
196000,0,32767,32767,0,0,32767
200000,0,32767,32767,0,0,32767
204000,0,32767,32767,0,0,32767
208000,0,32767,32767,0,0,32767
212000,0,32767,32767,0,0,32767
216000,0,32767,32767,0,0,32767
220000,0,32767,32767,0,0,32767
224000,0,32767,32767,0,0,32767
228000,0,32767,32767,0,0,32767
232000,0,32767,32767,0,0,32767
236000,0,32767,32767,0,0,32767
240000,0,32767,32767,0,0,32767
244000,0,32767,32767,0,0,32767
248000,0,32767,32767,0,0,32767
252000,0,32767,32767,0,0,32767
256000,0,32767,32767,0,0,32767
260000,0,32767,32767,0,0,32767
264000,0,32767,32767,0,0,32767
268000,0,32767,32767,0,0,32767
272000,0,32767,32767,0,0,32767
276000,0,32767,32767,0,0,32767
280000,0,32767,32767,0,0,32767
284000,0,32767,32767,0,0,32767
288000,0,32767,32767,0,0,32767
292000,0,32767,32767,0,0,32767
296000,0,32767,32767,0,0,32767
300000,0,32767,32767,0,0,32767
304000,0,32767,32767,0,0,32767
308000,0,32767,32767,0,0,32767
312000,0,32767,32767,0,0,32767
316000,0,32767,32767,0,0,32767
320000,0,32767,32767,0,0,32767
324000,0,32767,32767,0,0,32767
328000,0,32767,32767,0,0,32767
332000,0,32767,32767,0,0,32767
336000,0,32767,32767,0,0,32767
340000,0,32767,32767,0,0,32767
344000,0,32767,32767,0,0,32767
348000,0,32767,32767,0,0,32767
352000,0,32767,32767,0,0,32767
356000,0,32767,32767,0,0,32767
360000,0,32767,32767,0,0,32767
364000,0,32767,32767,0,0,32767
368000,0,32767,32767,0,0,32767
372000,0,32767,32767,0,0,32767
376000,0,32767,32767,0,0,32767
380000,0,32767,32767,0,0,32767
384000,0,32767,32767,0,0,32767
388000,0,32767,32767,0,0,32767
392000,0,32767,32767,0,0,32767
396000,0,32767,32767,0,0,32767
400000,0,32767,32767,0,0,32767
404000,0,32767,32767,0,0,32767
408000,0,32767,32767,0,0,32767
412000,0,32767,32767,0,0,32767
416000,0,32767,32767,0,0,32767
420000,0,32767,32767,0,0,32767
424000,0,32767,32767,0,0,32767
428000,0,32767,32767,0,0,32767
432000,0,32767,32767,0,0,32767
436000,0,32767,32767,0,0,32767
440000,0,32767,32767,0,0,32767
444000,0,32767,32767,0,0,32767
448000,0,32767,32767,0,0,32767
452000,0,32767,32767,0,0,32767
456000,0,32767,32767,0,0,32767
460000,0,32767,32767,0,0,32767
464000,0,32767,32767,0,0,32767
468000,0,32767,32767,0,0,32767
472000,0,32767,32767,0,0,32767
476000,0,32767,32767,0,0,32767
480000,0,32767,32767,0,0,32767
484000,0,32767,32767,0,0,32767
488000,0,32767,32767,0,0,32767
492000,0,32767,32767,0,0,32767
496000,0,32767,32767,0,0,32767
500000,0,32767,32767,0,0,32767
504000,0,32767,32767,0,0,32767
508000,0,32767,32767,0,0,32767
512000,0,32767,32767,0,0,32767
516000,0,32767,32767,0,0,32767
520000,0,32767,32767,0,0,32767
524000,0,32767,32767,0,0,32767
528000,0,32767,32767,0,0,32767
532000,0,32767,32767,0,0,32767
536000,0,32767,32767,0,0,32767
540000,0,32767,32767,0,0,32767
544000,0,32767,32767,0,0,32767
548000,0,32767,32767,0,0,32767
552000,0,32767,32767,0,0,32767
556000,0,32767,32767,0,0,32767
560000,0,32767,32767,0,0,32767
564000,0,32767,32767,0,0,32767
568000,0,32767,32767,0,0,32767
572000,0,32767,32767,0,0,32767
576000,0,32767,32767,0,0,32767
580000,0,32767,32767,0,0,32767
584000,0,32767,32767,0,0,32767
588000,0,32767,32767,0,0,32767
592000,0,32767,32767,0,0,32767
596000,0,32767,32767,0,0,32767
600000,0,32767,32767,0,0,32767
604000,0,32767,32767,0,0,32767
608000,0,32767,32767,0,0,32767
612000,0,32767,32767,0,0,32767
616000,0,32767,32767,0,0,32767
620000,0,32767,32767,0,0,32767
624000,0,32767,32767,0,0,32767
628000,0,32767,32767,0,0,32767
632000,0,32767,32767,0,0,32767
636000,0,32767,32767,0,0,32767
640000,0,32767,32767,0,0,32767
644000,0,32767,32767,0,0,32767
648000,0,32767,32767,0,0,32767
652000,0,32767,32767,0,0,32767
656000,0,32767,32767,0,0,32767
660000,0,32767,32767,0,0,32767
664000,0,32767,32767,0,0,32767
668000,0,32767,32767,0,0,32767
672000,0,32767,32767,0,0,32767
676000,0,32767,32767,0,0,32767
680000,0,32767,32767,0,0,32767
684000,0,32767,32767,0,0,32767
688000,0,32767,32767,0,0,32767
692000,0,32767,32767,0,0,32767
696000,0,32767,32767,0,0,32767
700000,0,32767,32767,0,0,32767
704000,0,32767,32767,0,0,32767
708000,0,32767,32767,0,0,32767
712000,0,32767,32767,0,0,32767
716000,0,32767,32767,0,0,32767
720000,0,32767,32767,0,0,32767
728000,0,32767,32767,0,0,32767
732000,0,32767,32767,0,0,32767
736000,0,32767,32767,0,0,32767
740000,0,32767,32767,0,0,32767
744000,0,32767,32767,0,0,32767
748000,0,32767,32767,0,0,32767
752000,0,32767,32767,0,0,32767
756000,0,32767,32767,0,0,32767
760000,0,32767,32767,0,0,32767
764000,0,32767,32767,0,0,32767
768000,0,32767,32767,0,0,32767
772000,0,32767,32767,0,0,32767
776000,0,32767,32767,0,0,32767
780000,0,32767,32767,0,0,32767
784000,0,32767,32767,0,0,32767
788000,0,32767,32767,0,0,32767
792000,0,32767,32767,0,0,32767
796000,0,32767,32767,0,0,32767
800000,0,32767,32767,0,0,32767
804000,0,32767,32767,0,0,32767
808000,0,32767,32767,0,0,32767
812000,0,32767,32767,0,0,32767
816000,0,32767,32767,0,0,32767
820000,0,32767,32767,0,0,32767
824000,0,32767,32767,0,0,32767
828000,0,32767,32767,0,0,32767
832000,0,32767,32767,0,0,32767
836000,0,32767,32767,0,0,32767
840000,0,32767,32767,0,0,32767
844000,0,32767,32767,0,0,32767
848000,0,32767,32767,0,0,32767
852000,0,32767,32767,0,0,32767
856000,0,32767,32767,0,0,32767
860000,0,32767,32767,0,0,32767
864000,0,32767,32767,0,0,32767
868000,0,32767,32767,0,0,32767
872000,0,32767,32767,0,0,32767
876000,0,32767,32767,0,0,32767
880000,0,32767,32767,0,0,32767
884000,0,32767,32767,0,0,32767
888000,0,32767,32767,0,0,32767
892000,0,32767,32767,0,0,32767
896000,0,32767,32767,0,0,32767
900000,0,32767,32767,0,0,32767
904000,0,32767,32767,0,0,32767
908000,0,32767,32767,0,0,32767
912000,0,32767,32767,0,0,32767
916000,0,32767,32767,0,0,32767
920000,0,32767,32767,0,0,32767
924000,0,32767,32767,0,0,32767
928000,0,32767,32767,0,0,32767
932000,0,32767,32767,0,0,32767
936000,0,32767,32767,0,0,32767
940000,0,32767,32767,0,0,32767
944000,0,32767,32767,0,0,32767
948000,0,32767,32767,0,0,32767
952000,0,32767,32767,0,0,32767
956000,0,32767,32767,0,0,32767
960000,0,32767,32767,0,0,32767
964000,0,32767,32767,0,0,32767
968000,0,32767,32767,0,0,32767
972000,0,32767,32767,0,0,32767
976000,0,32767,32767,0,0,32767
980000,0,32767,32767,0,0,32767
984000,0,32767,32767,0,0,32767
988000,0,32767,32767,0,0,32767
992000,0,32767,32767,0,0,32767
