timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6376000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
13256000,2,-1,0,15,0,0,1,0,0,0,0,0,0,0
24016000,2,0,1,15,0,0,1,0,0,0,0,0,0,0
40928000,2,1,2,15,0,0,1,0,0,0,0,0,0,0
56272000,2,2,3,15,0,0,1,0,0,0,0,0,0,0
72624000,2,3,4,15,0,0,1,0,0,0,0,0,0,0
88080000,2,4,5,15,0,0,1,0,0,0,0,0,0,0
108968000,2,5,6,15,0,0,1,0,0,0,0,0,0,0
124927999,2,6,7,15,0,0,1,0,0,0,0,0,0,0
145816000,2,7,8,15,0,0,1,0,0,0,0,0,0,0
162616000,2,8,9,15,0,0,1,0,0,0,0,0,0,0
162672000,2,9,10,15,0,0,1,0,0,0,0,0,0,0
162680000,2,10,11,15,0,0,1,0,0,0,0,0,0,0
162728000,2,11,12,15,0,0,1,0,0,0,0,0,0,0
162784000,2,12,13,15,0,0,1,0,0,0,0,0,0,0
200248000,2,13,14,15,0,0,1,0,0,0,0,0,0,0
231720000,2,14,14,15,0,0,1,0,1,0,0,0,0,0
232228000,3,-1,0,15,0,0,1,0,0,0,0,0,0,0
