timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
13520000,0,0,1.5511603,1.5516201,0.012442959,265.67822,23.745258
14024000,0,-0.176738,1.5414926,1.5494227,0.57963455,258.1111,56.873802
14528000,0,-0.024978368,1.5396714,1.548467,0.7911648,247.16525,65.86115
15008000,0,0.10577057,1.5303423,1.5456256,1.4267926,236.0079,66.85877
15512000,0,0.25171044,1.5070161,1.5386443,2.9230583,224.39806,65.46095
16016000,-0.39293593,0.34906584,1.5216564,1.52698,0.47791195,213.22453,63.04873
16520000,-0.43633232,0.34906584,1.4795611,1.5141933,3.043307,202.57115,61.28892
17024000,-0.43864384,0.2263671,1.4315293,1.5001128,5.595177,192.30606,57.355934
17528000,-0.40128514,0.20592137,1.4019908,1.489239,7.285903,182.40302,57.413303
18008000,-0.34178677,0.20768537,1.3811189,1.479903,8.525769,172.78543,57.771812
18512000,-0.25934863,0.20871052,1.3733056,1.4740875,8.958595,162.59103,57.685795
19016000,-0.18537042,0.20915723,1.3727015,1.4704667,8.954086,152.40187,57.436085
19520000,-0.11527177,0.20971364,1.3870609,1.4722621,8.101959,142.26086,57.177975
20024000,-0.083287984,0.21036547,1.3939649,1.4711396,7.673643,132.18776,56.901016
20528000,-0.060006823,0.21182461,1.4087392,1.4735484,6.807991,122.17664,56.636032
21008000,-0.048167195,0.2134777,1.4238538,1.4766508,5.9288135,112.70756,56.364056
21512000,-0.055402394,0.21555674,1.4310918,1.4756383,5.5004964,102.8119,56.13482
22016000,-0.051022857,0.21815977,1.4462675,1.4792889,4.6348443,92.962265,55.926487
22520000,-0.0682323,0.22133173,1.4462456,1.4736325,4.61681,83.161674,55.694183
23024000,-0.06913176,0.22487383,1.4539015,1.4722269,4.174967,73.3892,55.471165
23528000,-0.0658444,0.2287386,1.4618748,1.4708983,3.7195976,63.659996,55.260082
24008000,-0.07059312,0.23288754,1.4621882,1.461344,3.6880374,54.427605,55.04693
24512000,-0.41269928,0.21468274,1.2192461,0.6459789,-35.156055,330.35727,55.92093
25016000,-0.56366307,0.22049159,1.0452168,0.62348056,-27.212015,323.86548,56.162468
25520000,-0.62217337,0.22569393,0.8982495,0.6015884,-19.703701,317.041,56.104187
26024000,-0.6368377,0.23062974,0.76332027,0.5794674,-12.413253,309.6661,55.90173
26528000,-0.608108,0.23536482,0.65769255,0.56110936,-6.552917,301.6729,55.524693
27008000,-0.552379,0.23950875,0.575116,0.5460839,-1.9662876,293.51495,55.063305
27512000,-0.4584402,0.24309826,0.5135732,0.53443056,1.4080963,284.50937,54.529434
28016000,-0.33872798,0.2458239,0.46932223,0.52561146,3.7880993,275.20255,54.10085
28520000,-0.19793224,0.24825993,0.44841784,0.5209503,4.894392,265.74713,53.87009
29024000,-0.060091257,0.25056693,0.4474772,0.52007544,4.944845,256.26712,53.869987
29528000,0.060067393,0.2532261,0.46637762,0.5234215,3.939457,246.81476,53.99749
30008000,0.13074543,0.2560553,0.48627853,0.5273154,2.87261,237.8513,54.10293
30512000,0.17523462,0.25938657,0.51412886,0.53338814,1.3700333,228.46852,54.221764
31016000,0.18383315,0.26316792,0.53669256,0.53871155,0.14677429,219.08417,54.235622
31520000,0.17025132,0.26708314,0.5552553,0.5434778,-0.85861206,209.69785,54.151134
32024000,0.15084377,0.2710175,0.5739421,0.5486856,-1.8640022,200.31175,53.972042
32528000,0.11750031,0.27479684,0.582439,0.55149686,-2.3107452,190.93698,53.70461
33008000,0.087513424,0.27832687,0.5880978,0.55367255,-2.6010742,182.01634,53.432358
33512000,0.054972954,0.28177115,0.5874536,0.55416054,-2.5506134,172.6756,53.097603
34016000,0.033367928,0.284991,0.5868047,0.55470484,-2.5001602,163.37976,52.75922
34520000,0.016027149,0.28806594,0.58196753,0.55386484,-2.231842,154.1184,52.444942
35024000,0.006028415,0.15525061,0.57804555,0.55291975,-1.9635239,144.96075,50.81961
35528000,0.002068581,0.042162195,0.5744605,0.55184877,-1.6952133,136.2382,48.359333
36008000,0.002746562,0.01525465,0.5677998,0.5497602,-1.3319473,128.23018,46.904167
36512000,0.018758543,0.007052912,0.56985986,0.5510873,-1.4044113,120.01322,46.112206
37016000,0.030082565,0.010621573,0.5668492,0.5506249,-1.2590256,111.88433,45.871243
37520000,0.04474394,0.018340018,0.56835175,0.5522312,-1.3314896,103.75777,45.99448
38024000,0.056873545,0.027591672,0.57103246,0.55467904,-1.465416,95.57851,46.332256
38528000,0.062348768,0.0367632,0.57232153,0.55697006,-1.5378876,87.335724,46.72044
39008000,0.06550101,0.043735527,0.5749379,0.5603813,-1.6718063,79.41863,47.051235
39512000,0.06988962,0.04961215,0.58083516,0.56705844,-1.962143,71.04924,47.36669
40016000,0.066867225,0.054732487,0.58213496,0.57191527,-2.034607,62.629715,47.623074
40520000,0.06232826,0.058805905,0.5835441,0.57826924,-2.1070862,54.177444,47.746246
41024000,0.20787944,0.020788524,0.78709775,1.4348679,38.21806,278.69202,47.639233
41528000,0.45566595,0.08785016,0.9136479,1.4587603,30.999388,273.35617,50.636147
42008000,0.5854907,0.08677403,1.101013,1.483604,23.780724,267.80505,52.357456
42512000,0.5932554,0.08569481,1.2505546,1.5090425,16.559307,261.33755,52.33668
43016000,0.52810955,0.07835409,1.3668175,1.5307088,10.609311,254.06546,51.949913
43520000,0.41117704,-0.025795948,1.4545977,1.5483779,5.9301887,246.0358,50.420044
44024000,0.33888042,-0.15760447,1.511045,1.5600861,2.9472141,237.9061,47.998177
44528000,0.29910982,-0.17187606,1.5641762,1.5707812,0.3884139,229.87666,46.740894
45008000,0.2536004,-0.21529184,1.6010134,1.5784127,-1.3209374,222.2242,46.310837
45512000,0.19426502,-0.1925828,1.6193616,1.5826632,-2.18304,214.10312,46.588207
46016000,0.13910636,-0.20921735,1.636873,1.587275,-3.0456932,205.80963,47.33587
46520000,0.083095394,-0.19474137,1.6361082,1.587983,-3.0599973,197.35222,48.12911
47024000,0.04205831,-0.19677667,1.6352413,1.5887544,-3.0743015,188.71664,49.021084
47528000,0.012685567,-0.2180347,1.6262505,1.5872767,-2.6649816,179.9619,49.591854
48008000,-0.000918501,-0.197113,1.6174229,1.5856189,-2.2551112,171.50728,50.201107
48512000,-0.004802252,-0.21884197,1.608988,1.5838411,-1.8463415,162.54065,50.593555
49016000,-0.00244728,-0.20077203,1.6006573,1.5818516,-1.4375715,153.4932,51.036804
49520000,0.011917078,-0.22537605,1.6007977,1.582525,-1.452426,144.39,51.308765
50024000,0.013368715,-0.20702887,1.5926975,1.5802064,-1.0442063,135.22212,51.66827
50528000,0.023739025,-0.23316574,1.5929036,1.5808885,-1.0596107,126.011604,51.901325
51008000,0.031408835,-0.21256122,1.5930718,1.5816466,-1.074465,117.21898,52.198963
51512000,0.036601786,-0.2379559,1.5932766,1.5825628,-1.0898696,107.939735,52.425762
52016000,-0.07394602,-0.22032686,1.5836966,1.5836902,48.645844,98.63076,52.733025
52520000,-0.36466116,-0.24586697,1.589816,1.5898101,39.213203,89.28876,52.922718
53024000,-0.56964785,-0.22561456,1.597382,1.5973767,29.78469,79.93484,53.18545
53528000,-0.69666415,-0.25160724,1.6187963,1.6187917,20.72293,70.6667,53.259266
54008000,-0.7285383,-0.23163258,1.659714,1.6597099,12.0973015,62.23871,53.285263
54512000,-0.20465568,-0.25989679,1.7551969,1.7504648,-9.665235,54.51978,53.194603
55016000,0.5870257,-0.2372613,1.8680372,1.9002544,-15.616879,48.61908,53.617054
55520000,0.87266463,-0.1426351,1.9827857,2.0800862,-21.567425,44.46668,54.069435
56024000,0.87266463,-0.05727248,2.096879,2.2912154,-27.094893,41.17967,54.115376
56528000,0.87266463,0.001932047,2.3309002,2.0063262,-20.302855,336.89383,54.07759
